Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Målilla A;75250;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2008-02-01 00:00:00;2018-05-01 15:00:00;95.0;57.3848;15.8037

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;45.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;10.8;Y;;Tidsperiod (fr.o.m.) = 2008-02-01 00:00:00 (UTC)
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;27.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;21.4;Y;;Värdet är summerat över = 1 månad
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;19.3;Y;;
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;42.9;Y;;Kvalitetskoderna:
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;108.1;Y;;Grön (G) = Kontrollerade och godkända värden.
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;125.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;46.5;Y;;
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;66.5;Y;;Orsaker till saknade data:
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;33.2;Y;;  stationen eller givaren har varit ur funktion.
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;40.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;10.9;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;19.2;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;30.3;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;1.2;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;52.7;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;72.4;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;100.4;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;55.5;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;37.7;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;40.7;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;56.7;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;42.5;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;34.6;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;52.2;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;15.0;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;17.8;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;58.9;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;27.9;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;101.0;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;71.7;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;25.8;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;45.2;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;119.2;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;34.5;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;28.9;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;15.2;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;21.4;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;4.4;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;48.6;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;61.4;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;78.7;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;49.0;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;72.2;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;34.0;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;8.2;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;46.3;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;52.0;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;25.2;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;12.7;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;49.7;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;18.8;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;110.6;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;157.3;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;54.2;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;51.7;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;45.0;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;43.8;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;57.3;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;20.7;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;28.4;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;22.6;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;27.2;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;44.5;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;129.0;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;93.8;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;52.1;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;7.4;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;46.3;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;28.4;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;26.7;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;48.2;Y
