Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Värne;75340;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1991-01-01 00:00:00;2014-02-02 05:59:59;200.0;57.5388;15.1002
2014-03-01 00:00:00;2018-05-01 15:00:00;200.0;57.5388;15.1002
1948-02-01 00:00:00;1990-12-31 23:59:59;200.0;57.5381;15.1022

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1948-01-01 06:00:01;1948-02-01 06:00:00;1948-01;84.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1948-02-01 06:00:01;1948-03-01 06:00:00;1948-02;20.5;Y;;Tidsperiod (fr.o.m.) = 1948-02-01 00:00:00 (UTC)
1948-03-01 06:00:01;1948-04-01 06:00:00;1948-03;19.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1948-04-01 06:00:01;1948-05-01 06:00:00;1948-04;56.0;G;;Värdet är summerat över = 1 månad
1948-05-01 06:00:01;1948-06-01 06:00:00;1948-05;69.5;Y;;
1948-06-01 06:00:01;1948-07-01 06:00:00;1948-06;36.0;G;;Kvalitetskoderna:
1948-07-01 06:00:01;1948-08-01 06:00:00;1948-07;62.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1948-08-01 06:00:01;1948-09-01 06:00:00;1948-08;82.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1948-09-01 06:00:01;1948-10-01 06:00:00;1948-09;51.0;G;;
1948-10-01 06:00:01;1948-11-01 06:00:00;1948-10;32.3;Y;;Orsaker till saknade data:
1948-11-01 06:00:01;1948-12-01 06:00:00;1948-11;25.5;Y;;  stationen eller givaren har varit ur funktion.
1948-12-01 06:00:01;1949-01-01 06:00:00;1948-12;23.5;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1949-01-01 06:00:01;1949-02-01 06:00:00;1949-01;23.0;Y
1949-02-01 06:00:01;1949-03-01 06:00:00;1949-02;14.5;Y
1949-03-01 06:00:01;1949-04-01 06:00:00;1949-03;16.0;G
