Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Södra Vi D;75430;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2008-08-01 00:00:00;2018-05-01 15:00:00;160.0;57.7174;15.7092

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;107.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;114.8;Y;;Tidsperiod (fr.o.m.) = 2008-08-01 00:00:00 (UTC)
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;36.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;67.5;Y;;Värdet är summerat över = 1 månad
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;51.8;Y;;
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;49.1;Y;;Kvalitetskoderna:
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;18.9;Y;;Grön (G) = Kontrollerade och godkända värden.
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;35.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;41.4;Y;;
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;0.6;Y;;Orsaker till saknade data:
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;58.3;Y;;  stationen eller givaren har varit ur funktion.
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;67.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;88.3;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;58.1;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;44.9;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;55.2;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;58.3;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;66.3;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;46.7;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;73.5;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;20.7;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;26.3;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;79.7;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;65.2;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;86.1;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;123.9;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;57.1;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;57.1;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;125.6;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;34.5;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;31.8;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;25.2;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;27.8;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;13.0;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;39.2;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;116.1;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;77.7;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;64.4;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;78.9;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;45.2;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;24.5;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;58.6;Y
