Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Svinhult D;75450;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1993-11-01 00:00:00;2018-05-01 15:00:00;290.0;57.7471;15.3914
1880-06-01 00:00:00;1992-08-01 23:59:59;292.0;57.7537;15.3792

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;25.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;31.0;G;;Tidsperiod (fr.o.m.) = 1880-06-01 00:00:00 (UTC)
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;134.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;29.0;G;;Värdet är summerat över = 1 månad
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;36.0;G;;
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;70.0;G;;Kvalitetskoderna:
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;44.0;G;;Grön (G) = Kontrollerade och godkända värden.
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;28.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;13.0;G;;
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;24.0;G;;Orsaker till saknade data:
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;25.0;G;;  stationen eller givaren har varit ur funktion.
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;10.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;45.0;G
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;74.0;G
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;62.0;G
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;63.0;G
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;125.0;G
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;51.0;G
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;52.0;G
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;19.0;G
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;13.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;20.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;26.0;G
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;36.0;G
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;49.0;G
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;65.0;G
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;156.0;G
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;102.0;G
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;49.0;G
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;39.0;G
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;62.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;41.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;17.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;9.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;16.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;16.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;49.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;53.0;G
1883-07-01 07:00:01;1883-08-01 07:00:00;1883-07;154.0;G
1883-08-01 07:00:01;1883-09-01 07:00:00;1883-08;47.0;G
1883-09-01 07:00:01;1883-10-01 07:00:00;1883-09;120.0;G
1883-10-01 07:00:01;1883-11-01 07:00:00;1883-10;52.0;G
1883-11-01 07:00:01;1883-12-01 07:00:00;1883-11;59.0;G
1883-12-01 07:00:01;1884-01-01 07:00:00;1883-12;20.0;G
1884-01-01 07:00:01;1884-02-01 07:00:00;1884-01;34.0;G
1884-02-01 07:00:01;1884-03-01 07:00:00;1884-02;21.0;G
1884-03-01 07:00:01;1884-04-01 07:00:00;1884-03;25.0;G
1884-04-01 07:00:01;1884-05-01 07:00:00;1884-04;14.0;G
1884-05-01 07:00:01;1884-06-01 07:00:00;1884-05;53.0;G
1884-06-01 07:00:01;1884-07-01 07:00:00;1884-06;59.0;G
1884-07-01 07:00:01;1884-08-01 07:00:00;1884-07;156.0;G
1884-08-01 07:00:01;1884-09-01 07:00:00;1884-08;31.0;G
1884-09-01 07:00:01;1884-10-01 07:00:00;1884-09;24.0;G
1884-10-01 07:00:01;1884-11-01 07:00:00;1884-10;49.0;G
1884-11-01 07:00:01;1884-12-01 07:00:00;1884-11;25.0;G
1884-12-01 07:00:01;1885-01-01 07:00:00;1884-12;48.0;G
1885-01-01 07:00:01;1885-02-01 07:00:00;1885-01;28.0;G
1885-02-01 07:00:01;1885-03-01 07:00:00;1885-02;23.0;G
1885-03-01 07:00:01;1885-04-01 07:00:00;1885-03;18.0;G
1885-04-01 07:00:01;1885-05-01 07:00:00;1885-04;16.0;G
1885-05-01 07:00:01;1885-06-01 07:00:00;1885-05;51.0;G
1885-06-01 07:00:01;1885-07-01 07:00:00;1885-06;27.0;G
1885-07-01 07:00:01;1885-08-01 07:00:00;1885-07;43.0;G
1885-08-01 07:00:01;1885-09-01 07:00:00;1885-08;120.0;G
1885-09-01 07:00:01;1885-10-01 07:00:00;1885-09;69.0;G
1885-10-01 07:00:01;1885-11-01 07:00:00;1885-10;99.0;G
1885-11-01 07:00:01;1885-12-01 07:00:00;1885-11;18.0;G
1885-12-01 07:00:01;1886-01-01 07:00:00;1885-12;20.0;G
1886-01-01 07:00:01;1886-02-01 07:00:00;1886-01;48.0;G
1886-02-01 07:00:01;1886-03-01 07:00:00;1886-02;12.0;G
