Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norra Vi D;75540;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1992-07-01 00:00:00;2006-07-01 23:59:59;165.0;57.8846;15.3468
2006-11-01 00:00:00;2018-05-01 15:00:00;228.0;57.8831;15.3286

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;1.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;44.2;Y;;Tidsperiod (fr.o.m.) = 1992-07-01 00:00:00 (UTC)
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;89.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;32.1;Y;;Värdet är summerat över = 1 månad
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;59.7;Y;;
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;61.1;Y;;Kvalitetskoderna:
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;9.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;69.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;33.4;Y;;
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;8.6;Y;;Orsaker till saknade data:
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;16.0;Y;;  stationen eller givaren har varit ur funktion.
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;22.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;44.8;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;106.8;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;63.2;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;57.4;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;55.4;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;45.0;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;78.0;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;40.4;Y
