Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Löttorp D;76080;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2009-06-01 00:00:00;2018-05-01 15:00:00;7.0;57.1555;16.9502

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;59.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;47.9;Y;;Tidsperiod (fr.o.m.) = 2009-06-01 00:00:00 (UTC)
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;118.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;26.5;Y;;Värdet är summerat över = 1 månad
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;25.8;Y;;
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;56.0;Y;;Kvalitetskoderna:
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;43.0;Y;;Grön (G) = Kontrollerade och godkända värden.
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;69.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;60.1;Y;;
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;68.3;Y;;Orsaker till saknade data:
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;19.1;Y;;  stationen eller givaren har varit ur funktion.
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;14.4;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;62.0;Y
