Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kråkemåla;76280;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1990-07-01 00:00:00;2018-04-30 23:59:59;5.0;57.4694;16.6538

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;70.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;77.2;Y;;Tidsperiod (fr.o.m.) = 1990-07-01 00:00:00 (UTC)
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;25.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;124.3;Y;;Värdet är summerat över = 1 månad
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;38.0;Y;;
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;91.5;Y;;Kvalitetskoderna:
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;31.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;19.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;38.9;Y;;
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;11.7;Y;;Orsaker till saknade data:
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;18.9;Y;;  stationen eller givaren har varit ur funktion.
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;56.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;119.3;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;37.5;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;69.1;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;50.9;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;18.1;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;58.1;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;32.9;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;17.6;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;43.0;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;29.4;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;81.6;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;2.9;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;64.9;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;73.9;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;35.9;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;53.4;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;66.4;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;9.2;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;31.6;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;28.6;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;25.1;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;23.0;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;28.7;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;45.8;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;72.2;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;46.9;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;60.2;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;47.7;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;41.5;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;81.7;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;35.5;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;65.6;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;15.9;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;37.5;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;26.5;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;49.3;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;3.4;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;113.3;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;124.3;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;32.8;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;42.6;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;63.1;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;79.7;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;33.1;Y
