Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Gladhammar A;76420;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-09-01 00:00:00;2018-05-01 15:00:00;35.0;57.7071;16.4585

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;9.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;155.0;Y;;Tidsperiod (fr.o.m.) = 1995-09-01 00:00:00 (UTC)
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;35.7;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;60.7;Y;;Värdet är summerat över = 1 månad
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;13.7;Y;;
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;9.0;Y;;Kvalitetskoderna:
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;23.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;10.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;11.8;Y;;
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;87.6;Y;;Orsaker till saknade data:
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;65.3;Y;;  stationen eller givaren har varit ur funktion.
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;80.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;85.6;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;39.0;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;27.8;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;66.9;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;50.5;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;2.6;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;35.8;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;15.5;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;25.7;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;45.6;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;49.9;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;52.5;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;17.2;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;29.3;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;77.1;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;56.1;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;81.1;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;49.5;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;35.2;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;41.1;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;51.4;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;41.7;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;116.8;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;56.1;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;86.2;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;65.2;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;46.7;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;49.4;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;67.0;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;66.4;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;24.3;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;63.0;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;64.3;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;35.6;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;50.9;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;19.7;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;48.2;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;58.2;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;34.4;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;31.7;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;118.6;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;10.9;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;20.0;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;23.7;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;55.0;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;20.6;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;96.6;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;173.4;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;62.1;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;50.5;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;127.2;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;212.0;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;74.0;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;56.0;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;62.7;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;49.0;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;41.3;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;29.1;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;47.2;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;60.3;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;96.7;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;149.6;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;62.2;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;33.1;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;59.2;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;53.4;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;40.3;Y
