Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hemse;78140;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1880-11-01 00:00:00;2018-03-31 23:59:59;25.0;57.2438;18.3835

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;133.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;90.0;G;;Tidsperiod (fr.o.m.) = 1880-11-01 00:00:00 (UTC)
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;15.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;25.0;G;;Värdet är summerat över = 1 månad
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;43.0;G;;
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;42.0;G;;Kvalitetskoderna:
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;64.0;G;;Grön (G) = Kontrollerade och godkända värden.
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;112.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;42.0;G;;
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;33.0;G;;Orsaker till saknade data:
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;24.0;G;;  stationen eller givaren har varit ur funktion.
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;22.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;15.0;G
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;14.0;G
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;23.0;G
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;26.0;G
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;29.0;G
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;36.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;35.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;34.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;10.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;17.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;9.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;19.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;48.0;G
1883-07-01 07:00:01;1883-08-01 07:00:00;1883-07;69.0;G
1884-07-01 07:00:01;1884-08-01 07:00:00;1884-07;63.0;G
1884-08-01 07:00:01;1884-09-01 07:00:00;1884-08;33.0;G
