Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Vänge;78230;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1991-05-01 00:00:00;2012-12-31 23:59:59;45.0;57.435;18.4894
2013-01-01 00:00:00;2018-05-01 15:00:00;45.0;57.4348;18.486

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;27.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;46.8;Y;;Tidsperiod (fr.o.m.) = 1991-05-01 00:00:00 (UTC)
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;101.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;9.6;Y;;Värdet är summerat över = 1 månad
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;76.1;Y;;
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;40.3;Y;;Kvalitetskoderna:
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;40.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;66.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;54.5;Y;;
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;37.1;Y;;Orsaker till saknade data:
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;53.9;Y;;  stationen eller givaren har varit ur funktion.
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;71.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;50.2;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;9.0;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;7.8;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;72.9;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;50.3;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;38.9;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;93.8;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;80.3;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;27.3;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;69.7;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;60.8;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;27.4;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;18.4;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;19.9;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;31.6;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;61.4;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;78.3;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;78.9;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;39.1;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;29.7;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;83.0;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;51.0;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;37.6;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;78.7;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;37.3;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;30.7;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;42.7;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;0.1;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;125.3;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;92.7;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;52.5;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;38.1;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;103.5;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;71.9;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;71.3;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;52.9;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;57.2;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;80.4;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;30.6;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;62.2;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;63.3;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;74.5;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;20.9;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;74.5;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;28.3;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;7.5;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;41.8;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;7.9;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;10.1;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;57.9;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;12.1;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;107.5;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;17.2;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;69.2;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;36.2;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;107.3;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;60.6;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;17.9;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;71.9;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;17.0;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;50.8;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;33.1;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;23.0;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;32.1;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;16.3;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;70.2;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;93.4;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;46.2;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;63.0;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;80.9;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;68.8;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;44.7;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;42.5;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;35.4;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;60.8;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;65.0;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;80.9;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;57.6;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;79.2;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;31.1;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;71.6;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;83.0;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;80.8;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;19.6;Y
