Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Sanda;78270;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1979-09-01 00:00:00;2012-12-31 23:59:59;15.0;57.4258;18.2151
2013-01-01 00:00:00;2018-05-01 15:00:00;15.0;57.4255;18.2118

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;67.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;20.7;Y;;Tidsperiod (fr.o.m.) = 1979-09-01 00:00:00 (UTC)
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;5.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;51.8;Y;;Värdet är summerat över = 1 månad
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;52.6;Y;;
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;25.4;Y;;Kvalitetskoderna:
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;25.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;15.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1980-04-01 06:00:01;1980-05-01 06:00:00;1980-04;46.9;Y;;
1980-05-01 06:00:01;1980-06-01 06:00:00;1980-05;26.3;Y;;Orsaker till saknade data:
1980-06-01 06:00:01;1980-07-01 06:00:00;1980-06;38.7;Y;;  stationen eller givaren har varit ur funktion.
1980-07-01 06:00:01;1980-08-01 06:00:00;1980-07;66.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1980-08-01 06:00:01;1980-09-01 06:00:00;1980-08;178.1;Y
1980-09-01 06:00:01;1980-10-01 06:00:00;1980-09;32.3;Y
1980-10-01 06:00:01;1980-11-01 06:00:00;1980-10;104.3;Y
1980-11-01 06:00:01;1980-12-01 06:00:00;1980-11;54.0;Y
1980-12-01 06:00:01;1981-01-01 06:00:00;1980-12;63.6;Y
1981-01-01 06:00:01;1981-02-01 06:00:00;1981-01;37.6;Y
1981-02-01 06:00:01;1981-03-01 06:00:00;1981-02;37.2;Y
1981-03-01 06:00:01;1981-04-01 06:00:00;1981-03;69.3;Y
1981-04-01 06:00:01;1981-05-01 06:00:00;1981-04;10.3;Y
1981-05-01 06:00:01;1981-06-01 06:00:00;1981-05;5.3;Y
1981-06-01 06:00:01;1981-07-01 06:00:00;1981-06;49.2;Y
1981-07-01 06:00:01;1981-08-01 06:00:00;1981-07;22.1;Y
1981-08-01 06:00:01;1981-09-01 06:00:00;1981-08;40.9;Y
1981-09-01 06:00:01;1981-10-01 06:00:00;1981-09;13.6;Y
1981-10-01 06:00:01;1981-11-01 06:00:00;1981-10;94.2;Y
1981-11-01 06:00:01;1981-12-01 06:00:00;1981-11;99.8;Y
1981-12-01 06:00:01;1982-01-01 06:00:00;1981-12;65.7;Y
1982-01-01 06:00:01;1982-02-01 06:00:00;1982-01;50.8;Y
1982-02-01 06:00:01;1982-03-01 06:00:00;1982-02;16.8;Y
1982-03-01 06:00:01;1982-04-01 06:00:00;1982-03;36.9;Y
1982-04-01 06:00:01;1982-05-01 06:00:00;1982-04;17.7;Y
1982-05-01 06:00:01;1982-06-01 06:00:00;1982-05;47.2;Y
1982-06-01 06:00:01;1982-07-01 06:00:00;1982-06;70.8;Y
1982-07-01 06:00:01;1982-08-01 06:00:00;1982-07;16.4;Y
1982-08-01 06:00:01;1982-09-01 06:00:00;1982-08;33.9;Y
1982-09-01 06:00:01;1982-10-01 06:00:00;1982-09;30.1;Y
1982-10-01 06:00:01;1982-11-01 06:00:00;1982-10;33.8;Y
1982-11-01 06:00:01;1982-12-01 06:00:00;1982-11;37.4;Y
