Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hejnum;78420;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1931-02-01 00:00:00;2018-04-30 23:59:59;53.0;57.6954;18.6377

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;62.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;18.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;38.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;56.0;G;;Värdet är summerat över = 1 månad
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;37.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;13.0;G;;Kvalitetskoderna:
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;63.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;70.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;51.0;G;;
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;64.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;26.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;58.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;41.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;20.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;34.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;46.0;G
1932-05-01 07:00:01;1932-06-01 07:00:00;1932-05;75.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;25.0;G
1932-07-01 07:00:01;1932-08-01 07:00:00;1932-07;65.0;G
1932-08-01 07:00:01;1932-09-01 07:00:00;1932-08;74.0;G
