Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Austers D;78480;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2004-11-01 00:00:00;2018-04-30 23:59:59;30.0;57.8103;18.6335

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2004-10-01 06:00:01;2004-11-01 06:00:00;2004-10;59.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;69.6;Y;;Tidsperiod (fr.o.m.) = 2004-11-01 00:00:00 (UTC)
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;47.7;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;58.9;Y;;Värdet är summerat över = 1 månad
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;46.8;Y;;
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;22.0;Y;;Kvalitetskoderna:
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;2.4;Y;;Grön (G) = Kontrollerade och godkända värden.
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;43.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;48.5;Y;;
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;62.0;Y;;Orsaker till saknade data:
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;66.9;Y;;  stationen eller givaren har varit ur funktion.
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;11.3;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;44.7;Y
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;75.1;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;41.8;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;15.8;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;33.9;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;33.3;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;37.3;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;21.5;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;22.5;Y
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;4.2;Y
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;103.9;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;12.8;Y
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;88.5;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;79.2;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;46.5;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;80.0;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;43.2;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;23.8;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;16.6;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;20.8;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;27.8;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;68.4;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;88.2;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;66.0;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;32.7;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;66.0;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;56.1;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;37.9;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;18.5;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;48.6;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;45.5;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;8.5;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;38.3;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;22.8;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;90.6;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;24.1;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;104.5;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;76.8;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;56.1;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;43.4;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;31.1;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;49.1;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;7.8;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;56.8;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;62.9;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;137.1;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;60.6;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;50.3;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;73.0;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;53.2;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;67.0;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;34.7;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;49.6;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;24.9;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;33.8;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;63.3;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;40.0;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;155.2;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;64.1;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;50.4;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;52.4;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;127.4;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;66.2;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;35.7;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;24.3;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;12.1;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;25.2;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;16.3;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;60.7;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;154.5;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;52.8;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;36.2;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;33.8;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;7.4;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;74.5;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;61.2;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;46.9;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;17.1;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;44.0;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;13.2;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;59.4;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;66.3;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;99.9;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;30.4;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;79.7;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;56.5;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;87.5;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;31.7;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;25.5;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;3.5;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;13.8;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;14.5;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;42.7;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;38.2;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;26.0;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;74.6;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;48.7;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;58.0;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;45.6;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;50.6;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;18.1;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;36.0;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;19.8;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;34.7;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;45.9;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;25.3;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;72.0;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;25.4;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;45.7;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;34.9;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;59.4;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;51.3;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;15.2;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;46.7;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;30.9;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;56.3;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;46.1;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;62.5;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;21.4;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;79.4;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;6.1;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;55.1;Y
2015-12-01 06:00:01;2016-01-01 06:00:00;2015-12;26.8;Y
2016-01-01 06:00:01;2016-02-01 06:00:00;2016-01;21.2;Y
2016-02-01 06:00:01;2016-03-01 06:00:00;2016-02;32.6;Y
2016-03-01 06:00:01;2016-04-01 06:00:00;2016-03;19.9;Y
2016-04-01 06:00:01;2016-05-01 06:00:00;2016-04;37.0;Y
2016-05-01 06:00:01;2016-06-01 06:00:00;2016-05;22.6;Y
2016-06-01 06:00:01;2016-07-01 06:00:00;2016-06;80.5;Y
2016-07-01 06:00:01;2016-08-01 06:00:00;2016-07;18.4;Y
2016-08-01 06:00:01;2016-09-01 06:00:00;2016-08;83.9;Y
2016-09-01 06:00:01;2016-10-01 06:00:00;2016-09;24.3;Y
2016-10-01 06:00:01;2016-11-01 06:00:00;2016-10;63.7;Y
2016-11-01 06:00:01;2016-12-01 06:00:00;2016-11;84.7;Y
2016-12-01 06:00:01;2017-01-01 06:00:00;2016-12;27.8;Y
2017-01-01 06:00:01;2017-02-01 06:00:00;2017-01;30.7;Y
2017-02-01 06:00:01;2017-03-01 06:00:00;2017-02;23.1;Y
2017-03-01 06:00:01;2017-04-01 06:00:00;2017-03;22.8;Y
2017-04-01 06:00:01;2017-05-01 06:00:00;2017-04;29.7;Y
2017-05-01 06:00:01;2017-06-01 06:00:00;2017-05;8.5;Y
2017-06-01 06:00:01;2017-07-01 06:00:00;2017-06;47.8;Y
2017-07-01 06:00:01;2017-08-01 06:00:00;2017-07;18.9;Y
2017-08-01 06:00:01;2017-09-01 06:00:00;2017-08;39.6;Y
2017-09-01 06:00:01;2017-10-01 06:00:00;2017-09;91.3;Y
2017-10-01 06:00:01;2017-11-01 06:00:00;2017-10;102.8;Y
2017-11-01 06:00:01;2017-12-01 06:00:00;2017-11;62.7;Y
2017-12-01 06:00:01;2018-01-01 06:00:00;2017-12;97.5;Y
2018-01-01 06:00:01;2018-02-01 06:00:00;2018-01;66.0;Y
