Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Fårösund Ar A;78550;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-01-01 00:00:00;2018-05-01 15:00:00;13.0;57.9167;18.9568
1995-09-01 00:00:00;1995-12-31 23:59:59;13.0;57.9168;18.9569

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;34.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;25.9;Y;;Tidsperiod (fr.o.m.) = 1995-09-01 00:00:00 (UTC)
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;9.9;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;3.1;Y;;Värdet är summerat över = 1 månad
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;11.2;Y;;
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;4.4;Y;;Kvalitetskoderna:
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;10.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;41.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;14.8;Y;;
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;110.5;Y;;Orsaker till saknade data:
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;48.0;Y;;  stationen eller givaren har varit ur funktion.
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;50.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;20.6;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;63.6;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;15.4;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;7.8;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;29.0;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;9.2;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;23.8;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;39.0;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;33.5;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;16.8;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;23.4;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;35.9;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;56.2;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;31.7;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;39.2;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;49.8;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;38.5;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;21.9;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;17.2;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;9.3;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;48.4;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;53.6;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;47.3;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;27.4;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;55.3;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;29.5;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;28.3;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;39.9;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;20.2;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;13.6;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;42.2;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;14.7;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;30.0;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;9.1;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;26.0;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;50.2;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;35.6;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;29.4;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;67.2;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;24.3;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;14.7;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;14.7;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;23.5;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;24.9;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;37.5;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;85.0;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;41.6;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;14.5;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;42.1;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;78.4;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;61.0;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;37.4;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;24.1;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;10.9;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;29.9;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;14.8;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;31.2;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;28.8;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;68.5;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;120.6;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;34.4;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;32.8;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;17.3;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;33.4;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;25.0;Y
