Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Uddevalla D;81210;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1993-11-01 00:00:00;1994-12-31 23:59:59;80.0;58.354;11.9435
1989-01-01 00:00:00;1993-10-31 23:59:59;100.0;58.3703;11.9364
1995-01-01 00:00:00;2018-05-01 15:00:00;100.0;58.3703;11.9364
1880-11-01 00:00:00;1983-07-01 23:59:59;10.0;58.355;11.9541

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;33.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;83.0;G;;Tidsperiod (fr.o.m.) = 1880-11-01 00:00:00 (UTC)
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;76.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;19.0;G;;Värdet är summerat över = 1 månad
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;38.0;G;;
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;33.0;G;;Kvalitetskoderna:
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;12.0;G;;Grön (G) = Kontrollerade och godkända värden.
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;91.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;46.0;G;;
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;95.0;G;;Orsaker till saknade data:
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;114.0;G;;  stationen eller givaren har varit ur funktion.
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;58.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;89.0;G
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;93.0;G
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;47.0;G
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;57.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;58.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;61.0;G
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;76.0;G
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;38.0;G
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;74.0;G
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;122.0;G
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;119.0;G
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;64.0;G
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;87.0;G
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;126.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;55.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;66.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;21.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;5.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;25.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;20.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;47.0;G
1883-07-01 07:00:01;1883-08-01 07:00:00;1883-07;134.0;G
1883-08-01 07:00:01;1883-09-01 07:00:00;1883-08;91.0;G
1883-09-01 07:00:01;1883-10-01 07:00:00;1883-09;122.0;G
1883-10-01 07:00:01;1883-11-01 07:00:00;1883-10;73.0;G
1883-11-01 07:00:01;1883-12-01 07:00:00;1883-11;85.0;G
1883-12-01 07:00:01;1884-01-01 07:00:00;1883-12;63.0;G
1884-01-01 07:00:01;1884-02-01 07:00:00;1884-01;57.0;G
1884-02-01 07:00:01;1884-03-01 07:00:00;1884-02;38.0;G
