Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Heden;81310;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1911-02-01 00:00:00;2018-03-31 23:59:59;50.0;58.5185;11.5248

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1911-01-01 07:00:01;1911-02-01 07:00:00;1911-01;65.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1911-02-01 07:00:01;1911-03-01 07:00:00;1911-02;90.0;G;;Tidsperiod (fr.o.m.) = 1911-02-01 00:00:00 (UTC)
1911-03-01 07:00:01;1911-04-01 07:00:00;1911-03;25.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1911-04-01 07:00:01;1911-05-01 07:00:00;1911-04;36.0;G;;Värdet är summerat över = 1 månad
1911-05-01 07:00:01;1911-06-01 07:00:00;1911-05;44.0;G;;
1911-06-01 07:00:01;1911-07-01 07:00:00;1911-06;40.0;G;;Kvalitetskoderna:
1911-07-01 07:00:01;1911-08-01 07:00:00;1911-07;24.0;G;;Grön (G) = Kontrollerade och godkända värden.
1911-08-01 07:00:01;1911-09-01 07:00:00;1911-08;56.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1911-09-01 07:00:01;1911-10-01 07:00:00;1911-09;68.0;G;;
1911-10-01 07:00:01;1911-11-01 07:00:00;1911-10;164.0;G;;Orsaker till saknade data:
1911-11-01 07:00:01;1911-12-01 07:00:00;1911-11;204.0;G;;  stationen eller givaren har varit ur funktion.
1911-12-01 07:00:01;1912-01-01 07:00:00;1911-12;78.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1912-01-01 07:00:01;1912-02-01 07:00:00;1912-01;14.0;G
1912-02-01 07:00:01;1912-03-01 07:00:00;1912-02;23.0;G
1912-03-01 07:00:01;1912-04-01 07:00:00;1912-03;77.0;G
1912-04-01 07:00:01;1912-05-01 07:00:00;1912-04;45.0;G
1912-05-01 07:00:01;1912-06-01 07:00:00;1912-05;41.0;G
1912-06-01 07:00:01;1912-07-01 07:00:00;1912-06;134.0;G
1912-07-01 07:00:01;1912-08-01 07:00:00;1912-07;41.0;G
1912-08-01 07:00:01;1912-09-01 07:00:00;1912-08;225.0;G
1912-09-01 07:00:01;1912-10-01 07:00:00;1912-09;44.0;G
1912-10-01 07:00:01;1912-11-01 07:00:00;1912-10;134.0;G
1912-11-01 07:00:01;1912-12-01 07:00:00;1912-11;152.0;G
1912-12-01 07:00:01;1913-01-01 07:00:00;1912-12;140.0;G
1913-01-01 07:00:01;1913-02-01 07:00:00;1913-01;22.0;G
1913-02-01 07:00:01;1913-03-01 07:00:00;1913-02;34.0;G
1913-03-01 07:00:01;1913-04-01 07:00:00;1913-03;104.0;G
1913-04-01 07:00:01;1913-05-01 07:00:00;1913-04;40.0;G
1913-05-01 07:00:01;1913-06-01 07:00:00;1913-05;16.0;G
1913-06-01 07:00:01;1913-07-01 07:00:00;1913-06;32.0;G
1913-07-01 07:00:01;1913-08-01 07:00:00;1913-07;37.0;G
1913-08-01 07:00:01;1913-09-01 07:00:00;1913-08;41.0;G
1913-09-01 07:00:01;1913-10-01 07:00:00;1913-09;19.0;G
1913-10-01 07:00:01;1913-11-01 07:00:00;1913-10;33.0;G
1913-11-01 07:00:01;1913-12-01 07:00:00;1913-11;149.0;G
1913-12-01 07:00:01;1914-01-01 07:00:00;1913-12;90.0;G
1914-01-01 07:00:01;1914-02-01 07:00:00;1914-01;42.0;G
1914-02-01 07:00:01;1914-03-01 07:00:00;1914-02;87.0;G
1914-03-01 07:00:01;1914-04-01 07:00:00;1914-03;69.0;G
1914-04-01 07:00:01;1914-05-01 07:00:00;1914-04;39.0;G
1914-05-01 07:00:01;1914-06-01 07:00:00;1914-05;47.0;G
1914-06-01 07:00:01;1914-07-01 07:00:00;1914-06;31.0;G
1914-07-01 07:00:01;1914-08-01 07:00:00;1914-07;55.0;G
1914-08-01 07:00:01;1914-09-01 07:00:00;1914-08;33.0;G
1914-09-01 07:00:01;1914-10-01 07:00:00;1914-09;33.0;G
1914-10-01 07:00:01;1914-11-01 07:00:00;1914-10;30.0;G
1914-11-01 07:00:01;1914-12-01 07:00:00;1914-11;94.0;G
1914-12-01 07:00:01;1915-01-01 07:00:00;1914-12;145.0;G
1915-01-01 07:00:01;1915-02-01 07:00:00;1915-01;76.0;G
1915-02-01 07:00:01;1915-03-01 07:00:00;1915-02;54.0;G
1915-03-01 07:00:01;1915-04-01 07:00:00;1915-03;15.0;G
1915-04-01 07:00:01;1915-05-01 07:00:00;1915-04;45.0;G
1915-05-01 07:00:01;1915-06-01 07:00:00;1915-05;9.0;G
1915-06-01 07:00:01;1915-07-01 07:00:00;1915-06;31.0;G
1915-07-01 07:00:01;1915-08-01 07:00:00;1915-07;170.0;G
1915-08-01 07:00:01;1915-09-01 07:00:00;1915-08;49.0;G
1915-09-01 07:00:01;1915-10-01 07:00:00;1915-09;55.0;G
