Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Grebbestad;81420;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1976-11-01 00:00:00;2018-04-30 23:59:59;10.0;58.6933;11.2485

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;168.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;101.9;Y;;Tidsperiod (fr.o.m.) = 1976-11-01 00:00:00 (UTC)
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;69.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;63.7;Y;;Värdet är summerat över = 1 månad
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;32.6;Y;;
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;78.7;Y;;Kvalitetskoderna:
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;81.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;32.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;68.1;Y;;
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;67.6;Y;;Orsaker till saknade data:
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;21.6;Y;;  stationen eller givaren har varit ur funktion.
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;93.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;97.2;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;136.8;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;77.1;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;46.6;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;28.8;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;93.1;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;14.2;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;10.4;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;35.9;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;45.2;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;57.0;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;74.1;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;30.2;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;51.7;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;17.6;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;21.7;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;6.1;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;82.4;Y
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;69.2;Y
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;94.3;Y
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;37.9;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;52.4;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;65.2;Y
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;40.1;Y
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;72.2;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;155.3;Y
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;87.3;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;16.0;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;31.5;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;13.8;Y
1980-04-01 06:00:01;1980-05-01 06:00:00;1980-04;6.2;Y
1980-05-01 06:00:01;1980-06-01 06:00:00;1980-05;49.2;Y
1980-06-01 06:00:01;1980-07-01 06:00:00;1980-06;82.2;Y
1980-07-01 06:00:01;1980-08-01 06:00:00;1980-07;50.2;Y
