Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Ed D;81550;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2007-06-01 00:00:00;2018-05-01 15:00:00;164.0;58.9102;11.7723
1879-08-01 00:00:00;1975-12-31 23:59:59;145.0;58.9;11.9666

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1879-07-01 07:00:01;1879-08-01 07:00:00;1879-07;91.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1879-08-01 07:00:01;1879-09-01 07:00:00;1879-08;99.0;G;;Tidsperiod (fr.o.m.) = 1879-08-01 00:00:00 (UTC)
1879-09-01 07:00:01;1879-10-01 07:00:00;1879-09;121.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1879-10-01 07:00:01;1879-11-01 07:00:00;1879-10;77.0;G;;Värdet är summerat över = 1 månad
1879-11-01 07:00:01;1879-12-01 07:00:00;1879-11;39.0;G;;
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;15.0;G;;Kvalitetskoderna:
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;4.0;G;;Grön (G) = Kontrollerade och godkända värden.
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;46.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;6.0;G;;
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;27.0;G;;Orsaker till saknade data:
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;30.0;G;;  stationen eller givaren har varit ur funktion.
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;24.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;157.0;G
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;28.0;G
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;40.0;G
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;29.0;G
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;78.0;G
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;71.0;G
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;15.0;G
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;54.0;G
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;43.0;G
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;15.0;G
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;57.0;G
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;66.0;G
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;85.0;G
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;98.0;G
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;73.0;G
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;63.0;G
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;71.0;G
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;46.0;G
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;34.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;52.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;47.0;G
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;133.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;23.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;5.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;16.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;2.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;26.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;46.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;56.0;G
