Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Vårgårda D;82020;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2007-05-01 00:00:00;2018-04-30 23:59:59;137.0;58.024;12.856

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;36.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;60.5;Y;;Tidsperiod (fr.o.m.) = 2007-05-01 00:00:00 (UTC)
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;127.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;161.9;Y;;Värdet är summerat över = 1 månad
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;55.9;Y;;
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;95.6;Y;;Kvalitetskoderna:
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;11.5;Y;;Grön (G) = Kontrollerade och godkända värden.
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;50.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;82.6;Y;;
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;109.6;Y;;Orsaker till saknade data:
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;67.5;Y;;  stationen eller givaren har varit ur funktion.
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;67.3;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;46.1;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;28.5;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;53.1;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;77.0;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;154.0;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;66.7;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;129.4;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;87.0;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;37.0;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;29.8;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;26.2;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;30.1;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;4.7;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;53.0;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;91.4;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;174.8;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;84.3;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;55.1;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;91.1;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;107.3;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;34.5;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;17.3;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;47.0;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;28.5;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;14.5;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;51.1;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;50.8;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;152.1;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;121.0;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;53.8;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;92.0;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;72.8;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;42.2;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;50.0;Y
