Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Komperöd;82040;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1998-10-01 00:00:00;2018-03-31 23:59:59;115.0;58.06;12.0109
1983-07-01 00:00:00;1998-09-23 23:59:59;115.0;58.0701;12.0102

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1983-06-01 06:00:01;1983-07-01 06:00:00;1983-06;66.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1983-07-01 06:00:01;1983-08-01 06:00:00;1983-07;29.8;Y;;Tidsperiod (fr.o.m.) = 1983-07-01 00:00:00 (UTC)
1983-08-01 06:00:01;1983-09-01 06:00:00;1983-08;11.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1983-09-01 06:00:01;1983-10-01 06:00:00;1983-09;167.7;Y;;Värdet är summerat över = 1 månad
1983-10-01 06:00:01;1983-11-01 06:00:00;1983-10;113.7;Y;;
1983-11-01 06:00:01;1983-12-01 06:00:00;1983-11;43.7;Y;;Kvalitetskoderna:
1983-12-01 06:00:01;1984-01-01 06:00:00;1983-12;68.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1984-01-01 06:00:01;1984-02-01 06:00:00;1984-01;159.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1984-02-01 06:00:01;1984-03-01 06:00:00;1984-02;31.1;Y;;
1984-03-01 06:00:01;1984-04-01 06:00:00;1984-03;32.5;Y;;Orsaker till saknade data:
1984-04-01 06:00:01;1984-05-01 06:00:00;1984-04;22.4;Y;;  stationen eller givaren har varit ur funktion.
1984-05-01 06:00:01;1984-06-01 06:00:00;1984-05;63.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1984-06-01 06:00:01;1984-07-01 06:00:00;1984-06;71.7;Y
1984-07-01 06:00:01;1984-08-01 06:00:00;1984-07;40.9;Y
1984-08-01 06:00:01;1984-09-01 06:00:00;1984-08;68.3;Y
1984-09-01 06:00:01;1984-10-01 06:00:00;1984-09;95.7;Y
1984-10-01 06:00:01;1984-11-01 06:00:00;1984-10;185.4;Y
1984-11-01 06:00:01;1984-12-01 06:00:00;1984-11;77.0;Y
1985-01-01 06:00:01;1985-02-01 06:00:00;1985-01;51.8;Y
1985-02-01 06:00:01;1985-03-01 06:00:00;1985-02;11.7;Y
1985-03-01 06:00:01;1985-04-01 06:00:00;1985-03;67.3;Y
1985-04-01 06:00:01;1985-05-01 06:00:00;1985-04;106.1;Y
1985-05-01 06:00:01;1985-06-01 06:00:00;1985-05;20.3;Y
1985-06-01 06:00:01;1985-07-01 06:00:00;1985-06;114.6;Y
1985-07-01 06:00:01;1985-08-01 06:00:00;1985-07;53.8;Y
1985-08-01 06:00:01;1985-09-01 06:00:00;1985-08;115.3;Y
1985-09-01 06:00:01;1985-10-01 06:00:00;1985-09;103.6;Y
1985-10-01 06:00:01;1985-11-01 06:00:00;1985-10;69.7;Y
1985-11-01 06:00:01;1985-12-01 06:00:00;1985-11;88.2;Y
1985-12-01 06:00:01;1986-01-01 06:00:00;1985-12;230.1;Y
1986-01-01 06:00:01;1986-02-01 06:00:00;1986-01;63.8;Y
1986-02-01 06:00:01;1986-03-01 06:00:00;1986-02;2.7;Y
1986-03-01 06:00:01;1986-04-01 06:00:00;1986-03;106.8;Y
1986-04-01 06:00:01;1986-05-01 06:00:00;1986-04;39.0;Y
1986-05-01 06:00:01;1986-06-01 06:00:00;1986-05;66.7;Y
1986-06-01 06:00:01;1986-07-01 06:00:00;1986-06;16.5;Y
1986-07-01 06:00:01;1986-08-01 06:00:00;1986-07;69.7;Y
1986-08-01 06:00:01;1986-09-01 06:00:00;1986-08;138.4;Y
1986-09-01 06:00:01;1986-10-01 06:00:00;1986-09;41.4;Y
1986-11-01 06:00:01;1986-12-01 06:00:00;1986-11;176.3;Y
1987-01-01 06:00:01;1987-02-01 06:00:00;1987-01;31.2;Y
1987-02-01 06:00:01;1987-03-01 06:00:00;1987-02;65.7;Y
1987-03-01 06:00:01;1987-04-01 06:00:00;1987-03;95.6;Y
1987-04-01 06:00:01;1987-05-01 06:00:00;1987-04;27.3;Y
1987-06-01 06:00:01;1987-07-01 06:00:00;1987-06;224.4;Y
1987-07-01 06:00:01;1987-08-01 06:00:00;1987-07;79.7;Y
1987-08-01 06:00:01;1987-09-01 06:00:00;1987-08;148.6;Y
1987-09-01 06:00:01;1987-10-01 06:00:00;1987-09;104.4;Y
1987-10-01 06:00:01;1987-11-01 06:00:00;1987-10;98.3;Y
1987-11-01 06:00:01;1987-12-01 06:00:00;1987-11;85.6;Y
1987-12-01 06:00:01;1988-01-01 06:00:00;1987-12;68.7;Y
1988-01-01 06:00:01;1988-02-01 06:00:00;1988-01;163.9;Y
1988-02-01 06:00:01;1988-03-01 06:00:00;1988-02;158.4;Y
1988-03-01 06:00:01;1988-04-01 06:00:00;1988-03;69.5;Y
1988-04-01 06:00:01;1988-05-01 06:00:00;1988-04;58.5;Y
1988-05-01 06:00:01;1988-06-01 06:00:00;1988-05;49.7;Y
1988-06-01 06:00:01;1988-07-01 06:00:00;1988-06;44.5;Y
1988-07-01 06:00:01;1988-08-01 06:00:00;1988-07;163.4;Y
1988-08-01 06:00:01;1988-09-01 06:00:00;1988-08;101.3;Y
1988-09-01 06:00:01;1988-10-01 06:00:00;1988-09;102.3;Y
1988-10-01 06:00:01;1988-11-01 06:00:00;1988-10;118.1;Y
1988-11-01 06:00:01;1988-12-01 06:00:00;1988-11;41.4;Y
1988-12-01 06:00:01;1989-01-01 06:00:00;1988-12;87.6;Y
1989-01-01 06:00:01;1989-02-01 06:00:00;1989-01;41.8;Y
1989-02-01 06:00:01;1989-03-01 06:00:00;1989-02;135.7;Y
1989-03-01 06:00:01;1989-04-01 06:00:00;1989-03;123.9;Y
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;58.9;Y
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;25.9;Y
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;66.1;Y
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;79.5;Y
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;51.4;Y
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;125.5;Y
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;32.9;Y
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;73.3;Y
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;182.3;Y
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;175.9;Y
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;60.0;Y
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;79.3;Y
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;37.0;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;101.5;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;79.6;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;82.4;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;98.0;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;76.8;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;34.8;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;114.8;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;102.6;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;67.3;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;49.0;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;30.5;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;22.9;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;194.2;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;46.6;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;77.9;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;79.5;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;87.0;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;136.2;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;49.0;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;67.4;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;45.2;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;59.4;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;126.3;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;30.8;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;7.3;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;60.6;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;158.9;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;60.0;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;70.1;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;141.1;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;51.4;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;108.6;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;33.6;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;12.6;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;36.3;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;52.9;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;43.1;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;161.6;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;132.1;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;44.4;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;107.1;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;27.1;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;132.8;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;99.9;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;38.6;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;105.7;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;40.4;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;15.5;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;84.9;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;5.9;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;83.7;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;230.8;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;82.2;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;58.2;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;124.2;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;85.8;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;122.3;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;87.0;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;43.5;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;66.8;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;82.5;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;45.3;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;12.4;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;153.9;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;86.4;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;62.9;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;29.1;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;16.8;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;27.9;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;32.5;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;24.1;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;105.4;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;78.4;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;22.4;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;52.4;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;104.1;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;94.1;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;142.2;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;41.0;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;27.8;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;143.2;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;49.6;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;41.6;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;66.6;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;76.3;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;52.1;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;108.6;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;86.3;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;55.2;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;37.9;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;100.7;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;96.2;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;98.1;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;39.9;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;85.8;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;57.9;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;133.0;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;104.5;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;80.1;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;67.8;G
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;206.3;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;29.1;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;97.9;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;156.8;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;54.5;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;123.7;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;121.8;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;96.5;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;157.8;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;54.2;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;85.3;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;119.7;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;110.6;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;55.5;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;238.6;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;109.1;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;141.9;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;43.5;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;86.2;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;107.2;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;113.2;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;66.7;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;91.2;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;36.7;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;219.4;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;226.6;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;152.2;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;68.8;Y
