Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Uplo;82060;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2014-01-01 00:00:00;2018-04-30 23:59:59;115.0;58.1001;12.6568
1900-06-01 00:00:00;2013-11-28 05:59:59;115.0;58.1001;12.6568

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1900-05-01 07:00:01;1900-06-01 07:00:00;1900-05;38.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1900-06-01 07:00:01;1900-07-01 07:00:00;1900-06;24.0;G;;Tidsperiod (fr.o.m.) = 1900-06-01 00:00:00 (UTC)
1900-07-01 07:00:01;1900-08-01 07:00:00;1900-07;90.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1900-08-01 07:00:01;1900-09-01 07:00:00;1900-08;50.0;G;;Värdet är summerat över = 1 månad
1900-09-01 07:00:01;1900-10-01 07:00:00;1900-09;76.0;G;;
1900-10-01 07:00:01;1900-11-01 07:00:00;1900-10;113.0;G;;Kvalitetskoderna:
1900-11-01 07:00:01;1900-12-01 07:00:00;1900-11;62.0;G;;Grön (G) = Kontrollerade och godkända värden.
1900-12-01 07:00:01;1901-01-01 07:00:00;1900-12;119.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1901-01-01 07:00:01;1901-02-01 07:00:00;1901-01;19.0;G;;
1901-02-01 07:00:01;1901-03-01 07:00:00;1901-02;33.0;G;;Orsaker till saknade data:
1901-03-01 07:00:01;1901-04-01 07:00:00;1901-03;29.0;G;;  stationen eller givaren har varit ur funktion.
1901-04-01 07:00:01;1901-05-01 07:00:00;1901-04;36.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1901-05-01 07:00:01;1901-06-01 07:00:00;1901-05;10.0;G
1901-06-01 07:00:01;1901-07-01 07:00:00;1901-06;117.0;G
1901-07-01 07:00:01;1901-08-01 07:00:00;1901-07;10.0;G
1901-08-01 07:00:01;1901-09-01 07:00:00;1901-08;40.0;G
1901-09-01 07:00:01;1901-10-01 07:00:00;1901-09;25.0;G
1901-10-01 07:00:01;1901-11-01 07:00:00;1901-10;29.0;G
1901-11-01 07:00:01;1901-12-01 07:00:00;1901-11;38.0;G
1901-12-01 07:00:01;1902-01-01 07:00:00;1901-12;30.0;G
1902-01-01 07:00:01;1902-02-01 07:00:00;1902-01;48.0;G
1902-02-01 07:00:01;1902-03-01 07:00:00;1902-02;15.0;G
1902-03-01 07:00:01;1902-04-01 07:00:00;1902-03;44.0;G
1902-04-01 07:00:01;1902-05-01 07:00:00;1902-04;12.0;G
1902-05-01 07:00:01;1902-06-01 07:00:00;1902-05;65.0;G
1902-06-01 07:00:01;1902-07-01 07:00:00;1902-06;36.0;G
1902-07-01 07:00:01;1902-08-01 07:00:00;1902-07;97.0;G
1902-08-01 07:00:01;1902-09-01 07:00:00;1902-08;160.0;G
1902-09-01 07:00:01;1902-10-01 07:00:00;1902-09;41.0;G
1902-10-01 07:00:01;1902-11-01 07:00:00;1902-10;77.0;G
1902-11-01 07:00:01;1902-12-01 07:00:00;1902-11;3.0;G
