Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Vänersborg;82230;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1860-02-01 00:00:00;2018-04-30 23:59:59;50.0;58.3552;12.3616

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1860-01-02 07:00:01;1860-02-01 07:00:00;1860-01;77.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1860-01-31 07:00:01;1860-03-01 07:00:00;1860-02;31.0;G;;Tidsperiod (fr.o.m.) = 1860-02-01 00:00:00 (UTC)
1860-03-02 07:00:01;1860-04-01 07:00:00;1860-03;72.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1860-04-01 07:00:01;1860-05-01 07:00:00;1860-04;72.0;G;;Värdet är summerat över = 1 månad
1860-05-02 07:00:01;1860-06-01 07:00:00;1860-05;54.0;G;;
1860-06-01 07:00:01;1860-07-01 07:00:00;1860-06;98.0;G;;Kvalitetskoderna:
1860-07-02 07:00:01;1860-08-01 07:00:00;1860-07;68.0;G;;Grön (G) = Kontrollerade och godkända värden.
1860-08-02 07:00:01;1860-09-01 07:00:00;1860-08;82.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1860-09-01 07:00:01;1860-10-01 07:00:00;1860-09;124.0;G;;
1860-10-02 07:00:01;1860-11-01 07:00:00;1860-10;117.0;G;;Orsaker till saknade data:
1860-11-01 07:00:01;1860-12-01 07:00:00;1860-11;52.0;G;;  stationen eller givaren har varit ur funktion.
1860-12-02 07:00:01;1861-01-01 07:00:00;1860-12;57.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1861-01-02 07:00:01;1861-02-01 07:00:00;1861-01;43.0;G
1861-01-30 07:00:01;1861-03-01 07:00:00;1861-02;65.0;G
1861-03-02 07:00:01;1861-04-01 07:00:00;1861-03;77.0;G
1861-04-01 07:00:01;1861-05-01 07:00:00;1861-04;18.0;G
1861-05-02 07:00:01;1861-06-01 07:00:00;1861-05;41.0;G
1861-06-01 07:00:01;1861-07-01 07:00:00;1861-06;16.0;G
1861-07-02 07:00:01;1861-08-01 07:00:00;1861-07;112.0;G
1861-08-02 07:00:01;1861-09-01 07:00:00;1861-08;65.0;G
1861-09-01 07:00:01;1861-10-01 07:00:00;1861-09;85.0;G
1861-10-02 07:00:01;1861-11-01 07:00:00;1861-10;22.0;G
1861-11-01 07:00:01;1861-12-01 07:00:00;1861-11;115.0;G
1861-12-02 07:00:01;1862-01-01 07:00:00;1861-12;35.0;G
1862-01-02 07:00:01;1862-02-01 07:00:00;1862-01;33.0;G
1862-01-30 07:00:01;1862-03-01 07:00:00;1862-02;27.0;G
1862-03-02 07:00:01;1862-04-01 07:00:00;1862-03;41.0;G
1862-04-01 07:00:01;1862-05-01 07:00:00;1862-04;101.0;G
1862-05-02 07:00:01;1862-06-01 07:00:00;1862-05;51.0;G
1862-06-01 07:00:01;1862-07-01 07:00:00;1862-06;151.0;G
1862-07-02 07:00:01;1862-08-01 07:00:00;1862-07;110.0;G
1862-08-02 07:00:01;1862-09-01 07:00:00;1862-08;61.0;G
1862-09-01 07:00:01;1862-10-01 07:00:00;1862-09;63.0;G
1862-10-02 07:00:01;1862-11-01 07:00:00;1862-10;161.0;G
1862-11-01 07:00:01;1862-12-01 07:00:00;1862-11;103.0;G
1862-12-02 07:00:01;1863-01-01 07:00:00;1862-12;72.0;G
1863-01-02 07:00:01;1863-02-01 07:00:00;1863-01;67.0;G
1863-01-30 07:00:01;1863-03-01 07:00:00;1863-02;70.0;G
1863-03-02 07:00:01;1863-04-01 07:00:00;1863-03;54.0;G
1863-04-01 07:00:01;1863-05-01 07:00:00;1863-04;56.0;G
1863-05-02 07:00:01;1863-06-01 07:00:00;1863-05;45.0;G
1863-06-01 07:00:01;1863-07-01 07:00:00;1863-06;75.0;G
1863-07-02 07:00:01;1863-08-01 07:00:00;1863-07;55.0;G
1863-08-02 07:00:01;1863-09-01 07:00:00;1863-08;103.0;G
1863-09-01 07:00:01;1863-10-01 07:00:00;1863-09;115.0;G
1863-10-02 07:00:01;1863-11-01 07:00:00;1863-10;92.0;G
1863-11-01 07:00:01;1863-12-01 07:00:00;1863-11;30.0;G
1863-12-02 07:00:01;1864-01-01 07:00:00;1863-12;41.0;G
1864-01-02 07:00:01;1864-02-01 07:00:00;1864-01;36.0;G
1864-01-31 07:00:01;1864-03-01 07:00:00;1864-02;86.0;G
1864-03-02 07:00:01;1864-04-01 07:00:00;1864-03;66.0;G
1864-04-01 07:00:01;1864-05-01 07:00:00;1864-04;20.0;G
1864-05-02 07:00:01;1864-06-01 07:00:00;1864-05;34.0;G
1864-06-01 07:00:01;1864-07-01 07:00:00;1864-06;84.0;G
1864-07-02 07:00:01;1864-08-01 07:00:00;1864-07;27.0;G
1864-08-02 07:00:01;1864-09-01 07:00:00;1864-08;47.0;G
1864-09-01 07:00:01;1864-10-01 07:00:00;1864-09;73.0;G
1864-10-02 07:00:01;1864-11-01 07:00:00;1864-10;70.0;G
1864-11-01 07:00:01;1864-12-01 07:00:00;1864-11;51.0;G
1864-12-02 07:00:01;1865-01-01 07:00:00;1864-12;30.0;G
1865-01-02 07:00:01;1865-02-01 07:00:00;1865-01;79.0;G
1865-01-30 07:00:01;1865-03-01 07:00:00;1865-02;58.0;G
1865-03-02 07:00:01;1865-04-01 07:00:00;1865-03;30.0;G
1865-04-01 07:00:01;1865-05-01 07:00:00;1865-04;7.0;G
1865-05-02 07:00:01;1865-06-01 07:00:00;1865-05;60.0;G
1865-06-01 07:00:01;1865-07-01 07:00:00;1865-06;9.0;G
1865-07-02 07:00:01;1865-08-01 07:00:00;1865-07;85.0;G
1865-08-02 07:00:01;1865-09-01 07:00:00;1865-08;99.0;G
1865-09-01 07:00:01;1865-10-01 07:00:00;1865-09;9.0;G
1865-10-02 07:00:01;1865-11-01 07:00:00;1865-10;86.0;G
1865-11-01 07:00:01;1865-12-01 07:00:00;1865-11;39.0;G
1865-12-02 07:00:01;1866-01-01 07:00:00;1865-12;71.0;G
1866-01-02 07:00:01;1866-02-01 07:00:00;1866-01;72.0;G
1866-01-30 07:00:01;1866-03-01 07:00:00;1866-02;116.0;G
1866-03-02 07:00:01;1866-04-01 07:00:00;1866-03;71.0;G
1866-04-01 07:00:01;1866-05-01 07:00:00;1866-04;24.0;G
1866-05-02 07:00:01;1866-06-01 07:00:00;1866-05;101.0;G
1866-06-01 07:00:01;1866-07-01 07:00:00;1866-06;115.0;G
1866-07-02 07:00:01;1866-08-01 07:00:00;1866-07;51.0;G
1866-08-02 07:00:01;1866-09-01 07:00:00;1866-08;120.0;G
1866-09-01 07:00:01;1866-10-01 07:00:00;1866-09;131.0;G
1866-10-02 07:00:01;1866-11-01 07:00:00;1866-10;17.0;G
1866-11-01 07:00:01;1866-12-01 07:00:00;1866-11;65.0;G
1866-12-02 07:00:01;1867-01-01 07:00:00;1866-12;45.0;G
1867-01-02 07:00:01;1867-02-01 07:00:00;1867-01;95.0;G
1867-01-30 07:00:01;1867-03-01 07:00:00;1867-02;48.0;G
1867-03-02 07:00:01;1867-04-01 07:00:00;1867-03;24.0;G
1867-04-01 07:00:01;1867-05-01 07:00:00;1867-04;112.0;G
1867-05-02 07:00:01;1867-06-01 07:00:00;1867-05;18.0;G
1867-06-01 07:00:01;1867-07-01 07:00:00;1867-06;64.0;G
1867-07-02 07:00:01;1867-08-01 07:00:00;1867-07;106.0;G
