Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kroppefjäll-Granan A;82360;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-09-01 00:00:00;2018-05-01 15:00:00;174.0;58.6068;12.1999

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;43.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;194.8;Y;;Tidsperiod (fr.o.m.) = 1995-09-01 00:00:00 (UTC)
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;62.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;73.0;Y;;Värdet är summerat över = 1 månad
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;20.3;Y;;
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;28.2;Y;;Kvalitetskoderna:
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;29.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;30.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;13.2;Y;;
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;85.9;Y;;Orsaker till saknade data:
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;64.8;Y;;  stationen eller givaren har varit ur funktion.
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;38.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;51.0;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;113.4;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;69.7;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;144.6;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;76.4;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;17.7;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;130.1;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;36.5;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;35.3;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;76.7;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;121.5;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;71.2;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;46.4;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;73.4;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;77.6;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;76.6;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;89.8;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;99.7;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;75.5;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;26.7;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;132.0;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;34.3;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;127.7;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;57.2;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;87.5;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;108.5;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;154.2;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;44.5;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;79.0;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;144.3;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;44.5;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;126.5;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;101.4;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;80.5;Y
