Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Bäckefors;82490;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1981-08-01 00:00:00;2014-02-02 05:59:59;150.0;58.8055;12.1581
2014-03-01 00:00:00;2018-05-01 15:00:00;150.0;58.8055;12.1581
1931-02-01 00:00:00;1980-09-30 23:59:59;150.0;58.8055;12.1581

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;61.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;50.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;25.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;83.0;G;;Värdet är summerat över = 1 månad
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;56.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;34.0;G;;Kvalitetskoderna:
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;88.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;80.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;40.0;G;;
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;34.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;47.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;43.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;70.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;8.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;50.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;70.0;G
1932-05-01 07:00:01;1932-06-01 07:00:00;1932-05;85.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;28.0;G
1932-07-01 07:00:01;1932-08-01 07:00:00;1932-07;85.0;G
1932-08-01 07:00:01;1932-09-01 07:00:00;1932-08;35.0;G
1932-09-01 07:00:01;1932-10-01 07:00:00;1932-09;93.0;G
1932-10-01 07:00:01;1932-11-01 07:00:00;1932-10;155.0;G
1932-11-01 07:00:01;1932-12-01 07:00:00;1932-11;85.0;G
1932-12-01 07:00:01;1933-01-01 07:00:00;1932-12;54.0;G
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;50.0;G
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;52.0;G
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;30.0;G
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;9.0;G
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;68.0;G
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;61.0;G
1933-07-01 07:00:01;1933-08-01 07:00:00;1933-07;82.0;G
1933-08-01 07:00:01;1933-09-01 07:00:00;1933-08;50.0;G
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;43.0;G
1933-10-01 07:00:01;1933-11-01 07:00:00;1933-10;118.0;G
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;11.0;G
1933-12-01 07:00:01;1934-01-01 07:00:00;1933-12;12.0;G
1934-01-01 07:00:01;1934-02-01 07:00:00;1934-01;74.0;G
1934-02-01 07:00:01;1934-03-01 07:00:00;1934-02;33.0;G
1934-03-01 07:00:01;1934-04-01 07:00:00;1934-03;94.0;G
1934-04-01 07:00:01;1934-05-01 07:00:00;1934-04;37.0;G
1934-05-01 07:00:01;1934-06-01 07:00:00;1934-05;42.0;G
1934-06-01 07:00:01;1934-07-01 07:00:00;1934-06;31.0;G
1934-07-01 07:00:01;1934-08-01 07:00:00;1934-07;116.0;G
1934-08-01 07:00:01;1934-09-01 07:00:00;1934-08;134.0;G
1934-09-01 07:00:01;1934-10-01 07:00:00;1934-09;161.0;G
1934-10-01 07:00:01;1934-11-01 07:00:00;1934-10;153.0;G
1934-11-01 07:00:01;1934-12-01 07:00:00;1934-11;122.0;G
1934-12-01 07:00:01;1935-01-01 07:00:00;1934-12;100.0;G
1935-01-01 07:00:01;1935-02-01 07:00:00;1935-01;42.0;G
