Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Falköping-Valtorp D;83090;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1878-02-01 00:00:00;2014-02-03 05:59:59;205.0;58.1584;13.5397
2014-04-01 00:00:00;2017-01-31 23:59:59;205.0;58.1584;13.5397
2017-07-01 00:00:00;2018-04-30 23:59:59;166.0;58.2363;13.6332

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1878-01-01 07:00:01;1878-02-01 07:00:00;1878-01;15.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1878-02-01 07:00:01;1878-03-01 07:00:00;1878-02;15.0;G;;Tidsperiod (fr.o.m.) = 1878-02-01 00:00:00 (UTC)
1878-03-01 07:00:01;1878-04-01 07:00:00;1878-03;45.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1878-04-01 07:00:01;1878-05-01 07:00:00;1878-04;15.0;G;;Värdet är summerat över = 1 månad
1878-05-01 07:00:01;1878-06-01 07:00:00;1878-05;95.0;G;;
1878-06-01 07:00:01;1878-07-01 07:00:00;1878-06;100.0;G;;Kvalitetskoderna:
1878-07-01 07:00:01;1878-08-01 07:00:00;1878-07;5.0;G;;Grön (G) = Kontrollerade och godkända värden.
1878-08-01 07:00:01;1878-09-01 07:00:00;1878-08;126.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1878-09-01 07:00:01;1878-10-01 07:00:00;1878-09;50.0;G;;
1878-10-01 07:00:01;1878-11-01 07:00:00;1878-10;20.0;G;;Orsaker till saknade data:
1878-11-01 07:00:01;1878-12-01 07:00:00;1878-11;55.0;G;;  stationen eller givaren har varit ur funktion.
1878-12-01 07:00:01;1879-01-01 07:00:00;1878-12;65.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1879-01-01 07:00:01;1879-02-01 07:00:00;1879-01;15.0;G
1879-02-01 07:00:01;1879-03-01 07:00:00;1879-02;23.0;G
1879-03-01 07:00:01;1879-04-01 07:00:00;1879-03;18.0;G
1879-04-01 07:00:01;1879-05-01 07:00:00;1879-04;35.0;G
1879-05-01 07:00:01;1879-06-01 07:00:00;1879-05;87.0;G
1879-06-01 07:00:01;1879-07-01 07:00:00;1879-06;99.0;G
1879-07-01 07:00:01;1879-08-01 07:00:00;1879-07;87.0;G
1879-08-01 07:00:01;1879-09-01 07:00:00;1879-08;86.0;G
1879-09-01 07:00:01;1879-10-01 07:00:00;1879-09;47.0;G
1879-10-01 07:00:01;1879-11-01 07:00:00;1879-10;39.0;G
1879-11-01 07:00:01;1879-12-01 07:00:00;1879-11;41.0;G
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;18.0;G
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;14.0;G
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;54.0;G
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;19.0;G
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;41.0;G
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;31.0;G
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;56.0;G
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;83.0;G
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;45.0;G
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;16.0;G
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;55.0;G
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;32.0;G
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;30.0;G
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;13.0;G
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;15.0;G
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;16.0;G
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;6.0;G
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;62.0;G
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;66.0;G
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;112.0;G
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;106.0;G
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;81.0;G
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;49.0;G
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;61.0;G
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;27.0;G
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;30.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;26.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;47.0;G
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;34.0;G
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;69.0;G
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;49.0;G
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;144.0;G
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;106.0;G
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;58.0;G
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;49.0;G
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;50.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;40.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;37.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;16.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;10.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;12.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;40.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;33.0;G
1883-07-01 07:00:01;1883-08-01 07:00:00;1883-07;157.0;G
1883-08-01 07:00:01;1883-09-01 07:00:00;1883-08;87.0;G
1883-09-01 07:00:01;1883-10-01 07:00:00;1883-09;115.0;G
1883-10-01 07:00:01;1883-11-01 07:00:00;1883-10;59.0;G
1883-11-01 07:00:01;1883-12-01 07:00:00;1883-11;52.0;G
1883-12-01 07:00:01;1884-01-01 07:00:00;1883-12;16.0;G
1884-01-01 07:00:01;1884-02-01 07:00:00;1884-01;42.0;G
1884-02-01 07:00:01;1884-03-01 07:00:00;1884-02;21.0;G
1884-03-01 07:00:01;1884-04-01 07:00:00;1884-03;22.0;G
1884-04-01 07:00:01;1884-05-01 07:00:00;1884-04;4.0;G
1884-05-01 07:00:01;1884-06-01 07:00:00;1884-05;68.0;G
1884-06-01 07:00:01;1884-07-01 07:00:00;1884-06;38.0;G
1884-07-01 07:00:01;1884-08-01 07:00:00;1884-07;90.0;G
1884-08-01 07:00:01;1884-09-01 07:00:00;1884-08;25.0;G
1884-09-01 07:00:01;1884-10-01 07:00:00;1884-09;43.0;G
1884-10-01 07:00:01;1884-11-01 07:00:00;1884-10;84.0;G
1884-11-01 07:00:01;1884-12-01 07:00:00;1884-11;17.0;G
1884-12-01 07:00:01;1885-01-01 07:00:00;1884-12;65.0;G
1885-01-01 07:00:01;1885-02-01 07:00:00;1885-01;29.0;G
1885-02-01 07:00:01;1885-03-01 07:00:00;1885-02;19.0;G
1885-03-01 07:00:01;1885-04-01 07:00:00;1885-03;48.0;G
1885-04-01 07:00:01;1885-05-01 07:00:00;1885-04;29.0;G
1885-05-01 07:00:01;1885-06-01 07:00:00;1885-05;82.0;G
1885-06-01 07:00:01;1885-07-01 07:00:00;1885-06;38.0;G
1885-07-01 07:00:01;1885-08-01 07:00:00;1885-07;54.0;G
1885-08-01 07:00:01;1885-09-01 07:00:00;1885-08;127.0;G
1885-09-01 07:00:01;1885-10-01 07:00:00;1885-09;68.0;G
1885-10-01 07:00:01;1885-11-01 07:00:00;1885-10;64.0;G
1885-11-01 07:00:01;1885-12-01 07:00:00;1885-11;25.0;G
1885-12-01 07:00:01;1886-01-01 07:00:00;1885-12;46.0;G
1886-01-01 07:00:01;1886-02-01 07:00:00;1886-01;38.0;G
1886-02-01 07:00:01;1886-03-01 07:00:00;1886-02;1.0;G
1886-03-01 07:00:01;1886-04-01 07:00:00;1886-03;21.0;G
1886-04-01 07:00:01;1886-05-01 07:00:00;1886-04;56.0;G
1886-05-01 07:00:01;1886-06-01 07:00:00;1886-05;40.0;G
1886-06-01 07:00:01;1886-07-01 07:00:00;1886-06;40.0;G
1886-07-01 07:00:01;1886-08-01 07:00:00;1886-07;55.0;G
1886-08-01 07:00:01;1886-09-01 07:00:00;1886-08;24.0;G
1886-09-01 07:00:01;1886-10-01 07:00:00;1886-09;37.0;G
1886-10-01 07:00:01;1886-11-01 07:00:00;1886-10;15.0;G
1886-11-01 07:00:01;1886-12-01 07:00:00;1886-11;49.0;G
1886-12-01 07:00:01;1887-01-01 07:00:00;1886-12;35.0;G
1887-01-01 07:00:01;1887-02-01 07:00:00;1887-01;15.0;G
1887-02-01 07:00:01;1887-03-01 07:00:00;1887-02;10.0;G
1887-03-01 07:00:01;1887-04-01 07:00:00;1887-03;8.0;G
1887-04-01 07:00:01;1887-05-01 07:00:00;1887-04;42.0;G
1887-05-01 07:00:01;1887-06-01 07:00:00;1887-05;34.0;G
1887-06-01 07:00:01;1887-07-01 07:00:00;1887-06;2.0;G
1887-07-01 07:00:01;1887-08-01 07:00:00;1887-07;87.0;G
1887-08-01 07:00:01;1887-09-01 07:00:00;1887-08;20.0;G
1887-09-01 07:00:01;1887-10-01 07:00:00;1887-09;93.0;G
1887-10-01 07:00:01;1887-11-01 07:00:00;1887-10;40.0;G
1887-11-01 07:00:01;1887-12-01 07:00:00;1887-11;31.0;G
1887-12-01 07:00:01;1888-01-01 07:00:00;1887-12;19.0;G
1888-01-01 07:00:01;1888-02-01 07:00:00;1888-01;13.0;G
1888-02-01 07:00:01;1888-03-01 07:00:00;1888-02;22.0;G
1888-03-01 07:00:01;1888-04-01 07:00:00;1888-03;26.0;G
1888-04-01 07:00:01;1888-05-01 07:00:00;1888-04;6.0;G
1888-05-01 07:00:01;1888-06-01 07:00:00;1888-05;52.0;G
1888-06-01 07:00:01;1888-07-01 07:00:00;1888-06;58.0;G
1888-07-01 07:00:01;1888-08-01 07:00:00;1888-07;114.0;G
1888-08-01 07:00:01;1888-09-01 07:00:00;1888-08;66.0;G
1888-09-01 07:00:01;1888-10-01 07:00:00;1888-09;41.0;G
1888-10-01 07:00:01;1888-11-01 07:00:00;1888-10;80.0;G
1888-11-01 07:00:01;1888-12-01 07:00:00;1888-11;34.0;G
1888-12-01 07:00:01;1889-01-01 07:00:00;1888-12;30.0;G
1889-05-01 07:00:01;1889-06-01 07:00:00;1889-05;37.0;G
1889-06-01 07:00:01;1889-07-01 07:00:00;1889-06;42.0;G
1889-07-01 07:00:01;1889-08-01 07:00:00;1889-07;92.0;G
1951-01-01 06:00:01;1951-02-01 06:00:00;1951-01;65.0;G
1951-02-01 06:00:01;1951-03-01 06:00:00;1951-02;50.0;G
1951-03-01 06:00:01;1951-04-01 06:00:00;1951-03;45.0;G
1951-04-01 06:00:01;1951-05-01 06:00:00;1951-04;50.0;G
1951-05-01 06:00:01;1951-06-01 06:00:00;1951-05;15.0;G
1951-06-01 06:00:01;1951-07-01 06:00:00;1951-06;31.7;Y
1951-07-01 06:00:01;1951-08-01 06:00:00;1951-07;46.2;Y
1951-08-01 06:00:01;1951-09-01 06:00:00;1951-08;101.5;Y
1951-09-01 06:00:01;1951-10-01 06:00:00;1951-09;37.3;Y
1951-10-01 06:00:01;1951-11-01 06:00:00;1951-10;16.6;Y
1951-11-01 06:00:01;1951-12-01 06:00:00;1951-11;67.4;Y
1951-12-01 06:00:01;1952-01-01 06:00:00;1951-12;45.7;Y
1952-01-01 06:00:01;1952-02-01 06:00:00;1952-01;45.3;Y
1952-02-01 06:00:01;1952-03-01 06:00:00;1952-02;23.3;Y
