Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hällum A;83190;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-01-01 00:00:00;2018-05-01 15:00:00;70.0;58.3221;13.0406

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;7.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;20.7;Y;;Tidsperiod (fr.o.m.) = 1996-01-01 00:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;13.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;14.3;Y;;Värdet är summerat över = 1 månad
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;87.7;Y;;
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;62.5;Y;;Kvalitetskoderna:
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;27.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;60.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;50.6;Y;;
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;25.2;Y;;Orsaker till saknade data:
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;94.2;Y;;  stationen eller givaren har varit ur funktion.
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;29.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;8.5;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;54.3;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;20.7;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;25.5;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;71.7;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;85.6;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;59.9;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;53.3;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;53.0;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;49.4;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;44.0;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;54.0;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;48.0;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;37.8;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;22.1;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;45.2;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;27.2;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;98.1;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;65.1;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;94.1;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;77.9;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;103.0;Y
