Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Lanna;83210;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1931-02-01 00:00:00;2018-03-31 23:59:59;80.0;58.3476;13.1296

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;41.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;7.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;13.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;45.0;G;;Värdet är summerat över = 1 månad
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;60.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;32.0;G;;Kvalitetskoderna:
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;96.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;102.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;52.0;G;;
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;38.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;23.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;27.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;38.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;4.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;21.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;60.0;G
1932-05-01 07:00:01;1932-06-01 07:00:00;1932-05;55.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;37.0;G
1932-07-01 07:00:01;1932-08-01 07:00:00;1932-07;70.0;G
1932-08-01 07:00:01;1932-09-01 07:00:00;1932-08;33.0;G
1932-09-01 07:00:01;1932-10-01 07:00:00;1932-09;62.0;G
1932-10-01 07:00:01;1932-11-01 07:00:00;1932-10;75.0;G
1932-11-01 07:00:01;1932-12-01 07:00:00;1932-11;50.0;G
1932-12-01 07:00:01;1933-01-01 07:00:00;1932-12;12.0;G
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;15.0;G
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;17.0;G
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;13.0;G
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;2.0;G
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;38.0;G
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;40.0;G
1933-07-01 07:00:01;1933-08-01 07:00:00;1933-07;52.0;G
1933-08-01 07:00:01;1933-09-01 07:00:00;1933-08;29.0;G
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;43.0;G
1933-10-01 07:00:01;1933-11-01 07:00:00;1933-10;49.0;G
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;12.0;G
1933-12-01 07:00:01;1934-01-01 07:00:00;1933-12;3.0;G
1934-01-01 07:00:01;1934-02-01 07:00:00;1934-01;19.0;G
1934-02-01 07:00:01;1934-03-01 07:00:00;1934-02;22.0;G
1934-03-01 07:00:01;1934-04-01 07:00:00;1934-03;56.0;G
1934-04-01 07:00:01;1934-05-01 07:00:00;1934-04;25.0;G
1934-05-01 07:00:01;1934-06-01 07:00:00;1934-05;38.0;G
1934-06-01 07:00:01;1934-07-01 07:00:00;1934-06;20.0;G
1934-07-01 07:00:01;1934-08-01 07:00:00;1934-07;34.0;G
1934-08-01 07:00:01;1934-09-01 07:00:00;1934-08;62.0;G
