Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Traneberg;83400;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1989-11-01 00:00:00;2008-02-29 23:59:59;50.0;58.6592;13.1597
2008-03-01 00:00:00;2014-02-02 05:59:59;50.0;58.6607;13.1507
2014-03-01 00:00:00;2018-05-01 15:00:00;50.0;58.6607;13.1507
1931-02-01 00:00:00;1989-10-31 23:59:59;50.0;58.661;13.1155

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;35.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;10.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;21.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;71.0;G;;Värdet är summerat över = 1 månad
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;57.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;19.0;G;;Kvalitetskoderna:
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;91.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;156.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;41.0;G;;
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;24.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;46.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;21.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;38.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;3.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;34.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;57.0;G
1932-05-01 07:00:01;1932-06-01 07:00:00;1932-05;90.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;20.0;G
1932-07-01 07:00:01;1932-08-01 07:00:00;1932-07;54.0;G
1932-08-01 07:00:01;1932-09-01 07:00:00;1932-08;24.0;G
1932-09-01 07:00:01;1932-10-01 07:00:00;1932-09;86.0;G
1932-10-01 07:00:01;1932-11-01 07:00:00;1932-10;65.0;G
1932-11-01 07:00:01;1932-12-01 07:00:00;1932-11;40.0;G
1932-12-01 07:00:01;1933-01-01 07:00:00;1932-12;17.0;G
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;26.0;G
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;13.0;G
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;18.0;G
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;4.0;G
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;61.0;G
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;37.0;G
