Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Värmlandsnäs-Ekenäs D;83550;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2005-12-01 00:00:00;2018-05-01 15:00:00;50.0;58.8973;13.2384

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;44.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;39.1;Y;;Tidsperiod (fr.o.m.) = 2005-12-01 00:00:00 (UTC)
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;17.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;44.2;Y;;Värdet är summerat över = 1 månad
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;37.1;Y;;
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;48.3;Y;;Kvalitetskoderna:
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;90.5;Y;;Grön (G) = Kontrollerade och godkända värden.
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;70.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;27.5;Y;;
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;77.3;Y;;Orsaker till saknade data:
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;44.4;Y;;  stationen eller givaren har varit ur funktion.
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;106.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;52.8;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;61.0;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;73.4;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;23.8;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;30.0;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;17.0;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;64.9;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;93.3;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;120.6;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;35.7;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;59.3;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;11.4;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;27.9;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;49.5;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;80.3;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;53.6;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;41.3;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;17.0;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;21.1;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;30.2;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;108.0;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;132.4;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;43.1;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;59.5;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;55.6;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;43.1;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;11.6;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;23.8;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;35.7;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;9.4;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;24.4;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;41.4;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;194.9;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;72.8;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;32.8;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;45.5;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;94.6;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;64.6;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;17.0;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;53.5;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;23.6;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;20.6;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;25.7;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;53.1;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;143.8;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;90.4;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;46.9;Y
