Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Visingsö A;84050;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-01-01 00:00:00;2018-05-01 15:00:00;94.0;58.0951;14.4086

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;3.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;12.5;Y;;Tidsperiod (fr.o.m.) = 1996-01-01 00:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;11.7;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;12.7;Y;;Värdet är summerat över = 1 månad
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;62.1;Y;;
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;48.6;Y;;Kvalitetskoderna:
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;73.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;14.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;33.2;Y;;
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;16.7;Y;;Orsaker till saknade data:
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;52.3;Y;;  stationen eller givaren har varit ur funktion.
