Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Ödeshög D;84140;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-02-01 00:00:00;1997-11-30 23:59:59;150.0;58.2307;14.6624
1998-05-01 00:00:00;2018-04-30 23:59:59;120.0;58.2546;14.6584

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1961-01-01 06:00:01;1961-02-01 06:00:00;1961-01;26.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1961-02-01 06:00:01;1961-03-01 06:00:00;1961-02;15.2;Y;;Tidsperiod (fr.o.m.) = 1961-02-01 00:00:00 (UTC)
1961-03-01 06:00:01;1961-04-01 06:00:00;1961-03;13.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1961-04-01 06:00:01;1961-05-01 06:00:00;1961-04;35.8;Y;;Värdet är summerat över = 1 månad
1961-05-01 06:00:01;1961-06-01 06:00:00;1961-05;61.9;Y;;
1961-06-01 06:00:01;1961-07-01 06:00:00;1961-06;40.7;Y;;Kvalitetskoderna:
1961-07-01 06:00:01;1961-08-01 06:00:00;1961-07;70.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1961-08-01 06:00:01;1961-09-01 06:00:00;1961-08;91.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1961-09-01 06:00:01;1961-10-01 06:00:00;1961-09;43.6;Y;;
1961-10-01 06:00:01;1961-11-01 06:00:00;1961-10;40.3;Y;;Orsaker till saknade data:
1961-11-01 06:00:01;1961-12-01 06:00:00;1961-11;60.3;Y;;  stationen eller givaren har varit ur funktion.
1961-12-01 06:00:01;1962-01-01 06:00:00;1961-12;42.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1962-01-01 06:00:01;1962-02-01 06:00:00;1962-01;50.5;Y
1962-02-01 06:00:01;1962-03-01 06:00:00;1962-02;38.5;Y
1962-03-01 06:00:01;1962-04-01 06:00:00;1962-03;26.9;Y
1962-04-01 06:00:01;1962-05-01 06:00:00;1962-04;50.1;Y
1962-05-01 06:00:01;1962-06-01 06:00:00;1962-05;32.1;Y
1962-06-01 06:00:01;1962-07-01 06:00:00;1962-06;48.9;Y
1962-07-01 06:00:01;1962-08-01 06:00:00;1962-07;72.1;Y
1962-08-01 06:00:01;1962-09-01 06:00:00;1962-08;117.3;Y
1962-09-01 06:00:01;1962-10-01 06:00:00;1962-09;72.4;Y
1962-10-01 06:00:01;1962-11-01 06:00:00;1962-10;15.0;Y
1962-11-01 06:00:01;1962-12-01 06:00:00;1962-11;52.5;Y
1962-12-01 06:00:01;1963-01-01 06:00:00;1962-12;43.4;Y
1963-01-01 06:00:01;1963-02-01 06:00:00;1963-01;13.9;Y
1963-02-01 06:00:01;1963-03-01 06:00:00;1963-02;19.1;Y
1963-03-01 06:00:01;1963-04-01 06:00:00;1963-03;8.3;Y
1963-04-01 06:00:01;1963-05-01 06:00:00;1963-04;27.6;Y
1963-05-01 06:00:01;1963-06-01 06:00:00;1963-05;18.7;Y
1963-06-01 06:00:01;1963-07-01 06:00:00;1963-06;64.8;Y
1963-07-01 06:00:01;1963-08-01 06:00:00;1963-07;17.0;Y
1963-08-01 06:00:01;1963-09-01 06:00:00;1963-08;61.6;Y
1963-09-01 06:00:01;1963-10-01 06:00:00;1963-09;47.3;Y
1963-10-01 06:00:01;1963-11-01 06:00:00;1963-10;75.2;Y
1963-11-01 06:00:01;1963-12-01 06:00:00;1963-11;104.6;Y
1963-12-01 06:00:01;1964-01-01 06:00:00;1963-12;7.7;Y
1964-01-01 06:00:01;1964-02-01 06:00:00;1964-01;8.4;Y
1964-02-01 06:00:01;1964-03-01 06:00:00;1964-02;23.0;Y
1964-03-01 06:00:01;1964-04-01 06:00:00;1964-03;1.0;Y
1964-04-01 06:00:01;1964-05-01 06:00:00;1964-04;15.2;Y
1964-05-01 06:00:01;1964-06-01 06:00:00;1964-05;31.4;Y
1964-06-01 06:00:01;1964-07-01 06:00:00;1964-06;37.4;Y
1964-07-01 06:00:01;1964-08-01 06:00:00;1964-07;49.1;Y
1964-08-01 06:00:01;1964-09-01 06:00:00;1964-08;38.2;Y
1964-09-01 06:00:01;1964-10-01 06:00:00;1964-09;67.4;Y
1964-10-01 06:00:01;1964-11-01 06:00:00;1964-10;76.0;Y
1964-11-01 06:00:01;1964-12-01 06:00:00;1964-11;39.9;Y
1964-12-01 06:00:01;1965-01-01 06:00:00;1964-12;49.8;Y
1965-01-01 06:00:01;1965-02-01 06:00:00;1965-01;40.2;Y
1965-02-01 06:00:01;1965-03-01 06:00:00;1965-02;27.2;Y
1965-03-01 06:00:01;1965-04-01 06:00:00;1965-03;10.0;Y
1965-04-01 06:00:01;1965-05-01 06:00:00;1965-04;36.4;Y
1965-05-01 06:00:01;1965-06-01 06:00:00;1965-05;20.2;Y
1965-06-01 06:00:01;1965-07-01 06:00:00;1965-06;75.7;Y
1965-07-01 06:00:01;1965-08-01 06:00:00;1965-07;79.9;Y
1965-08-01 06:00:01;1965-09-01 06:00:00;1965-08;41.9;Y
1965-09-01 06:00:01;1965-10-01 06:00:00;1965-09;122.2;Y
