Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Djursätra;84200;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1954-02-01 00:00:00;2018-04-30 23:59:59;125.0;58.3286;14.0637

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1954-01-01 06:00:01;1954-02-01 06:00:00;1954-01;35.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1954-02-01 06:00:01;1954-03-01 06:00:00;1954-02;20.0;G;;Tidsperiod (fr.o.m.) = 1954-02-01 00:00:00 (UTC)
1954-03-01 06:00:01;1954-04-01 06:00:00;1954-03;40.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1954-04-01 06:00:01;1954-05-01 06:00:00;1954-04;15.0;G;;Värdet är summerat över = 1 månad
1954-05-01 06:00:01;1954-06-01 06:00:00;1954-05;17.4;Y;;
1954-06-01 06:00:01;1954-07-01 06:00:00;1954-06;37.4;Y;;Kvalitetskoderna:
1954-07-01 06:00:01;1954-08-01 06:00:00;1954-07;72.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1954-08-01 06:00:01;1954-09-01 06:00:00;1954-08;73.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1954-09-01 06:00:01;1954-10-01 06:00:00;1954-09;114.5;Y;;
1954-10-01 06:00:01;1954-11-01 06:00:00;1954-10;72.5;Y;;Orsaker till saknade data:
1954-11-01 06:00:01;1954-12-01 06:00:00;1954-11;56.9;Y;;  stationen eller givaren har varit ur funktion.
1954-12-01 06:00:01;1955-01-01 06:00:00;1954-12;44.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1955-01-01 06:00:01;1955-02-01 06:00:00;1955-01;2.3;Y
1955-02-01 06:00:01;1955-03-01 06:00:00;1955-02;24.7;Y
1955-03-01 06:00:01;1955-04-01 06:00:00;1955-03;11.6;Y
1955-04-01 06:00:01;1955-05-01 06:00:00;1955-04;27.9;Y
1955-05-01 06:00:01;1955-06-01 06:00:00;1955-05;51.0;G
1955-06-01 06:00:01;1955-07-01 06:00:00;1955-06;14.5;Y
1955-07-01 06:00:01;1955-08-01 06:00:00;1955-07;10.8;Y
1955-08-01 06:00:01;1955-09-01 06:00:00;1955-08;37.2;Y
1955-09-01 06:00:01;1955-10-01 06:00:00;1955-09;57.5;Y
1955-10-01 06:00:01;1955-11-01 06:00:00;1955-10;88.6;Y
1955-11-01 06:00:01;1955-12-01 06:00:00;1955-11;23.5;Y
1955-12-01 06:00:01;1956-01-01 06:00:00;1955-12;58.1;Y
1956-01-01 06:00:01;1956-02-01 06:00:00;1956-01;38.4;Y
1956-02-01 06:00:01;1956-03-01 06:00:00;1956-02;18.2;Y
1956-03-01 06:00:01;1956-04-01 06:00:00;1956-03;3.5;Y
1956-04-01 06:00:01;1956-05-01 06:00:00;1956-04;15.1;Y
1956-05-01 06:00:01;1956-06-01 06:00:00;1956-05;15.5;Y
1956-06-01 06:00:01;1956-07-01 06:00:00;1956-06;68.7;Y
1956-07-01 06:00:01;1956-08-01 06:00:00;1956-07;37.6;Y
1956-08-01 06:00:01;1956-09-01 06:00:00;1956-08;67.0;Y
1956-09-01 06:00:01;1956-10-01 06:00:00;1956-09;37.3;Y
1956-10-01 06:00:01;1956-11-01 06:00:00;1956-10;29.5;Y
1956-11-01 06:00:01;1956-12-01 06:00:00;1956-11;25.5;Y
1956-12-01 06:00:01;1957-01-01 06:00:00;1956-12;25.3;Y
1957-01-01 06:00:01;1957-02-01 06:00:00;1957-01;35.7;Y
1957-02-01 06:00:01;1957-03-01 06:00:00;1957-02;84.4;Y
1957-03-01 06:00:01;1957-04-01 06:00:00;1957-03;41.7;Y
1957-04-01 06:00:01;1957-05-01 06:00:00;1957-04;24.9;Y
1957-05-01 06:00:01;1957-06-01 06:00:00;1957-05;43.0;G
1957-06-01 06:00:01;1957-07-01 06:00:00;1957-06;39.5;Y
1957-07-01 06:00:01;1957-08-01 06:00:00;1957-07;114.8;Y
1957-08-01 06:00:01;1957-09-01 06:00:00;1957-08;98.9;Y
1957-09-01 06:00:01;1957-10-01 06:00:00;1957-09;106.7;Y
1957-10-01 06:00:01;1957-11-01 06:00:00;1957-10;58.1;Y
1957-11-01 06:00:01;1957-12-01 06:00:00;1957-11;26.2;Y
1957-12-01 06:00:01;1958-01-01 06:00:00;1957-12;18.4;Y
1958-01-01 06:00:01;1958-02-01 06:00:00;1958-01;19.1;Y
1958-02-01 06:00:01;1958-03-01 06:00:00;1958-02;63.3;Y
1958-03-01 06:00:01;1958-04-01 06:00:00;1958-03;15.8;Y
1958-04-01 06:00:01;1958-05-01 06:00:00;1958-04;18.6;Y
1958-05-01 06:00:01;1958-06-01 06:00:00;1958-05;74.5;Y
1958-06-01 06:00:01;1958-07-01 06:00:00;1958-06;34.7;Y
1958-07-01 06:00:01;1958-08-01 06:00:00;1958-07;129.0;G
1958-08-01 06:00:01;1958-09-01 06:00:00;1958-08;109.4;Y
1958-09-01 06:00:01;1958-10-01 06:00:00;1958-09;29.0;G
1958-10-01 06:00:01;1958-11-01 06:00:00;1958-10;50.5;Y
1958-11-01 06:00:01;1958-12-01 06:00:00;1958-11;37.2;Y
1958-12-01 06:00:01;1959-01-01 06:00:00;1958-12;67.0;G
1959-01-01 06:00:01;1959-02-01 06:00:00;1959-01;94.1;Y
1959-02-01 06:00:01;1959-03-01 06:00:00;1959-02;5.0;G
1959-03-01 06:00:01;1959-04-01 06:00:00;1959-03;38.7;Y
1959-04-01 06:00:01;1959-05-01 06:00:00;1959-04;38.3;Y
1959-05-01 06:00:01;1959-06-01 06:00:00;1959-05;8.8;Y
1959-06-01 06:00:01;1959-07-01 06:00:00;1959-06;37.5;Y
1959-07-01 06:00:01;1959-08-01 06:00:00;1959-07;61.2;Y
1959-08-01 06:00:01;1959-09-01 06:00:00;1959-08;27.1;Y
1959-09-01 06:00:01;1959-10-01 06:00:00;1959-09;59.5;Y
1959-10-01 06:00:01;1959-11-01 06:00:00;1959-10;66.5;Y
1959-11-01 06:00:01;1959-12-01 06:00:00;1959-11;27.5;Y
1959-12-01 06:00:01;1960-01-01 06:00:00;1959-12;26.1;Y
1960-01-01 06:00:01;1960-02-01 06:00:00;1960-01;47.5;Y
1960-02-01 06:00:01;1960-03-01 06:00:00;1960-02;17.8;Y
1960-03-01 06:00:01;1960-04-01 06:00:00;1960-03;12.5;Y
1960-04-01 06:00:01;1960-05-01 06:00:00;1960-04;17.7;Y
1960-05-01 06:00:01;1960-06-01 06:00:00;1960-05;25.4;Y
1960-06-01 06:00:01;1960-07-01 06:00:00;1960-06;83.2;Y
1960-07-01 06:00:01;1960-08-01 06:00:00;1960-07;116.0;G
1960-08-01 06:00:01;1960-09-01 06:00:00;1960-08;112.9;Y
1960-09-01 06:00:01;1960-10-01 06:00:00;1960-09;43.5;Y
1960-10-01 06:00:01;1960-11-01 06:00:00;1960-10;82.0;G
1960-11-01 06:00:01;1960-12-01 06:00:00;1960-11;95.1;Y
1960-12-01 06:00:01;1961-01-01 06:00:00;1960-12;63.1;Y
1961-01-01 06:00:01;1961-02-01 06:00:00;1961-01;16.2;Y
1961-02-01 06:00:01;1961-03-01 06:00:00;1961-02;20.7;Y
1961-03-01 06:00:01;1961-04-01 06:00:00;1961-03;19.8;Y
1961-04-01 06:00:01;1961-05-01 06:00:00;1961-04;38.3;Y
1961-05-01 06:00:01;1961-06-01 06:00:00;1961-05;73.5;Y
1961-06-01 06:00:01;1961-07-01 06:00:00;1961-06;50.2;Y
