Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Vadstena D;84270;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2008-09-01 00:00:00;2018-05-01 15:00:00;90.0;58.45;14.8918
1935-02-01 00:00:00;2007-10-01 23:59:59;90.0;58.4423;14.8747

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1935-01-01 07:00:01;1935-02-01 07:00:00;1935-01;20.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1935-02-01 07:00:01;1935-03-01 07:00:00;1935-02;60.0;G;;Tidsperiod (fr.o.m.) = 1935-02-01 00:00:00 (UTC)
1935-03-01 07:00:01;1935-04-01 07:00:00;1935-03;24.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1935-04-01 07:00:01;1935-05-01 07:00:00;1935-04;36.0;G;;Värdet är summerat över = 1 månad
1935-05-01 07:00:01;1935-06-01 07:00:00;1935-05;11.0;G;;
1935-06-01 07:00:01;1935-07-01 07:00:00;1935-06;96.0;G;;Kvalitetskoderna:
1935-07-01 07:00:01;1935-08-01 07:00:00;1935-07;42.0;G;;Grön (G) = Kontrollerade och godkända värden.
1935-08-01 07:00:01;1935-09-01 07:00:00;1935-08;24.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1935-09-01 07:00:01;1935-10-01 07:00:00;1935-09;71.0;G;;
1935-10-01 07:00:01;1935-11-01 07:00:00;1935-10;72.0;G;;Orsaker till saknade data:
1935-11-01 07:00:01;1935-12-01 07:00:00;1935-11;44.0;G;;  stationen eller givaren har varit ur funktion.
1935-12-01 07:00:01;1936-01-01 07:00:00;1935-12;82.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1936-01-01 07:00:01;1936-02-01 07:00:00;1936-01;55.0;G
1936-02-01 07:00:01;1936-03-01 07:00:00;1936-02;15.0;G
1936-03-01 07:00:01;1936-04-01 07:00:00;1936-03;26.0;G
1936-04-01 07:00:01;1936-05-01 07:00:00;1936-04;51.0;G
1936-05-01 07:00:01;1936-06-01 07:00:00;1936-05;47.0;G
1936-06-01 07:00:01;1936-07-01 07:00:00;1936-06;52.0;G
1936-07-01 07:00:01;1936-08-01 07:00:00;1936-07;76.0;G
