Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Axstål Mo;84340;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2010-06-01 00:00:00;2018-04-30 23:59:59;91.0;58.5719;14.5722

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;30.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;16.5;Y;;Tidsperiod (fr.o.m.) = 2010-06-01 00:00:00 (UTC)
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;15.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;5.6;Y;;Värdet är summerat över = 1 månad
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;20.8;Y;;
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;75.2;Y;;Kvalitetskoderna:
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;102.1;Y;;Grön (G) = Kontrollerade och godkända värden.
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;24.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;34.8;Y;;
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;8.4;Y;;Orsaker till saknade data:
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;27.9;Y;;  stationen eller givaren har varit ur funktion.
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;11.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;25.8;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;32.7;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;17.9;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;15.4;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;18.3;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;34.3;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;35.2;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;9.1;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;18.3;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;8.3;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;31.7;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;26.5;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;68.6;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;34.2;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;94.3;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;0.6;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;46.9;Y
2015-12-01 06:00:01;2016-01-01 06:00:00;2015-12;27.2;Y
2016-01-01 06:00:01;2016-02-01 06:00:00;2016-01;29.1;Y
2016-02-01 06:00:01;2016-03-01 06:00:00;2016-02;12.3;Y
2016-03-01 06:00:01;2016-04-01 06:00:00;2016-03;24.1;Y
2016-04-01 06:00:01;2016-05-01 06:00:00;2016-04;50.9;Y
2016-05-01 06:00:01;2016-06-01 06:00:00;2016-05;54.7;Y
2016-06-01 06:00:01;2016-07-01 06:00:00;2016-06;23.0;Y
2016-07-01 06:00:01;2016-08-01 06:00:00;2016-07;30.1;Y
2016-08-01 06:00:01;2016-09-01 06:00:00;2016-08;75.3;Y
2016-09-01 06:00:01;2016-10-01 06:00:00;2016-09;12.9;Y
2016-10-01 06:00:01;2016-11-01 06:00:00;2016-10;33.9;Y
2016-11-01 06:00:01;2016-12-01 06:00:00;2016-11;15.5;Y
2016-12-01 06:00:01;2017-01-01 06:00:00;2016-12;22.6;Y
2017-01-01 06:00:01;2017-02-01 06:00:00;2017-01;7.4;Y
2017-02-01 06:00:01;2017-03-01 06:00:00;2017-02;17.4;Y
2017-03-01 06:00:01;2017-04-01 06:00:00;2017-03;37.5;Y
2017-04-01 06:00:01;2017-05-01 06:00:00;2017-04;26.3;Y
2017-05-01 06:00:01;2017-06-01 06:00:00;2017-05;20.9;Y
2017-06-01 06:00:01;2017-07-01 06:00:00;2017-06;42.0;Y
2017-07-01 06:00:01;2017-08-01 06:00:00;2017-07;15.5;Y
2017-08-01 06:00:01;2017-09-01 06:00:00;2017-08;98.9;Y
2017-09-01 06:00:01;2017-10-01 06:00:00;2017-09;55.7;Y
2017-10-01 06:00:01;2017-11-01 06:00:00;2017-10;60.6;Y
