Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Fägre D;84390;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1965-08-01 00:00:00;1979-07-31 23:59:59;97.0;58.649300000000004;14.1265
2006-01-01 00:00:00;2018-04-30 23:59:59;85.0;58.644400000000005;14.065900000000001
1979-11-01 00:00:00;1992-09-01 06:00:00;95.0;58.649300000000004;14.1265

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1965-07-01 06:00:01;1965-08-01 06:00:00;1965-07;110.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1965-08-01 06:00:01;1965-09-01 06:00:00;1965-08;29.6;Y;;Tidsperiod (fr.o.m.) = 1965-08-01 00:00:00 (UTC)
1965-09-01 06:00:01;1965-10-01 06:00:00;1965-09;88.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1965-10-01 06:00:01;1965-11-01 06:00:00;1965-10;15.6;Y;;Värdet är summerat över = 1 månad
1965-11-01 06:00:01;1965-12-01 06:00:00;1965-11;49.8;Y;;
1965-12-01 06:00:01;1966-01-01 06:00:00;1965-12;51.7;Y;;Kvalitetskoderna:
1966-01-01 06:00:01;1966-02-01 06:00:00;1966-01;25.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1966-02-01 06:00:01;1966-03-01 06:00:00;1966-02;70.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1966-03-01 06:00:01;1966-04-01 06:00:00;1966-03;50.8;Y;;
1966-04-01 06:00:01;1966-05-01 06:00:00;1966-04;27.2;Y;;Orsaker till saknade data:
1966-05-01 06:00:01;1966-06-01 06:00:00;1966-05;33.4;Y;;  stationen eller givaren har varit ur funktion.
1966-06-01 06:00:01;1966-07-01 06:00:00;1966-06;20.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1966-07-01 06:00:01;1966-08-01 06:00:00;1966-07;55.5;Y
1966-08-01 06:00:01;1966-09-01 06:00:00;1966-08;63.4;Y
1966-09-01 06:00:01;1966-10-01 06:00:00;1966-09;51.2;Y
1966-10-01 06:00:01;1966-11-01 06:00:00;1966-10;53.8;Y
1966-11-01 06:00:01;1966-12-01 06:00:00;1966-11;38.8;Y
