Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Boxholm D;85120;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2006-05-01 00:00:00;2018-02-28 23:59:59;160.0;58.2048;15.0215

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;57.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;45.0;Y;;Tidsperiod (fr.o.m.) = 2006-05-01 00:00:00 (UTC)
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;41.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;39.0;Y;;Värdet är summerat över = 1 månad
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;148.4;Y;;
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;14.9;Y;;Kvalitetskoderna:
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;137.6;Y;;Grön (G) = Kontrollerade och godkända värden.
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;63.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;29.0;Y;;
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;71.3;Y;;Orsaker till saknade data:
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;31.4;Y;;  stationen eller givaren har varit ur funktion.
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;40.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;26.7;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;75.1;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;128.2;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;171.9;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;57.0;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;68.2;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;10.9;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;56.4;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;38.6;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;43.7;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;42.2;Y
