Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Malmslätt;85240;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1945-02-01 00:00:00;2018-05-01 15:00:00;93.0;58.4004;15.5327

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1945-01-01 07:00:01;1945-02-01 07:00:00;1945-01;32.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1945-02-01 07:00:01;1945-03-01 07:00:00;1945-02;36.0;G;;Tidsperiod (fr.o.m.) = 1945-02-01 00:00:00 (UTC)
1945-03-01 07:00:01;1945-04-01 07:00:00;1945-03;15.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1945-04-01 07:00:01;1945-05-01 07:00:00;1945-04;27.0;G;;Värdet är summerat över = 1 månad
1945-05-01 07:00:01;1945-06-01 07:00:00;1945-05;73.0;G;;
1945-06-01 07:00:01;1945-07-01 07:00:00;1945-06;35.0;G;;Kvalitetskoderna:
1945-07-01 07:00:01;1945-08-01 07:00:00;1945-07;41.0;G;;Grön (G) = Kontrollerade och godkända värden.
1945-08-01 07:00:01;1945-09-01 07:00:00;1945-08;197.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1945-09-01 07:00:01;1945-10-01 07:00:00;1945-09;49.0;G;;
1945-10-01 07:00:01;1945-11-01 07:00:00;1945-10;35.0;G;;Orsaker till saknade data:
1945-11-01 07:00:01;1945-12-01 07:00:00;1945-11;44.0;G;;  stationen eller givaren har varit ur funktion.
1945-12-01 07:00:01;1946-01-01 07:00:00;1945-12;45.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1946-01-01 07:00:01;1946-02-01 07:00:00;1946-01;24.0;G
1946-02-01 07:00:01;1946-03-01 07:00:00;1946-02;38.0;G
1946-03-01 07:00:01;1946-04-01 07:00:00;1946-03;13.0;G
1946-04-01 07:00:01;1946-05-01 07:00:00;1946-04;35.0;G
1946-05-01 07:00:01;1946-06-01 07:00:00;1946-05;30.0;G
1946-06-01 07:00:01;1946-07-01 07:00:00;1946-06;110.0;G
1946-07-01 07:00:01;1946-08-01 07:00:00;1946-07;36.0;G
1946-08-01 07:00:01;1946-09-01 07:00:00;1946-08;77.0;G
