Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Linköping D;85250;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1860-02-01 00:00:00;1977-09-01 23:59:59;64.0;58.4166;15.6333
2005-11-01 00:00:00;2018-05-01 15:00:00;50.0;58.4214;15.7372

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1860-01-01 07:00:01;1860-02-01 07:00:00;1860-01;49.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1860-02-01 07:00:01;1860-03-01 07:00:00;1860-02;33.0;G;;Tidsperiod (fr.o.m.) = 1860-02-01 00:00:00 (UTC)
1860-03-01 07:00:01;1860-04-01 07:00:00;1860-03;29.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1860-04-01 07:00:01;1860-05-01 07:00:00;1860-04;49.0;G;;Värdet är summerat över = 1 månad
1860-05-01 07:00:01;1860-06-01 07:00:00;1860-05;36.0;G;;
1860-06-01 07:00:01;1860-07-01 07:00:00;1860-06;79.0;G;;Kvalitetskoderna:
1860-07-01 07:00:01;1860-08-01 07:00:00;1860-07;32.0;G;;Grön (G) = Kontrollerade och godkända värden.
1860-08-01 07:00:01;1860-09-01 07:00:00;1860-08;98.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1860-09-01 07:00:01;1860-10-01 07:00:00;1860-09;60.0;G;;
1860-10-01 07:00:01;1860-11-01 07:00:00;1860-10;43.0;G;;Orsaker till saknade data:
1860-11-01 07:00:01;1860-12-01 07:00:00;1860-11;16.0;G;;  stationen eller givaren har varit ur funktion.
