Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Vånga D;85350;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2008-09-01 00:00:00;2018-03-31 23:59:59;45.0;58.588;15.8142
1990-02-01 00:00:00;2008-07-01 23:59:59;45.0;58.588;15.8155

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;46.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;59.4;Y;;Tidsperiod (fr.o.m.) = 1990-02-01 00:00:00 (UTC)
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;24.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;17.5;Y;;Värdet är summerat över = 1 månad
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;13.0;Y;;
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;49.6;Y;;Kvalitetskoderna:
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;76.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;44.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;101.6;Y;;
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;47.6;Y;;Orsaker till saknade data:
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;44.9;Y;;  stationen eller givaren har varit ur funktion.
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;26.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;50.9;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;24.3;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;28.1;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;11.2;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;32.0;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;102.7;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;35.7;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;58.4;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;48.4;Y
