Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kvarn Mo;85390;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2013-02-01 00:00:00;2018-04-30 23:59:59;72.0;58.6277;15.4372

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;19.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;21.9;Y;;Tidsperiod (fr.o.m.) = 2013-02-01 00:00:00 (UTC)
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;7.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;57.0;Y;;Värdet är summerat över = 1 månad
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;66.2;Y;;
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;58.9;Y;;Kvalitetskoderna:
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;45.5;Y;;Grön (G) = Kontrollerade och godkända värden.
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;52.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;51.7;Y;;
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;60.8;Y;;Orsaker till saknade data:
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;52.8;Y;;  stationen eller givaren har varit ur funktion.
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;40.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;63.9;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;57.8;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;81.4;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;23.4;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;102.5;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;27.7;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;79.7;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;41.3;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;32.2;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;53.9;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;17.7;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;43.0;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;14.2;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;105.7;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;63.4;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;143.6;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;49.0;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;104.5;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;1.4;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;71.1;Y
2015-12-01 06:00:01;2016-01-01 06:00:00;2015-12;41.1;Y
2016-01-01 06:00:01;2016-02-01 06:00:00;2016-01;24.6;Y
2016-02-01 06:00:01;2016-03-01 06:00:00;2016-02;20.3;Y
2016-03-01 06:00:01;2016-04-01 06:00:00;2016-03;25.9;Y
2016-04-01 06:00:01;2016-05-01 06:00:00;2016-04;31.7;Y
2016-05-01 06:00:01;2016-06-01 06:00:00;2016-05;34.7;Y
2016-06-01 06:00:01;2016-07-01 06:00:00;2016-06;69.5;Y
2016-07-01 06:00:01;2016-08-01 06:00:00;2016-07;28.0;Y
2016-08-01 06:00:01;2016-09-01 06:00:00;2016-08;79.4;Y
2016-09-01 06:00:01;2016-10-01 06:00:00;2016-09;21.1;Y
2016-10-01 06:00:01;2016-11-01 06:00:00;2016-10;62.3;Y
2016-11-01 06:00:01;2016-12-01 06:00:00;2016-11;20.8;Y
2016-12-01 06:00:01;2017-01-01 06:00:00;2016-12;24.6;Y
2017-01-01 06:00:01;2017-02-01 06:00:00;2017-01;12.2;Y
2017-02-01 06:00:01;2017-03-01 06:00:00;2017-02;22.7;Y
2017-03-01 06:00:01;2017-04-01 06:00:00;2017-03;50.5;Y
2017-04-01 06:00:01;2017-05-01 06:00:00;2017-04;32.6;Y
2017-05-01 06:00:01;2017-06-01 06:00:00;2017-05;32.5;Y
2017-06-01 06:00:01;2017-07-01 06:00:00;2017-06;61.8;Y
2017-07-01 06:00:01;2017-08-01 06:00:00;2017-07;25.4;Y
2017-08-01 06:00:01;2017-09-01 06:00:00;2017-08;111.3;Y
2017-09-01 06:00:01;2017-10-01 06:00:00;2017-09;74.6;Y
2017-10-01 06:00:01;2017-11-01 06:00:00;2017-10;66.5;Y
2017-11-01 06:00:01;2017-12-01 06:00:00;2017-11;66.6;Y
2017-12-01 06:00:01;2018-01-01 06:00:00;2017-12;50.2;Y
2018-01-01 06:00:01;2018-02-01 06:00:00;2018-01;46.7;Y
