Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Tjällmo D;85440;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1998-11-01 00:00:00;2018-04-30 23:59:59;75.0;58.7417;15.3735
1964-02-01 06:00:00;1998-05-01 23:59:59;60.0;58.7169;15.3502

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1964-01-01 06:00:01;1964-02-01 06:00:00;1964-01;6.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1964-02-01 06:00:01;1964-03-01 06:00:00;1964-02;25.0;G;;Tidsperiod (fr.o.m.) = 1964-02-01 06:00:00 (UTC)
1964-03-01 06:00:01;1964-04-01 06:00:00;1964-03;0.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1964-04-01 06:00:01;1964-05-01 06:00:00;1964-04;15.0;G;;Värdet är summerat över = 1 månad
1964-05-01 06:00:01;1964-06-01 06:00:00;1964-05;68.1;Y;;
1964-06-01 06:00:01;1964-07-01 06:00:00;1964-06;47.1;Y;;Kvalitetskoderna:
1964-07-01 06:00:01;1964-08-01 06:00:00;1964-07;83.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1964-08-01 06:00:01;1964-09-01 06:00:00;1964-08;50.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1964-09-01 06:00:01;1964-10-01 06:00:00;1964-09;66.8;Y;;
1964-10-01 06:00:01;1964-11-01 06:00:00;1964-10;81.6;Y;;Orsaker till saknade data:
1964-11-01 06:00:01;1964-12-01 06:00:00;1964-11;40.4;Y;;  stationen eller givaren har varit ur funktion.
1964-12-01 06:00:01;1965-01-01 06:00:00;1964-12;44.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1965-01-01 06:00:01;1965-02-01 06:00:00;1965-01;74.5;Y
1965-02-01 06:00:01;1965-03-01 06:00:00;1965-02;27.0;Y
1965-03-01 06:00:01;1965-04-01 06:00:00;1965-03;16.2;Y
1965-04-01 06:00:01;1965-05-01 06:00:00;1965-04;51.9;Y
1965-05-01 06:00:01;1965-06-01 06:00:00;1965-05;13.2;Y
1965-06-01 06:00:01;1965-07-01 06:00:00;1965-06;58.5;Y
1965-07-01 06:00:01;1965-08-01 06:00:00;1965-07;97.0;Y
1965-08-01 06:00:01;1965-09-01 06:00:00;1965-08;33.9;Y
1965-09-01 06:00:01;1965-10-01 06:00:00;1965-09;97.5;Y
1965-10-01 06:00:01;1965-11-01 06:00:00;1965-10;11.7;Y
1965-11-01 06:00:01;1965-12-01 06:00:00;1965-11;43.5;Y
1965-12-01 06:00:01;1966-01-01 06:00:00;1965-12;89.2;Y
1966-01-01 06:00:01;1966-02-01 06:00:00;1966-01;51.1;Y
1966-02-01 06:00:01;1966-03-01 06:00:00;1966-02;122.4;Y
1966-03-01 06:00:01;1966-04-01 06:00:00;1966-03;56.6;Y
1966-04-01 06:00:01;1966-05-01 06:00:00;1966-04;42.6;Y
1966-05-01 06:00:01;1966-06-01 06:00:00;1966-05;41.3;Y
1966-06-01 06:00:01;1966-07-01 06:00:00;1966-06;44.8;Y
1966-07-01 06:00:01;1966-08-01 06:00:00;1966-07;96.0;Y
1966-08-01 06:00:01;1966-09-01 06:00:00;1966-08;59.7;Y
1966-09-01 06:00:01;1966-10-01 06:00:00;1966-09;69.8;Y
1966-10-01 06:00:01;1966-11-01 06:00:00;1966-10;60.7;Y
1966-11-01 06:00:01;1966-12-01 06:00:00;1966-11;66.8;Y
1966-12-01 06:00:01;1967-01-01 06:00:00;1966-12;86.6;Y
1967-01-01 06:00:01;1967-02-01 06:00:00;1967-01;63.6;Y
1967-02-01 06:00:01;1967-03-01 06:00:00;1967-02;53.8;Y
1967-03-01 06:00:01;1967-04-01 06:00:00;1967-03;44.2;Y
1967-04-01 06:00:01;1967-05-01 06:00:00;1967-04;55.2;Y
1967-05-01 06:00:01;1967-06-01 06:00:00;1967-05;66.4;Y
1967-06-01 06:00:01;1967-07-01 06:00:00;1967-06;40.7;Y
1967-07-01 06:00:01;1967-08-01 06:00:00;1967-07;60.9;Y
1967-08-01 06:00:01;1967-09-01 06:00:00;1967-08;133.6;Y
1967-09-01 06:00:01;1967-10-01 06:00:00;1967-09;105.6;Y
1967-10-01 06:00:01;1967-11-01 06:00:00;1967-10;139.3;Y
1967-11-01 06:00:01;1967-12-01 06:00:00;1967-11;30.3;Y
1967-12-01 06:00:01;1968-01-01 06:00:00;1967-12;52.4;Y
1968-01-01 06:00:01;1968-02-01 06:00:00;1968-01;66.2;Y
1968-02-01 06:00:01;1968-03-01 06:00:00;1968-02;23.4;Y
1968-03-01 06:00:01;1968-04-01 06:00:00;1968-03;37.8;Y
1968-04-01 06:00:01;1968-05-01 06:00:00;1968-04;34.0;Y
1968-05-01 06:00:01;1968-06-01 06:00:00;1968-05;73.2;Y
1968-06-01 06:00:01;1968-07-01 06:00:00;1968-06;24.8;Y
1968-07-01 06:00:01;1968-08-01 06:00:00;1968-07;70.3;Y
1968-08-01 06:00:01;1968-09-01 06:00:00;1968-08;60.0;Y
1968-09-01 06:00:01;1968-10-01 06:00:00;1968-09;43.5;Y
1968-10-01 06:00:01;1968-11-01 06:00:00;1968-10;122.8;Y
1968-11-01 06:00:01;1968-12-01 06:00:00;1968-11;75.8;Y
1968-12-01 06:00:01;1969-01-01 06:00:00;1968-12;57.8;Y
1969-01-01 06:00:01;1969-02-01 06:00:00;1969-01;78.3;Y
1969-02-01 06:00:01;1969-03-01 06:00:00;1969-02;48.3;Y
1969-03-01 06:00:01;1969-04-01 06:00:00;1969-03;32.4;Y
1969-04-01 06:00:01;1969-05-01 06:00:00;1969-04;42.4;Y
1969-05-01 06:00:01;1969-06-01 06:00:00;1969-05;85.9;Y
1969-06-01 06:00:01;1969-07-01 06:00:00;1969-06;9.8;Y
1969-07-01 06:00:01;1969-08-01 06:00:00;1969-07;19.6;Y
1969-08-01 06:00:01;1969-09-01 06:00:00;1969-08;67.4;Y
1969-09-01 06:00:01;1969-10-01 06:00:00;1969-09;41.3;Y
1969-10-01 06:00:01;1969-11-01 06:00:00;1969-10;47.6;Y
1969-11-01 06:00:01;1969-12-01 06:00:00;1969-11;79.0;Y
1969-12-01 06:00:01;1970-01-01 06:00:00;1969-12;18.0;Y
1970-01-01 06:00:01;1970-02-01 06:00:00;1970-01;29.7;Y
1970-02-01 06:00:01;1970-03-01 06:00:00;1970-02;17.2;Y
1970-03-01 06:00:01;1970-04-01 06:00:00;1970-03;50.9;Y
1970-04-01 06:00:01;1970-05-01 06:00:00;1970-04;87.9;Y
1970-05-01 06:00:01;1970-06-01 06:00:00;1970-05;15.5;Y
1970-06-01 06:00:01;1970-07-01 06:00:00;1970-06;47.4;Y
1970-07-01 06:00:01;1970-08-01 06:00:00;1970-07;87.9;Y
1970-08-01 06:00:01;1970-09-01 06:00:00;1970-08;58.3;Y
1970-09-01 06:00:01;1970-10-01 06:00:00;1970-09;58.2;Y
1970-10-01 06:00:01;1970-11-01 06:00:00;1970-10;115.7;Y
1970-11-01 06:00:01;1970-12-01 06:00:00;1970-11;133.7;Y
1970-12-01 06:00:01;1971-01-01 06:00:00;1970-12;28.3;Y
1971-01-01 06:00:01;1971-02-01 06:00:00;1971-01;44.2;Y
1971-03-01 06:00:01;1971-04-01 06:00:00;1971-03;55.3;Y
1971-04-01 06:00:01;1971-05-01 06:00:00;1971-04;36.2;Y
1971-05-01 06:00:01;1971-06-01 06:00:00;1971-05;21.8;Y
1971-06-01 06:00:01;1971-07-01 06:00:00;1971-06;37.3;Y
1971-07-01 06:00:01;1971-08-01 06:00:00;1971-07;91.9;Y
1971-08-01 06:00:01;1971-09-01 06:00:00;1971-08;100.0;Y
1971-09-01 06:00:01;1971-10-01 06:00:00;1971-09;48.6;Y
1971-10-01 06:00:01;1971-11-01 06:00:00;1971-10;44.5;Y
1971-11-01 06:00:01;1971-12-01 06:00:00;1971-11;94.1;Y
1971-12-01 06:00:01;1972-01-01 06:00:00;1971-12;52.8;Y
1972-01-01 06:00:01;1972-02-01 06:00:00;1972-01;24.6;Y
1972-02-01 06:00:01;1972-03-01 06:00:00;1972-02;43.2;Y
1972-03-01 06:00:01;1972-04-01 06:00:00;1972-03;21.2;Y
1972-04-01 06:00:01;1972-05-01 06:00:00;1972-04;71.5;Y
1972-05-01 06:00:01;1972-06-01 06:00:00;1972-05;56.1;Y
1972-06-01 06:00:01;1972-07-01 06:00:00;1972-06;41.9;Y
1972-07-01 06:00:01;1972-08-01 06:00:00;1972-07;48.9;Y
1972-08-01 06:00:01;1972-09-01 06:00:00;1972-08;56.6;Y
1972-09-01 06:00:01;1972-10-01 06:00:00;1972-09;84.5;Y
1972-10-01 06:00:01;1972-11-01 06:00:00;1972-10;29.2;Y
1972-11-01 06:00:01;1972-12-01 06:00:00;1972-11;56.3;Y
1972-12-01 06:00:01;1973-01-01 06:00:00;1972-12;41.7;Y
1973-01-01 06:00:01;1973-02-01 06:00:00;1973-01;26.3;Y
1973-02-01 06:00:01;1973-03-01 06:00:00;1973-02;45.8;Y
1973-03-01 06:00:01;1973-04-01 06:00:00;1973-03;9.0;Y
1973-04-01 06:00:01;1973-05-01 06:00:00;1973-04;42.8;Y
1973-05-01 06:00:01;1973-06-01 06:00:00;1973-05;46.2;Y
1973-06-01 06:00:01;1973-07-01 06:00:00;1973-06;27.5;Y
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;59.4;Y
1973-08-01 06:00:01;1973-09-01 06:00:00;1973-08;30.3;Y
1973-09-01 06:00:01;1973-10-01 06:00:00;1973-09;58.3;Y
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;31.1;Y
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;86.7;Y
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;58.8;Y
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;64.6;Y
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;38.0;Y
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;49.6;Y
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;1.5;Y
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;17.7;Y
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;49.6;Y
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;70.4;Y
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;80.4;Y
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;157.5;Y
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;124.4;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;73.6;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;52.5;Y
