Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kettstaka A;85460;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-09-01 00:00:00;2018-04-30 23:59:59;225.0;58.7165;15.03

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;23.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;166.9;Y;;Tidsperiod (fr.o.m.) = 1995-09-01 00:00:00 (UTC)
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;33.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;51.3;Y;;Värdet är summerat över = 1 månad
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;11.6;Y;;
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;14.9;Y;;Kvalitetskoderna:
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;16.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;27.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;17.9;Y;;
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;76.2;Y;;Orsaker till saknade data:
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;63.7;Y;;  stationen eller givaren har varit ur funktion.
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;60.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;30.5;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;58.6;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;51.1;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;98.4;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;35.5;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;14.4;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;42.1;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;10.7;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;26.5;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;82.8;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;68.6;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;73.7;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;21.0;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;49.0;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;64.0;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;82.2;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;68.5;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;38.5;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;71.7;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;28.2;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;44.4;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;35.6;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;101.4;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;100.7;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;130.1;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;47.9;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;84.5;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;27.9;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;72.1;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;71.2;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;19.6;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;47.0;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;64.6;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;40.5;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;57.3;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;67.0;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;57.1;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;79.7;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;24.5;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;19.4;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;71.1;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;26.8;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;25.9;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;25.3;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;49.5;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;41.4;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;67.4;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;195.9;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;46.5;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;18.7;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;137.8;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;140.9;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;125.5;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;55.7;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;33.7;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;27.4;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;50.9;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;29.5;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;31.3;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;30.0;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;66.5;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;104.1;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;69.1;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;20.0;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;29.1;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;65.1;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;66.6;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;30.2;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;44.1;Y
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;90.9;Y
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;124.8;Y
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;75.1;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;4.8;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;9.6;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;50.0;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;59.1;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;22.6;Y
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;26.9;Y
2003-02-01 06:00:01;2003-03-01 06:00:00;2003-02;10.4;Y
2003-03-01 06:00:01;2003-04-01 06:00:00;2003-03;10.9;Y
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;61.8;Y
2003-05-01 06:00:01;2003-06-01 06:00:00;2003-05;58.5;Y
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;83.0;Y
2003-07-01 06:00:01;2003-08-01 06:00:00;2003-07;136.0;Y
2003-08-01 06:00:01;2003-09-01 06:00:00;2003-08;58.6;Y
2003-09-01 06:00:01;2003-10-01 06:00:00;2003-09;15.9;Y
2003-10-01 06:00:01;2003-11-01 06:00:00;2003-10;55.9;Y
