Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Zinkgruvan;85490;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1983-10-01 00:00:00;2018-04-30 23:59:59;215.0;58.8063;15.1285

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1983-09-01 06:00:01;1983-10-01 06:00:00;1983-09;154.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1983-10-01 06:00:01;1983-11-01 06:00:00;1983-10;57.2;Y;;Tidsperiod (fr.o.m.) = 1983-10-01 00:00:00 (UTC)
1983-11-01 06:00:01;1983-12-01 06:00:00;1983-11;18.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1983-12-01 06:00:01;1984-01-01 06:00:00;1983-12;75.3;Y;;Värdet är summerat över = 1 månad
1984-01-01 06:00:01;1984-02-01 06:00:00;1984-01;117.4;Y;;
1984-02-01 06:00:01;1984-03-01 06:00:00;1984-02;33.9;Y;;Kvalitetskoderna:
1984-03-01 06:00:01;1984-04-01 06:00:00;1984-03;19.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1984-04-01 06:00:01;1984-05-01 06:00:00;1984-04;8.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1984-05-01 06:00:01;1984-06-01 06:00:00;1984-05;34.0;Y;;
1984-06-01 06:00:01;1984-07-01 06:00:00;1984-06;147.7;Y;;Orsaker till saknade data:
1984-07-01 06:00:01;1984-08-01 06:00:00;1984-07;39.8;Y;;  stationen eller givaren har varit ur funktion.
1984-08-01 06:00:01;1984-09-01 06:00:00;1984-08;51.3;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1984-09-01 06:00:01;1984-10-01 06:00:00;1984-09;97.2;Y
1984-10-01 06:00:01;1984-11-01 06:00:00;1984-10;124.5;Y
1984-11-01 06:00:01;1984-12-01 06:00:00;1984-11;44.6;Y
1985-01-01 06:00:01;1985-02-01 06:00:00;1985-01;73.5;Y
1985-02-01 06:00:01;1985-03-01 06:00:00;1985-02;21.6;Y
