Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Regna D;85530;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1994-05-01 00:00:00;1994-12-31 23:59:59;70.0;58.8847;15.7189
1995-03-01 00:00:00;2018-01-01 23:59:59;70.0;58.8595;15.6973
1947-02-01 00:00:00;1994-03-01 23:59:59;70.0;58.8899;15.7208

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1947-01-01 06:00:01;1947-02-01 06:00:00;1947-01;18.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1947-02-01 06:00:01;1947-03-01 06:00:00;1947-02;7.0;G;;Tidsperiod (fr.o.m.) = 1947-02-01 00:00:00 (UTC)
1947-03-01 06:00:01;1947-04-01 06:00:00;1947-03;74.0;G;;Tidsperiod (t.o.m.) = 2018-01-01 23:59:59 (UTC)
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;30.0;G;;Värdet är summerat över = 1 månad
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;2.0;G;;
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;36.0;G;;Kvalitetskoderna:
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;93.0;G;;Grön (G) = Kontrollerade och godkända värden.
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;26.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;16.0;G;;
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;10.0;G;;Orsaker till saknade data:
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;73.0;G;;  stationen eller givaren har varit ur funktion.
1947-12-01 06:00:01;1948-01-01 06:00:00;1947-12;32.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1948-01-01 06:00:01;1948-02-01 06:00:00;1948-01;55.0;G
1948-02-01 06:00:01;1948-03-01 06:00:00;1948-02;15.0;G
1948-03-01 06:00:01;1948-04-01 06:00:00;1948-03;26.0;G
1948-04-01 06:00:01;1948-05-01 06:00:00;1948-04;45.0;G
1948-05-01 06:00:01;1948-06-01 06:00:00;1948-05;66.0;G
