Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hjortkvarn D;85540;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2005-10-01 00:00:00;2018-05-01 15:00:00;79.0;58.9313;15.4479
1978-11-01 00:00:00;1998-04-01 23:59:59;95.0;58.8968;15.437
1998-11-01 00:00:00;2004-07-01 23:59:59;103.0;58.9039;15.4253

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;14.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;44.4;Y;;Tidsperiod (fr.o.m.) = 1978-11-01 00:00:00 (UTC)
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;35.7;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;43.0;Y;;Värdet är summerat över = 1 månad
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;12.7;Y;;
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;39.7;Y;;Kvalitetskoderna:
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;48.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;63.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;41.6;Y;;
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;84.6;Y;;Orsaker till saknade data:
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;79.2;Y;;  stationen eller givaren har varit ur funktion.
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;35.4;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;27.0;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;77.0;Y
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;46.0;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;16.5;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;22.4;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;19.6;Y
1980-04-01 06:00:01;1980-05-01 06:00:00;1980-04;38.6;Y
1980-05-01 06:00:01;1980-06-01 06:00:00;1980-05;33.8;Y
1980-06-01 06:00:01;1980-07-01 06:00:00;1980-06;93.1;Y
1980-07-01 06:00:01;1980-08-01 06:00:00;1980-07;32.9;Y
1980-08-01 06:00:01;1980-09-01 06:00:00;1980-08;78.0;Y
1980-09-01 06:00:01;1980-10-01 06:00:00;1980-09;58.7;Y
1980-10-01 06:00:01;1980-11-01 06:00:00;1980-10;99.5;Y
1980-11-01 06:00:01;1980-12-01 06:00:00;1980-11;56.4;Y
1980-12-01 06:00:01;1981-01-01 06:00:00;1980-12;74.6;Y
1981-01-01 06:00:01;1981-02-01 06:00:00;1981-01;25.1;Y
1981-02-01 06:00:01;1981-03-01 06:00:00;1981-02;29.1;Y
1981-03-01 06:00:01;1981-04-01 06:00:00;1981-03;60.0;Y
1981-04-01 06:00:01;1981-05-01 06:00:00;1981-04;9.1;Y
1981-05-01 06:00:01;1981-06-01 06:00:00;1981-05;35.2;Y
1981-06-01 06:00:01;1981-07-01 06:00:00;1981-06;109.1;Y
1981-07-01 06:00:01;1981-08-01 06:00:00;1981-07;64.4;Y
1981-08-01 06:00:01;1981-09-01 06:00:00;1981-08;80.2;Y
1981-09-01 06:00:01;1981-10-01 06:00:00;1981-09;33.4;Y
1981-10-01 06:00:01;1981-11-01 06:00:00;1981-10;82.4;Y
1981-11-01 06:00:01;1981-12-01 06:00:00;1981-11;124.1;Y
1981-12-01 06:00:01;1982-01-01 06:00:00;1981-12;57.0;Y
1982-01-01 06:00:01;1982-02-01 06:00:00;1982-01;42.0;Y
1982-02-01 06:00:01;1982-03-01 06:00:00;1982-02;15.0;Y
1982-03-01 06:00:01;1982-04-01 06:00:00;1982-03;49.3;Y
1982-04-01 06:00:01;1982-05-01 06:00:00;1982-04;46.9;Y
1982-05-01 06:00:01;1982-06-01 06:00:00;1982-05;42.9;Y
1982-06-01 06:00:01;1982-07-01 06:00:00;1982-06;45.0;Y
1982-07-01 06:00:01;1982-08-01 06:00:00;1982-07;27.9;Y
1982-08-01 06:00:01;1982-09-01 06:00:00;1982-08;79.9;Y
1982-09-01 06:00:01;1982-10-01 06:00:00;1982-09;37.1;Y
1982-10-01 06:00:01;1982-11-01 06:00:00;1982-10;71.4;Y
1982-11-01 06:00:01;1982-12-01 06:00:00;1982-11;75.2;Y
1982-12-01 06:00:01;1983-01-01 06:00:00;1982-12;61.6;Y
1983-01-01 06:00:01;1983-02-01 06:00:00;1983-01;70.4;Y
1983-02-01 06:00:01;1983-03-01 06:00:00;1983-02;19.6;Y
1983-03-01 06:00:01;1983-04-01 06:00:00;1983-03;59.8;Y
1983-04-01 06:00:01;1983-05-01 06:00:00;1983-04;55.5;Y
1983-05-01 06:00:01;1983-06-01 06:00:00;1983-05;53.4;Y
1983-06-01 06:00:01;1983-07-01 06:00:00;1983-06;45.0;Y
1983-07-01 06:00:01;1983-08-01 06:00:00;1983-07;12.9;Y
1983-08-01 06:00:01;1983-09-01 06:00:00;1983-08;7.5;Y
1983-09-01 06:00:01;1983-10-01 06:00:00;1983-09;172.7;Y
1983-10-01 06:00:01;1983-11-01 06:00:00;1983-10;41.9;Y
1983-11-01 06:00:01;1983-12-01 06:00:00;1983-11;12.8;Y
1983-12-01 06:00:01;1984-01-01 06:00:00;1983-12;60.7;Y
1984-01-01 06:00:01;1984-02-01 06:00:00;1984-01;94.2;Y
1984-02-01 06:00:01;1984-03-01 06:00:00;1984-02;28.2;Y
1984-03-01 06:00:01;1984-04-01 06:00:00;1984-03;16.9;Y
1984-04-01 06:00:01;1984-05-01 06:00:00;1984-04;7.7;Y
1984-05-01 06:00:01;1984-06-01 06:00:00;1984-05;30.5;Y
1984-06-01 06:00:01;1984-07-01 06:00:00;1984-06;91.6;Y
1984-07-01 06:00:01;1984-08-01 06:00:00;1984-07;33.8;Y
1984-08-01 06:00:01;1984-09-01 06:00:00;1984-08;45.5;Y
1984-09-01 06:00:01;1984-10-01 06:00:00;1984-09;70.0;Y
1984-10-01 06:00:01;1984-11-01 06:00:00;1984-10;111.4;Y
1984-11-01 06:00:01;1984-12-01 06:00:00;1984-11;43.5;Y
1984-12-01 06:00:01;1985-01-01 06:00:00;1984-12;44.0;Y
1985-01-01 06:00:01;1985-02-01 06:00:00;1985-01;58.7;Y
1985-02-01 06:00:01;1985-03-01 06:00:00;1985-02;19.9;Y
1985-03-01 06:00:01;1985-04-01 06:00:00;1985-03;48.9;Y
1985-04-01 06:00:01;1985-05-01 06:00:00;1985-04;98.2;Y
1985-05-01 06:00:01;1985-06-01 06:00:00;1985-05;8.7;Y
1985-06-01 06:00:01;1985-07-01 06:00:00;1985-06;103.0;Y
1985-07-01 06:00:01;1985-08-01 06:00:00;1985-07;93.3;Y
1985-08-01 06:00:01;1985-09-01 06:00:00;1985-08;46.5;Y
1985-09-01 06:00:01;1985-10-01 06:00:00;1985-09;73.2;Y
1985-10-01 06:00:01;1985-11-01 06:00:00;1985-10;42.2;Y
1985-11-01 06:00:01;1985-12-01 06:00:00;1985-11;55.6;Y
1985-12-01 06:00:01;1986-01-01 06:00:00;1985-12;97.3;Y
1986-01-01 06:00:01;1986-02-01 06:00:00;1986-01;55.0;Y
1986-02-01 06:00:01;1986-03-01 06:00:00;1986-02;12.1;Y
1986-03-01 06:00:01;1986-04-01 06:00:00;1986-03;56.9;Y
1986-04-01 06:00:01;1986-05-01 06:00:00;1986-04;87.8;Y
1986-05-01 06:00:01;1986-06-01 06:00:00;1986-05;39.0;Y
1986-06-01 06:00:01;1986-07-01 06:00:00;1986-06;38.9;Y
1986-07-01 06:00:01;1986-08-01 06:00:00;1986-07;42.6;Y
1986-08-01 06:00:01;1986-09-01 06:00:00;1986-08;104.0;Y
1986-09-01 06:00:01;1986-10-01 06:00:00;1986-09;32.1;Y
1986-10-01 06:00:01;1986-11-01 06:00:00;1986-10;25.0;Y
1986-11-01 06:00:01;1986-12-01 06:00:00;1986-11;41.3;Y
1986-12-01 06:00:01;1987-01-01 06:00:00;1986-12;80.9;Y
1987-01-01 06:00:01;1987-02-01 06:00:00;1987-01;12.5;Y
