Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Tyllinge D;86010;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2011-06-01 00:00:00;2018-03-31 23:59:59;120.0;58.0207;16.0824

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;29.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;121.4;Y;;Tidsperiod (fr.o.m.) = 2011-06-01 00:00:00 (UTC)
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;86.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;81.3;Y;;Värdet är summerat över = 1 månad
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;64.0;Y;;
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;46.8;Y;;Kvalitetskoderna:
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;13.5;Y;;Grön (G) = Kontrollerade och godkända värden.
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;56.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;58.9;Y;;
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;29.7;Y;;Orsaker till saknade data:
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;17.0;Y;;  stationen eller givaren har varit ur funktion.
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;80.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;13.5;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;102.5;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;56.9;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;92.6;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;70.9;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;69.8;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;64.1;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;96.2;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;27.0;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;38.8;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;24.5;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;36.1;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;44.5;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;58.1;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;35.0;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;46.7;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;24.8;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;51.1;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;44.0;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;50.9;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;90.9;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;52.3;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;29.0;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;25.8;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;53.3;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;77.0;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;43.0;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;64.5;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;57.9;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;100.4;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;84.4;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;35.7;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;82.0;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;32.4;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;37.6;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;21.9;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;97.0;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;94.7;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;156.1;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;21.6;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;77.8;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;2.2;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;43.7;Y
2015-12-01 06:00:01;2016-01-01 06:00:00;2015-12;16.3;Y
2016-01-01 06:00:01;2016-02-01 06:00:00;2016-01;27.8;Y
2016-02-01 06:00:01;2016-03-01 06:00:00;2016-02;26.9;Y
2016-03-01 06:00:01;2016-04-01 06:00:00;2016-03;23.1;Y
2016-04-01 06:00:01;2016-05-01 06:00:00;2016-04;23.4;Y
2016-05-01 06:00:01;2016-06-01 06:00:00;2016-05;31.8;Y
2016-06-01 06:00:01;2016-07-01 06:00:00;2016-06;34.0;Y
2016-07-01 06:00:01;2016-08-01 06:00:00;2016-07;45.0;Y
2016-08-01 06:00:01;2016-09-01 06:00:00;2016-08;60.6;Y
2016-09-01 06:00:01;2016-10-01 06:00:00;2016-09;17.8;Y
2016-10-01 06:00:01;2016-11-01 06:00:00;2016-10;138.3;Y
2016-11-01 06:00:01;2016-12-01 06:00:00;2016-11;60.7;Y
2016-12-01 06:00:01;2017-01-01 06:00:00;2016-12;25.7;Y
2017-01-01 06:00:01;2017-02-01 06:00:00;2017-01;15.5;Y
2017-02-01 06:00:01;2017-03-01 06:00:00;2017-02;23.8;Y
2017-03-01 06:00:01;2017-04-01 06:00:00;2017-03;30.6;Y
