Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Börrum D;86220;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1997-11-01 00:00:00;2018-05-01 15:00:00;15.0;58.3521;16.6256

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;70.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;77.5;Y;;Tidsperiod (fr.o.m.) = 1997-11-01 00:00:00 (UTC)
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;93.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;49.8;Y;;Värdet är summerat över = 1 månad
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;56.2;Y;;
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;38.6;Y;;Kvalitetskoderna:
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;54.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;57.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;85.6;Y;;
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;85.0;Y;;Orsaker till saknade data:
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;107.9;Y;;  stationen eller givaren har varit ur funktion.
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;61.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;57.1;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;28.4;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;76.4;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;64.3;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;26.2;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;59.3;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;71.2;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;29.7;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;49.6;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;20.3;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;62.3;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;53.7;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;18.8;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;28.0;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;96.3;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;10.3;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;28.5;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;21.2;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;41.2;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;22.2;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;54.1;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;142.5;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;44.9;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;39.7;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;117.5;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;100.4;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;73.0;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;46.9;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;39.8;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;43.6;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;55.9;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;20.3;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;28.3;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;27.9;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;58.7;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;107.8;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;59.2;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;34.1;Y
