Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Söderköping D;86290;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2005-12-01 00:00:00;2018-05-01 15:00:00;46.0;58.5018;16.2834
1888-07-01 00:00:00;2004-09-01 23:59:59;10.0;58.4793;16.3424

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1888-06-01 07:00:01;1888-07-01 07:00:00;1888-06;40.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1888-07-01 07:00:01;1888-08-01 07:00:00;1888-07;81.0;G;;Tidsperiod (fr.o.m.) = 1888-07-01 00:00:00 (UTC)
1889-06-01 07:00:01;1889-07-01 07:00:00;1889-06;63.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1889-07-01 07:00:01;1889-08-01 07:00:00;1889-07;55.0;G;;Värdet är summerat över = 1 månad
1891-06-01 07:00:01;1891-07-01 07:00:00;1891-06;39.0;G;;
1891-07-01 07:00:01;1891-08-01 07:00:00;1891-07;149.0;G;;Kvalitetskoderna:
1892-06-01 07:00:01;1892-07-01 07:00:00;1892-06;55.0;G;;Grön (G) = Kontrollerade och godkända värden.
1892-07-01 07:00:01;1892-08-01 07:00:00;1892-07;47.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1892-08-01 07:00:01;1892-09-01 07:00:00;1892-08;58.0;G;;
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;47.0;G;;Orsaker till saknade data:
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;21.0;G;;  stationen eller givaren har varit ur funktion.
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;27.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;69.0;G
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;86.0;G
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;21.0;G
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;64.0;G
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;62.0;G
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;51.0;G
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;22.0;G
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;26.0;G
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;33.0;G
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;30.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;3.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;10.0;G
