Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norrköping-SMHI;86340;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1993-06-01 00:00:00;2013-08-04 23:59:59;21.0;58.5833;16.15
2013-09-01 00:00:00;2018-05-01 15:00:00;40.2;58.58283;16.147

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;22.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;82.0;Y;;Tidsperiod (fr.o.m.) = 1993-06-01 00:00:00 (UTC)
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;89.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;79.9;Y;;Värdet är summerat över = 1 månad
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;41.6;Y;;
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;34.1;Y;;Kvalitetskoderna:
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;45.1;Y;;Grön (G) = Kontrollerade och godkända värden.
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;53.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;31.3;Y;;
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;21.0;Y;;Orsaker till saknade data:
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;34.1;Y;;  stationen eller givaren har varit ur funktion.
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;30.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;28.1;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;47.4;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;0.5;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;69.5;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;111.5;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;34.1;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;20.9;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;48.0;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;36.2;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;32.3;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;32.2;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;57.5;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;34.3;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;72.6;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;41.1;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;3.5;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;124.2;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;15.5;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;44.7;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;8.5;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;9.3;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;22.4;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;12.3;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;12.0;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;51.2;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;49.0;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;75.2;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;28.8;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;45.2;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;24.0;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;58.6;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;29.4;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;5.8;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;29.6;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;9.3;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;27.4;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;62.1;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;95.4;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;33.9;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;11.2;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;55.2;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;42.3;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;64.6;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;65.9;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;31.4;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;44.7;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;27.5;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;36.3;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;31.4;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;77.4;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;61.7;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;40.9;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;42.7;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;45.9;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;14.5;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;48.8;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;54.4;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;20.8;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;47.6;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;41.3;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;23.6;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;49.3;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;24.9;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;57.8;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;61.3;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;19.1;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;12.5;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;68.6;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;13.6;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;27.7;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;16.0;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;33.2;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;35.2;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;54.0;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;123.8;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;50.9;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;52.3;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;124.1;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;99.6;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;77.3;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;38.3;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;28.1;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;25.4;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;60.6;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;50.0;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;35.3;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;45.3;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;64.5;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;118.7;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;66.2;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;25.9;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;32.7;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;46.4;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;46.5;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;24.3;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;22.5;Y
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;91.4;Y
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;106.8;Y
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;89.9;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;5.8;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;15.2;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;55.0;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;51.8;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;19.0;Y
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;13.2;Y
2003-02-01 06:00:01;2003-03-01 06:00:00;2003-02;8.1;Y
2003-03-01 06:00:01;2003-04-01 06:00:00;2003-03;9.0;Y
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;63.9;Y
2003-05-01 06:00:01;2003-06-01 06:00:00;2003-05;57.2;Y
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;87.8;Y
2003-07-01 06:00:01;2003-08-01 06:00:00;2003-07;81.8;Y
2003-08-01 06:00:01;2003-09-01 06:00:00;2003-08;52.5;Y
2003-09-01 06:00:01;2003-10-01 06:00:00;2003-09;6.4;Y
2003-10-01 06:00:01;2003-11-01 06:00:00;2003-10;53.8;Y
2003-11-01 06:00:01;2003-12-01 06:00:00;2003-11;62.2;Y
2003-12-01 06:00:01;2004-01-01 06:00:00;2003-12;57.8;Y
2004-01-01 06:00:01;2004-02-01 06:00:00;2004-01;31.5;Y
2004-02-01 06:00:01;2004-03-01 06:00:00;2004-02;16.8;Y
2004-03-01 06:00:01;2004-04-01 06:00:00;2004-03;27.7;Y
2004-04-01 06:00:01;2004-05-01 06:00:00;2004-04;19.3;Y
2004-05-01 06:00:01;2004-06-01 06:00:00;2004-05;42.7;Y
2004-06-01 06:00:01;2004-07-01 06:00:00;2004-06;54.6;Y
2004-07-01 06:00:01;2004-08-01 06:00:00;2004-07;103.2;Y
2004-08-01 06:00:01;2004-09-01 06:00:00;2004-08;56.6;Y
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;40.5;Y
2004-10-01 06:00:01;2004-11-01 06:00:00;2004-10;54.5;Y
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;57.4;Y
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;24.8;Y
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;24.1;Y
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;26.3;Y
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;28.8;Y
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;17.1;Y
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;53.5;Y
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;50.5;Y
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;100.1;Y
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;76.9;Y
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;14.0;Y
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;32.5;Y
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;26.1;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;54.5;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;13.8;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;36.3;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;19.6;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;37.1;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;46.0;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;32.5;Y
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;55.2;Y
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;163.1;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;19.5;Y
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;121.8;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;68.1;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;25.7;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;60.9;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;33.8;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;51.3;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;18.3;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;45.7;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;79.7;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;72.2;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;56.7;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;42.1;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;24.1;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;42.4;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;53.8;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;38.8;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;34.2;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;45.6;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;22.7;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;24.9;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;57.7;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;121.1;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;119.1;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;40.5;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;40.5;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;42.9;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;34.4;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;15.0;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;22.1;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;36.4;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;1.8;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;51.4;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;42.4;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;103.9;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;71.0;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;34.6;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;43.0;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;57.1;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;45.0;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;40.6;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;58.9;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;20.6;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;22.0;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;66.6;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;32.0;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;82.2;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;95.1;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;41.3;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;57.3;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;92.5;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;41.1;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;38.1;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;27.3;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;25.6;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;18.7;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;25.3;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;91.3;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;131.9;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;80.2;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;61.6;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;38.3;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;11.0;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;31.8;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;38.5;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;26.9;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;4.9;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;67.7;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;19.4;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;102.1;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;55.7;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;56.5;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;65.7;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;57.2;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;84.0;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;54.6;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;24.1;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;24.0;Y
