Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Vrena;86520;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1983-08-01 00:00:00;1997-06-12 23:59:59;30.0;58.8654;16.695
1997-07-01 00:00:00;2014-02-02 05:59:59;25.0;58.874100000000006;16.6841
2014-03-01 00:00:00;2017-12-31 23:59:59;25.0;58.8741;16.6841
1879-08-01 00:00:00;1983-04-01 23:59:59;25.0;58.8654;16.695

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1879-07-01 07:00:01;1879-08-01 07:00:00;1879-07;123.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1879-08-01 07:00:01;1879-09-01 07:00:00;1879-08;42.0;G;;Tidsperiod (fr.o.m.) = 1879-08-01 00:00:00 (UTC)
1879-09-01 07:00:01;1879-10-01 07:00:00;1879-09;65.0;G;;Tidsperiod (t.o.m.) = 2017-12-31 23:59:59 (UTC)
1879-10-01 07:00:01;1879-11-01 07:00:00;1879-10;55.0;G;;Värdet är summerat över = 1 månad
1879-11-01 07:00:01;1879-12-01 07:00:00;1879-11;18.0;G;;
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;8.0;G;;Kvalitetskoderna:
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;4.0;G;;Grön (G) = Kontrollerade och godkända värden.
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;20.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;121.0;G;;
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;21.0;G;;Orsaker till saknade data:
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;20.0;G;;  stationen eller givaren har varit ur funktion.
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;37.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;69.0;G
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;28.0;G
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;44.0;G
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;59.0;G
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;37.0;G
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;43.0;G
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;15.0;G
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;44.0;G
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;11.0;G
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;4.0;G
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;58.0;G
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;35.0;G
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;70.0;G
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;70.0;G
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;123.0;G
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;23.0;G
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;27.0;G
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;30.0;G
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;15.0;G
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;24.0;G
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;26.0;G
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;38.0;G
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;81.0;G
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;31.0;G
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;112.0;G
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;54.0;G
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;34.0;G
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;38.0;G
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;83.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;42.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;14.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;4.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;17.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;10.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;21.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;16.0;G
1883-07-01 07:00:01;1883-08-01 07:00:00;1883-07;131.0;G
1883-08-01 07:00:01;1883-09-01 07:00:00;1883-08;88.0;G
1883-09-01 07:00:01;1883-10-01 07:00:00;1883-09;92.0;G
1883-10-01 07:00:01;1883-11-01 07:00:00;1883-10;39.0;G
1883-11-01 07:00:01;1883-12-01 07:00:00;1883-11;58.0;G
1883-12-01 07:00:01;1884-01-01 07:00:00;1883-12;25.0;G
1884-01-01 07:00:01;1884-02-01 07:00:00;1884-01;25.0;G
1884-02-01 07:00:01;1884-03-01 07:00:00;1884-02;22.0;G
1884-03-01 07:00:01;1884-04-01 07:00:00;1884-03;41.0;G
1884-04-01 07:00:01;1884-05-01 07:00:00;1884-04;18.0;G
1884-05-01 07:00:01;1884-06-01 07:00:00;1884-05;53.0;G
1884-06-01 07:00:01;1884-07-01 07:00:00;1884-06;123.0;G
1884-07-01 07:00:01;1884-08-01 07:00:00;1884-07;131.0;G
1884-08-01 07:00:01;1884-09-01 07:00:00;1884-08;13.0;G
1884-09-01 07:00:01;1884-10-01 07:00:00;1884-09;21.0;G
1884-10-01 07:00:01;1884-11-01 07:00:00;1884-10;58.0;G
1884-11-01 07:00:01;1884-12-01 07:00:00;1884-11;9.0;G
1884-12-01 07:00:01;1885-01-01 07:00:00;1884-12;65.0;G
1885-01-01 07:00:01;1885-02-01 07:00:00;1885-01;51.0;G
1885-02-01 07:00:01;1885-03-01 07:00:00;1885-02;23.0;G
1885-03-01 07:00:01;1885-04-01 07:00:00;1885-03;22.0;G
1885-04-01 07:00:01;1885-05-01 07:00:00;1885-04;11.0;G
1885-05-01 07:00:01;1885-06-01 07:00:00;1885-05;57.0;G
1885-06-01 07:00:01;1885-07-01 07:00:00;1885-06;56.0;G
1885-07-01 07:00:01;1885-08-01 07:00:00;1885-07;60.0;G
1885-08-01 07:00:01;1885-09-01 07:00:00;1885-08;95.0;G
1885-09-01 07:00:01;1885-10-01 07:00:00;1885-09;44.0;G
1885-10-01 07:00:01;1885-11-01 07:00:00;1885-10;104.0;G
1885-11-01 07:00:01;1885-12-01 07:00:00;1885-11;24.0;G
1885-12-01 07:00:01;1886-01-01 07:00:00;1885-12;11.0;G
1886-01-01 07:00:01;1886-02-01 07:00:00;1886-01;23.0;G
1886-02-01 07:00:01;1886-03-01 07:00:00;1886-02;4.0;G
1886-03-01 07:00:01;1886-04-01 07:00:00;1886-03;5.0;G
1886-04-01 07:00:01;1886-05-01 07:00:00;1886-04;33.0;G
1886-05-01 07:00:01;1886-06-01 07:00:00;1886-05;30.0;G
1886-06-01 07:00:01;1886-07-01 07:00:00;1886-06;43.0;G
1886-07-01 07:00:01;1886-08-01 07:00:00;1886-07;70.0;G
1886-08-01 07:00:01;1886-09-01 07:00:00;1886-08;23.0;G
1886-09-01 07:00:01;1886-10-01 07:00:00;1886-09;23.0;G
1886-10-01 07:00:01;1886-11-01 07:00:00;1886-10;26.0;G
1886-11-01 07:00:01;1886-12-01 07:00:00;1886-11;47.0;G
1886-12-01 07:00:01;1887-01-01 07:00:00;1886-12;46.0;G
1887-01-01 07:00:01;1887-02-01 07:00:00;1887-01;22.0;G
1887-02-01 07:00:01;1887-03-01 07:00:00;1887-02;15.0;G
1887-03-01 07:00:01;1887-04-01 07:00:00;1887-03;22.0;G
1887-04-01 07:00:01;1887-05-01 07:00:00;1887-04;83.0;G
1887-05-01 07:00:01;1887-06-01 07:00:00;1887-05;35.0;G
1887-06-01 07:00:01;1887-07-01 07:00:00;1887-06;41.0;G
1887-07-01 07:00:01;1887-08-01 07:00:00;1887-07;71.0;G
1887-08-01 07:00:01;1887-09-01 07:00:00;1887-08;40.0;G
1887-09-01 07:00:01;1887-10-01 07:00:00;1887-09;67.0;G
1887-10-01 07:00:01;1887-11-01 07:00:00;1887-10;43.0;G
1887-11-01 07:00:01;1887-12-01 07:00:00;1887-11;27.0;G
1887-12-01 07:00:01;1888-01-01 07:00:00;1887-12;34.0;G
1888-01-01 07:00:01;1888-02-01 07:00:00;1888-01;14.0;G
1888-02-01 07:00:01;1888-03-01 07:00:00;1888-02;40.0;G
1888-03-01 07:00:01;1888-04-01 07:00:00;1888-03;40.0;G
1888-04-01 07:00:01;1888-05-01 07:00:00;1888-04;30.0;G
1888-05-01 07:00:01;1888-06-01 07:00:00;1888-05;35.0;G
1888-06-01 07:00:01;1888-07-01 07:00:00;1888-06;42.0;G
1888-07-01 07:00:01;1888-08-01 07:00:00;1888-07;72.0;G
1888-08-01 07:00:01;1888-09-01 07:00:00;1888-08;67.0;G
1888-09-01 07:00:01;1888-10-01 07:00:00;1888-09;25.0;G
1888-10-01 07:00:01;1888-11-01 07:00:00;1888-10;49.0;G
1888-11-01 07:00:01;1888-12-01 07:00:00;1888-11;17.0;G
1888-12-01 07:00:01;1889-01-01 07:00:00;1888-12;27.0;G
1889-01-01 07:00:01;1889-02-01 07:00:00;1889-01;15.0;G
1889-02-01 07:00:01;1889-03-01 07:00:00;1889-02;34.0;G
1889-03-01 07:00:01;1889-04-01 07:00:00;1889-03;35.0;G
1889-04-01 07:00:01;1889-05-01 07:00:00;1889-04;19.0;G
1889-05-01 07:00:01;1889-06-01 07:00:00;1889-05;41.0;G
1889-06-01 07:00:01;1889-07-01 07:00:00;1889-06;30.0;G
1889-07-01 07:00:01;1889-08-01 07:00:00;1889-07;72.0;G
1889-08-01 07:00:01;1889-09-01 07:00:00;1889-08;84.0;G
1889-09-01 07:00:01;1889-10-01 07:00:00;1889-09;61.0;G
1889-10-01 07:00:01;1889-11-01 07:00:00;1889-10;50.0;G
1889-11-01 07:00:01;1889-12-01 07:00:00;1889-11;45.0;G
1889-12-01 07:00:01;1890-01-01 07:00:00;1889-12;9.0;G
1890-01-01 07:00:01;1890-02-01 07:00:00;1890-01;27.0;G
1890-02-01 07:00:01;1890-03-01 07:00:00;1890-02;19.0;G
1890-03-01 07:00:01;1890-04-01 07:00:00;1890-03;35.0;G
1890-04-01 07:00:01;1890-05-01 07:00:00;1890-04;98.0;G
1890-05-01 07:00:01;1890-06-01 07:00:00;1890-05;109.0;G
1890-06-01 07:00:01;1890-07-01 07:00:00;1890-06;33.0;G
1890-09-01 07:00:01;1890-10-01 07:00:00;1890-09;15.0;G
1890-10-01 07:00:01;1890-11-01 07:00:00;1890-10;36.0;G
1890-11-01 07:00:01;1890-12-01 07:00:00;1890-11;67.0;G
1890-12-01 07:00:01;1891-01-01 07:00:00;1890-12;28.0;G
1893-01-01 07:00:01;1893-02-01 07:00:00;1893-01;32.0;G
1893-02-01 07:00:01;1893-03-01 07:00:00;1893-02;29.0;G
1893-03-01 07:00:01;1893-04-01 07:00:00;1893-03;19.0;G
1893-04-01 07:00:01;1893-05-01 07:00:00;1893-04;6.0;G
1893-05-01 07:00:01;1893-06-01 07:00:00;1893-05;25.0;G
1893-06-01 07:00:01;1893-07-01 07:00:00;1893-06;47.0;G
1893-07-01 07:00:01;1893-08-01 07:00:00;1893-07;43.0;G
1893-08-01 07:00:01;1893-09-01 07:00:00;1893-08;88.0;G
1893-10-01 07:00:01;1893-11-01 07:00:00;1893-10;100.0;G
1893-11-01 07:00:01;1893-12-01 07:00:00;1893-11;27.0;G
1893-12-01 07:00:01;1894-01-01 07:00:00;1893-12;32.0;G
1894-01-01 07:00:01;1894-02-01 07:00:00;1894-01;17.0;G
1894-02-01 07:00:01;1894-03-01 07:00:00;1894-02;25.0;G
1894-03-01 07:00:01;1894-04-01 07:00:00;1894-03;34.0;G
1894-04-01 07:00:01;1894-05-01 07:00:00;1894-04;34.0;G
1894-05-01 07:00:01;1894-06-01 07:00:00;1894-05;62.0;G
1894-06-01 07:00:01;1894-07-01 07:00:00;1894-06;86.0;G
1894-07-01 07:00:01;1894-08-01 07:00:00;1894-07;93.0;G
1894-08-01 07:00:01;1894-09-01 07:00:00;1894-08;52.0;G
1894-09-01 07:00:01;1894-10-01 07:00:00;1894-09;39.0;G
1894-10-01 07:00:01;1894-11-01 07:00:00;1894-10;42.0;G
1894-11-01 07:00:01;1894-12-01 07:00:00;1894-11;71.0;G
1894-12-01 07:00:01;1895-01-01 07:00:00;1894-12;39.0;G
1895-01-01 07:00:01;1895-02-01 07:00:00;1895-01;31.0;G
1895-06-01 07:00:01;1895-07-01 07:00:00;1895-06;31.0;G
1964-01-01 06:00:01;1964-02-01 06:00:00;1964-01;4.0;G
1964-02-01 06:00:01;1964-03-01 06:00:00;1964-02;25.0;G
1964-03-01 06:00:01;1964-04-01 06:00:00;1964-03;0.0;G
1964-04-01 06:00:01;1964-05-01 06:00:00;1964-04;15.0;G
1964-05-01 06:00:01;1964-06-01 06:00:00;1964-05;35.0;G
1964-06-01 06:00:01;1964-07-01 06:00:00;1964-06;60.0;G
1964-07-01 06:00:01;1964-08-01 06:00:00;1964-07;38.1;Y
1964-08-01 06:00:01;1964-09-01 06:00:00;1964-08;23.2;Y
1964-09-01 06:00:01;1964-10-01 06:00:00;1964-09;50.2;Y
1964-10-01 06:00:01;1964-11-01 06:00:00;1964-10;78.3;Y
1964-11-01 06:00:01;1964-12-01 06:00:00;1964-11;34.0;G
1964-12-01 06:00:01;1965-01-01 06:00:00;1964-12;41.7;Y
1965-01-01 06:00:01;1965-02-01 06:00:00;1965-01;44.4;Y
1965-02-01 06:00:01;1965-03-01 06:00:00;1965-02;19.0;G
1965-03-01 06:00:01;1965-04-01 06:00:00;1965-03;5.3;Y
1965-04-01 06:00:01;1965-05-01 06:00:00;1965-04;20.2;Y
1965-05-01 06:00:01;1965-06-01 06:00:00;1965-05;5.7;Y
1965-06-01 06:00:01;1965-07-01 06:00:00;1965-06;49.0;G
1965-07-01 06:00:01;1965-08-01 06:00:00;1965-07;98.2;Y
1965-08-01 06:00:01;1965-09-01 06:00:00;1965-08;51.4;Y
1965-09-01 06:00:01;1965-10-01 06:00:00;1965-09;94.3;Y
1965-10-01 06:00:01;1965-11-01 06:00:00;1965-10;11.2;Y
1965-11-01 06:00:01;1965-12-01 06:00:00;1965-11;29.5;Y
1965-12-01 06:00:01;1966-01-01 06:00:00;1965-12;67.1;Y
1966-01-01 06:00:01;1966-02-01 06:00:00;1966-01;35.2;Y
1966-02-01 06:00:01;1966-03-01 06:00:00;1966-02;41.4;Y
1966-03-01 06:00:01;1966-04-01 06:00:00;1966-03;32.5;Y
1966-04-01 06:00:01;1966-05-01 06:00:00;1966-04;41.3;Y
1966-05-01 06:00:01;1966-06-01 06:00:00;1966-05;26.4;Y
1966-06-01 06:00:01;1966-07-01 06:00:00;1966-06;28.0;G
1966-07-01 06:00:01;1966-08-01 06:00:00;1966-07;94.7;Y
1966-08-01 06:00:01;1966-09-01 06:00:00;1966-08;18.3;Y
1966-09-01 06:00:01;1966-10-01 06:00:00;1966-09;25.4;Y
1966-10-01 06:00:01;1966-11-01 06:00:00;1966-10;32.4;Y
1966-11-01 06:00:01;1966-12-01 06:00:00;1966-11;65.1;Y
1966-12-01 06:00:01;1967-01-01 06:00:00;1966-12;95.2;Y
1967-01-01 06:00:01;1967-02-01 06:00:00;1967-01;45.2;Y
1967-02-01 06:00:01;1967-03-01 06:00:00;1967-02;45.7;Y
1967-03-01 06:00:01;1967-04-01 06:00:00;1967-03;28.1;Y
1967-04-01 06:00:01;1967-05-01 06:00:00;1967-04;37.1;Y
1967-05-01 06:00:01;1967-06-01 06:00:00;1967-05;71.6;Y
1967-06-01 06:00:01;1967-07-01 06:00:00;1967-06;26.8;Y
1967-07-01 06:00:01;1967-08-01 06:00:00;1967-07;55.6;Y
1967-08-01 06:00:01;1967-09-01 06:00:00;1967-08;89.4;Y
1967-09-01 06:00:01;1967-10-01 06:00:00;1967-09;124.1;Y
1967-10-01 06:00:01;1967-11-01 06:00:00;1967-10;76.6;Y
1967-11-01 06:00:01;1967-12-01 06:00:00;1967-11;43.5;Y
1967-12-01 06:00:01;1968-01-01 06:00:00;1967-12;41.7;Y
1968-01-01 06:00:01;1968-02-01 06:00:00;1968-01;36.9;Y
1968-02-01 06:00:01;1968-03-01 06:00:00;1968-02;13.7;Y
1968-03-01 06:00:01;1968-04-01 06:00:00;1968-03;15.0;Y
1968-04-01 06:00:01;1968-05-01 06:00:00;1968-04;28.5;Y
1968-05-01 06:00:01;1968-06-01 06:00:00;1968-05;74.4;Y
1968-06-01 06:00:01;1968-07-01 06:00:00;1968-06;34.8;Y
1968-07-01 06:00:01;1968-08-01 06:00:00;1968-07;62.4;Y
1968-08-01 06:00:01;1968-09-01 06:00:00;1968-08;47.4;Y
1968-09-01 06:00:01;1968-10-01 06:00:00;1968-09;16.5;Y
1968-10-01 06:00:01;1968-11-01 06:00:00;1968-10;84.4;Y
1968-11-01 06:00:01;1968-12-01 06:00:00;1968-11;43.2;Y
1968-12-01 06:00:01;1969-01-01 06:00:00;1968-12;29.2;Y
1969-01-01 06:00:01;1969-02-01 06:00:00;1969-01;39.2;Y
1969-02-01 06:00:01;1969-03-01 06:00:00;1969-02;33.2;Y
1969-03-01 06:00:01;1969-04-01 06:00:00;1969-03;15.2;Y
1969-04-01 06:00:01;1969-05-01 06:00:00;1969-04;41.9;Y
1969-05-01 06:00:01;1969-06-01 06:00:00;1969-05;72.7;Y
1969-06-01 06:00:01;1969-07-01 06:00:00;1969-06;5.9;Y
1969-07-01 06:00:01;1969-08-01 06:00:00;1969-07;31.9;Y
1969-08-01 06:00:01;1969-09-01 06:00:00;1969-08;71.5;Y
1969-09-01 06:00:01;1969-10-01 06:00:00;1969-09;28.1;Y
1969-10-01 06:00:01;1969-11-01 06:00:00;1969-10;20.9;Y
1969-11-01 06:00:01;1969-12-01 06:00:00;1969-11;69.5;Y
1969-12-01 06:00:01;1970-01-01 06:00:00;1969-12;16.0;Y
1970-01-01 06:00:01;1970-02-01 06:00:00;1970-01;22.5;Y
1970-02-01 06:00:01;1970-03-01 06:00:00;1970-02;7.8;Y
1970-03-01 06:00:01;1970-04-01 06:00:00;1970-03;43.0;Y
1970-04-01 06:00:01;1970-05-01 06:00:00;1970-04;53.7;Y
1970-05-01 06:00:01;1970-06-01 06:00:00;1970-05;19.7;Y
1970-06-01 06:00:01;1970-07-01 06:00:00;1970-06;34.3;Y
