Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Oxelösund;87400;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1952-02-01 00:00:00;2018-04-30 23:59:59;10.0;58.6777;17.1223

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1952-01-01 06:00:01;1952-02-01 06:00:00;1952-01;33.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1952-02-01 06:00:01;1952-03-01 06:00:00;1952-02;29.0;G;;Tidsperiod (fr.o.m.) = 1952-02-01 00:00:00 (UTC)
1952-03-01 06:00:01;1952-04-01 06:00:00;1952-03;13.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1952-04-01 06:00:01;1952-05-01 06:00:00;1952-04;37.0;G;;Värdet är summerat över = 1 månad
1952-05-01 06:00:01;1952-06-01 06:00:00;1952-05;55.0;G;;
1952-06-01 06:00:01;1952-07-01 06:00:00;1952-06;38.0;G;;Kvalitetskoderna:
1952-07-01 06:00:01;1952-08-01 06:00:00;1952-07;42.0;G;;Grön (G) = Kontrollerade och godkända värden.
1952-08-01 06:00:01;1952-09-01 06:00:00;1952-08;59.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1952-09-01 06:00:01;1952-10-01 06:00:00;1952-09;65.0;G;;
1952-10-01 06:00:01;1952-11-01 06:00:00;1952-10;144.0;G;;Orsaker till saknade data:
1952-11-01 06:00:01;1952-12-01 06:00:00;1952-11;62.0;G;;  stationen eller givaren har varit ur funktion.
1952-12-01 06:00:01;1953-01-01 06:00:00;1952-12;64.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1953-01-01 06:00:01;1953-02-01 06:00:00;1953-01;32.0;G
1953-02-01 06:00:01;1953-03-01 06:00:00;1953-02;64.0;G
1953-03-01 06:00:01;1953-04-01 06:00:00;1953-03;10.0;G
1953-04-01 06:00:01;1953-05-01 06:00:00;1953-04;10.0;G
1953-05-01 06:00:01;1953-06-01 06:00:00;1953-05;48.0;G
1953-06-01 06:00:01;1953-07-01 06:00:00;1953-06;48.0;G
1953-07-01 06:00:01;1953-08-01 06:00:00;1953-07;136.0;G
1953-08-01 06:00:01;1953-09-01 06:00:00;1953-08;51.0;G
