Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Landsort A;87440;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-02-01 00:00:00;2018-05-01 15:00:00;18.0;58.7433;17.8716
1995-09-01 00:00:00;1996-01-31 23:59:59;18.0;58.7434;17.8718

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;11.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;48.8;Y;;Tidsperiod (fr.o.m.) = 1995-09-01 00:00:00 (UTC)
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;14.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;31.4;Y;;Värdet är summerat över = 1 månad
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;5.1;Y;;
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;5.8;G;;Kvalitetskoderna:
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;8.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;9.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;8.4;Y;;
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;30.4;Y;;Orsaker till saknade data:
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;4.5;Y;;  stationen eller givaren har varit ur funktion.
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;70.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;10.7;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;35.8;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;18.0;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;65.5;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;18.1;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;5.9;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;22.5;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;9.6;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;31.4;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;56.6;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;73.3;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;12.2;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;1.5;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;43.8;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;37.8;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;45.6;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;46.7;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;38.4;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;32.4;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;21.4;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;28.3;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;26.6;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;47.9;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;32.9;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;41.5;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;31.2;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;32.9;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;16.3;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;43.0;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;46.6;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;15.3;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;38.7;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;54.6;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;13.5;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;53.5;Y
