Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Landsort;87450;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-02-01 00:00:00;2006-06-30 23:59:59;13.0;58.7421;17.8716
2006-07-01 00:00:00;2018-04-30 23:59:59;4.0;58.743;17.8699
1880-01-01 00:00:00;1996-01-31 23:59:59;13.0;58.743100000000005;17.870900000000002

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;5.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;3.0;G;;Tidsperiod (fr.o.m.) = 1880-01-01 00:00:00 (UTC)
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;20.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;5.0;G;;Värdet är summerat över = 1 månad
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;21.0;G;;
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;21.0;G;;Kvalitetskoderna:
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;27.0;G;;Grön (G) = Kontrollerade och godkända värden.
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;29.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;22.0;G;;
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;42.0;G;;Orsaker till saknade data:
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;58.0;G;;  stationen eller givaren har varit ur funktion.
