Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Gotska Sandön A;89230;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-01-01 00:00:00;2018-05-01 15:00:00;16.0;58.3943;19.1975

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-01-02 06:00:01;1996-02-01 06:00:00;1996-01;7.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-01-31 06:00:01;1996-03-01 06:00:00;1996-02;21.1;Y;;Tidsperiod (fr.o.m.) = 1996-01-01 00:00:00 (UTC)
1996-03-02 06:00:01;1996-04-01 06:00:00;1996-03;15.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;8.6;Y;;Värdet är summerat över = 1 månad
1996-05-02 06:00:01;1996-06-01 06:00:00;1996-05;51.8;Y;;
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;12.6;Y;;Kvalitetskoderna:
1996-07-02 06:00:01;1996-08-01 06:00:00;1996-07;89.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-08-02 06:00:01;1996-09-01 06:00:00;1996-08;43.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;73.0;Y;;
1996-10-02 06:00:01;1996-11-01 06:00:00;1996-10;23.6;Y;;Orsaker till saknade data:
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;86.0;Y;;  stationen eller givaren har varit ur funktion.
1996-12-02 06:00:01;1997-01-01 06:00:00;1996-12;48.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-01-02 06:00:01;1997-02-01 06:00:00;1997-01;10.5;Y
1997-01-30 06:00:01;1997-03-01 06:00:00;1997-02;32.6;Y
1997-03-02 06:00:01;1997-04-01 06:00:00;1997-03;9.4;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;43.1;Y
1997-05-02 06:00:01;1997-06-01 06:00:00;1997-05;51.8;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;42.6;Y
1997-07-02 06:00:01;1997-08-01 06:00:00;1997-07;18.5;Y
1997-08-02 06:00:01;1997-09-01 06:00:00;1997-08;8.0;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;40.5;Y
1997-10-02 06:00:01;1997-11-01 06:00:00;1997-10;75.0;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;52.6;Y
1997-12-02 06:00:01;1998-01-01 06:00:00;1997-12;52.0;Y
1998-01-02 06:00:01;1998-02-01 06:00:00;1998-01;61.1;Y
1998-01-30 06:00:01;1998-03-01 06:00:00;1998-02;42.6;Y
1998-03-02 06:00:01;1998-04-01 06:00:00;1998-03;33.5;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;40.3;Y
1998-05-02 06:00:01;1998-06-01 06:00:00;1998-05;5.9;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;38.7;Y
1998-07-02 06:00:01;1998-08-01 06:00:00;1998-07;61.1;Y
1998-08-02 06:00:01;1998-09-01 06:00:00;1998-08;32.2;Y
