Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Säffle;92100;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1952-02-01 00:00:00;2018-03-31 23:59:59;50.0;59.1412;12.9359

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1952-01-01 06:00:01;1952-02-01 06:00:00;1952-01;47.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1952-02-01 06:00:01;1952-03-01 06:00:00;1952-02;20.0;G;;Tidsperiod (fr.o.m.) = 1952-02-01 00:00:00 (UTC)
1952-03-01 06:00:01;1952-04-01 06:00:00;1952-03;31.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1952-04-01 06:00:01;1952-05-01 06:00:00;1952-04;55.0;G;;Värdet är summerat över = 1 månad
1952-05-01 06:00:01;1952-06-01 06:00:00;1952-05;85.0;G;;
1952-06-01 06:00:01;1952-07-01 06:00:00;1952-06;64.0;G;;Kvalitetskoderna:
1952-07-01 06:00:01;1952-08-01 06:00:00;1952-07;78.0;G;;Grön (G) = Kontrollerade och godkända värden.
1952-08-01 06:00:01;1952-09-01 06:00:00;1952-08;91.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1952-09-01 06:00:01;1952-10-01 06:00:00;1952-09;66.0;G;;
1952-10-01 06:00:01;1952-11-01 06:00:00;1952-10;112.0;G;;Orsaker till saknade data:
1952-11-01 06:00:01;1952-12-01 06:00:00;1952-11;74.0;G;;  stationen eller givaren har varit ur funktion.
1952-12-01 06:00:01;1953-01-01 06:00:00;1952-12;60.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1953-01-01 06:00:01;1953-02-01 06:00:00;1953-01;49.0;G
1953-02-01 06:00:01;1953-03-01 06:00:00;1953-02;24.0;G
1953-03-01 06:00:01;1953-04-01 06:00:00;1953-03;17.0;G
1953-04-01 06:00:01;1953-05-01 06:00:00;1953-04;93.0;G
1953-05-01 06:00:01;1953-06-01 06:00:00;1953-05;51.0;G
1953-06-01 06:00:01;1953-07-01 06:00:00;1953-06;144.0;G
1953-07-01 06:00:01;1953-08-01 06:00:00;1953-07;57.0;G
1953-08-01 06:00:01;1953-09-01 06:00:00;1953-08;105.0;G
1953-09-01 06:00:01;1953-10-01 06:00:00;1953-09;131.0;G
1953-10-01 06:00:01;1953-11-01 06:00:00;1953-10;44.0;G
1953-11-01 06:00:01;1953-12-01 06:00:00;1953-11;56.0;G
1953-12-01 06:00:01;1954-01-01 06:00:00;1953-12;69.0;G
1954-01-01 06:00:01;1954-02-01 06:00:00;1954-01;41.0;G
1954-02-01 06:00:01;1954-03-01 06:00:00;1954-02;73.0;G
1954-03-01 06:00:01;1954-04-01 06:00:00;1954-03;73.0;G
1954-04-01 06:00:01;1954-05-01 06:00:00;1954-04;41.0;G
1954-05-01 06:00:01;1954-06-01 06:00:00;1954-05;58.0;G
1954-06-01 06:00:01;1954-07-01 06:00:00;1954-06;67.0;G
1954-07-01 06:00:01;1954-08-01 06:00:00;1954-07;72.0;G
1954-08-01 06:00:01;1954-09-01 06:00:00;1954-08;52.0;G
1954-09-01 06:00:01;1954-10-01 06:00:00;1954-09;91.0;G
1954-10-01 06:00:01;1954-11-01 06:00:00;1954-10;92.0;G
1954-11-01 06:00:01;1954-12-01 06:00:00;1954-11;154.0;G
1954-12-01 06:00:01;1955-01-01 06:00:00;1954-12;83.0;G
1955-01-01 06:00:01;1955-02-01 06:00:00;1955-01;37.0;G
1955-02-01 06:00:01;1955-03-01 06:00:00;1955-02;55.0;G
1955-03-01 06:00:01;1955-04-01 06:00:00;1955-03;21.0;G
1955-04-01 06:00:01;1955-05-01 06:00:00;1955-04;67.0;G
1955-05-01 06:00:01;1955-06-01 06:00:00;1955-05;68.0;G
1955-06-01 06:00:01;1955-07-01 06:00:00;1955-06;20.0;G
1955-07-01 06:00:01;1955-08-01 06:00:00;1955-07;4.0;G
1955-08-01 06:00:01;1955-09-01 06:00:00;1955-08;37.0;G
1955-09-01 06:00:01;1955-10-01 06:00:00;1955-09;83.0;G
1955-10-01 06:00:01;1955-11-01 06:00:00;1955-10;115.0;G
1955-11-01 06:00:01;1955-12-01 06:00:00;1955-11;33.0;G
1955-12-01 06:00:01;1956-01-01 06:00:00;1955-12;70.0;G
1956-01-01 06:00:01;1956-02-01 06:00:00;1956-01;54.0;G
1956-02-01 06:00:01;1956-03-01 06:00:00;1956-02;7.0;G
1956-03-01 06:00:01;1956-04-01 06:00:00;1956-03;5.0;G
1956-04-01 06:00:01;1956-05-01 06:00:00;1956-04;5.0;G
1956-05-01 06:00:01;1956-06-01 06:00:00;1956-05;17.0;G
1956-06-01 06:00:01;1956-07-01 06:00:00;1956-06;107.0;G
