Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Svaneholm D;92120;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2012-04-01 00:00:00;2018-05-01 15:00:00;200.0;59.174400000000006;12.501000000000001
1973-05-01 00:00:00;2012-02-01 23:59:59;95.0;59.1745;12.5484

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1973-04-01 06:00:01;1973-05-01 06:00:00;1973-04;38.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1973-05-01 06:00:01;1973-06-01 06:00:00;1973-05;51.1;Y;;Tidsperiod (fr.o.m.) = 1973-05-01 00:00:00 (UTC)
1973-06-01 06:00:01;1973-07-01 06:00:00;1973-06;24.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;45.9;Y;;Värdet är summerat över = 1 månad
1973-08-01 06:00:01;1973-09-01 06:00:00;1973-08;55.6;Y;;
1973-09-01 06:00:01;1973-10-01 06:00:00;1973-09;109.4;Y;;Kvalitetskoderna:
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;7.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;72.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;44.1;Y;;
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;63.5;Y;;Orsaker till saknade data:
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;46.3;Y;;  stationen eller givaren har varit ur funktion.
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;31.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;0.0;Y
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;19.7;Y
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;78.4;Y
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;54.8;Y
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;48.9;Y
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;145.4;Y
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;132.3;Y
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;182.8;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;68.4;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;112.3;Y
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;4.4;Y
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;23.5;Y
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;28.8;Y
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;37.2;Y
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;16.6;Y
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;42.3;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;68.0;Y
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;106.4;Y
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;65.0;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;41.0;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;42.3;Y
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;30.3;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;20.0;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;12.8;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;14.5;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;21.2;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;27.1;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;83.5;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;15.6;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;80.0;Y
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;126.6;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;91.1;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;101.2;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;133.4;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;58.2;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;62.0;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;78.4;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;37.5;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;68.1;Y
