Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Arvika A;92410;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-01-01 00:00:00;2018-05-01 15:00:00;66.0;59.6747;12.6381
1995-09-01 00:00:00;1995-12-31 23:59:59;66.0;59.6748;12.6383

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;15.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;63.9;Y;;Tidsperiod (fr.o.m.) = 1995-09-01 00:00:00 (UTC)
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;42.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;20.7;Y;;Värdet är summerat över = 1 månad
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;10.7;G;;
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;14.9;Y;;Kvalitetskoderna:
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;18.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;4.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;16.2;Y;;
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;65.6;Y;;Orsaker till saknade data:
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;39.5;Y;;  stationen eller givaren har varit ur funktion.
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;27.4;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;89.7;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;56.3;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;48.4;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;82.4;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;29.0;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;88.5;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;75.2;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;24.6;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;92.7;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;48.8;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;47.1;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;52.2;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;53.0;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;36.1;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;28.9;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;22.9;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;78.7;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;22.1;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;96.8;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;68.5;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;87.2;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;52.4;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;86.3;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;21.5;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;37.0;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;54.9;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;26.5;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;86.2;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;63.3;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;43.6;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;103.4;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;74.7;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;35.8;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;116.4;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;51.7;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;30.4;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;69.3;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;21.7;Y
