Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Uddheden D;92570;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2007-07-01 00:00:00;2018-05-01 15:00:00;108.0;59.9437;12.9134

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;79.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;96.1;Y;;Tidsperiod (fr.o.m.) = 2007-07-01 00:00:00 (UTC)
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;74.4;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;103.0;Y;;Värdet är summerat över = 1 månad
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;17.2;Y;;
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;52.2;Y;;Kvalitetskoderna:
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;73.0;Y;;Grön (G) = Kontrollerade och godkända värden.
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;127.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;40.7;Y;;
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;57.8;Y;;Orsaker till saknade data:
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;48.4;Y;;  stationen eller givaren har varit ur funktion.
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;74.5;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;41.9;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;60.8;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;130.7;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;47.5;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;109.5;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;71.9;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;48.0;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;38.6;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;29.6;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;48.5;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;15.2;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;58.9;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;60.0;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;194.1;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;128.4;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;61.0;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;76.2;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;109.9;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;64.7;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;14.3;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;51.9;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;38.3;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;31.4;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;99.8;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;97.6;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;154.8;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;165.7;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;61.5;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;43.5;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;42.5;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;30.0;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;51.0;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;39.9;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;23.6;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;16.4;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;79.9;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;75.8;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;82.1;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;147.6;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;155.9;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;52.6;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;22.0;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;74.4;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;63.0;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;21.4;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;12.0;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;66.3;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;53.1;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;77.0;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;144.0;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;142.8;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;67.8;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;116.5;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;88.7;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;50.9;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;25.1;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;23.2;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;2.0;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;51.8;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;76.2;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;74.0;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;16.0;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;49.1;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;19.8;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;89.5;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;67.5;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;93.5;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;86.1;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;102.5;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;42.1;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;51.2;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;78.6;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;77.6;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;39.4;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;172.9;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;25.3;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;157.9;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;65.3;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;35.2;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;114.1;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;30.6;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;48.4;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;23.5;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;116.9;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;74.8;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;73.2;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;53.9;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;170.2;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;4.9;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;55.8;Y
