Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Grums;93200;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1987-04-01 00:00:00;2018-04-30 23:59:59;60.0;59.3499;13.1107

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1987-03-01 06:00:01;1987-04-01 06:00:00;1987-03;49.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1987-04-01 06:00:01;1987-05-01 06:00:00;1987-04;15.1;Y;;Tidsperiod (fr.o.m.) = 1987-04-01 00:00:00 (UTC)
1987-05-01 06:00:01;1987-06-01 06:00:00;1987-05;72.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1987-06-01 06:00:01;1987-07-01 06:00:00;1987-06;115.0;Y;;Värdet är summerat över = 1 månad
1987-07-01 06:00:01;1987-08-01 06:00:00;1987-07;71.9;Y;;
1987-08-01 06:00:01;1987-09-01 06:00:00;1987-08;114.7;Y;;Kvalitetskoderna:
1987-09-01 06:00:01;1987-10-01 06:00:00;1987-09;71.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1987-10-01 06:00:01;1987-11-01 06:00:00;1987-10;69.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1987-11-01 06:00:01;1987-12-01 06:00:00;1987-11;71.7;Y;;
1987-12-01 06:00:01;1988-01-01 06:00:00;1987-12;26.1;Y;;Orsaker till saknade data:
1988-01-01 06:00:01;1988-02-01 06:00:00;1988-01;87.5;Y;;  stationen eller givaren har varit ur funktion.
1988-02-01 06:00:01;1988-03-01 06:00:00;1988-02;85.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1988-03-01 06:00:01;1988-04-01 06:00:00;1988-03;50.2;Y
1988-04-01 06:00:01;1988-05-01 06:00:00;1988-04;43.5;Y
1988-05-01 06:00:01;1988-06-01 06:00:00;1988-05;12.7;Y
1988-06-01 06:00:01;1988-07-01 06:00:00;1988-06;30.9;Y
1988-07-01 06:00:01;1988-08-01 06:00:00;1988-07;162.2;Y
1988-08-01 06:00:01;1988-09-01 06:00:00;1988-08;119.4;Y
1988-09-01 06:00:01;1988-10-01 06:00:00;1988-09;90.9;Y
1988-10-01 06:00:01;1988-11-01 06:00:00;1988-10;82.0;Y
1988-11-01 06:00:01;1988-12-01 06:00:00;1988-11;27.1;Y
1988-12-01 06:00:01;1989-01-01 06:00:00;1988-12;45.9;Y
1989-01-01 06:00:01;1989-02-01 06:00:00;1989-01;6.0;Y
1989-02-01 06:00:01;1989-03-01 06:00:00;1989-02;56.3;Y
1989-03-01 06:00:01;1989-04-01 06:00:00;1989-03;44.5;Y
1989-04-01 06:00:01;1989-05-01 06:00:00;1989-04;48.0;Y
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;49.2;Y
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;51.8;Y
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;43.5;Y
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;47.8;Y
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;24.5;Y
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;64.8;Y
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;47.0;Y
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;42.7;Y
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;59.7;Y
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;79.9;Y
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;16.5;Y
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;66.2;Y
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;15.3;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;103.3;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;55.4;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;68.3;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;70.8;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;53.2;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;51.5;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;38.5;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;49.6;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;16.4;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;38.8;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;24.6;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;2.1;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;146.4;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;46.5;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;64.0;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;50.8;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;39.3;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;76.3;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;15.8;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;16.0;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;24.9;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;43.2;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;116.7;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;22.9;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;18.7;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;100.5;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;84.7;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;52.5;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;60.9;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;94.3;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;27.4;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;66.3;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;40.7;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;3.0;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;31.1;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;19.9;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;39.4;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;87.0;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;72.0;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;32.7;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;110.9;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;55.5;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;76.4;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;91.5;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;31.9;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;48.2;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;48.0;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;13.1;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;43.4;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;7.5;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;146.3;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;149.3;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;46.7;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;27.2;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;69.6;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;49.4;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;44.7;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;47.2;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;69.7;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;61.5;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;165.8;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;67.0;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;49.1;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;99.4;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;38.9;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;29.3;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;17.5;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;9.9;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;24.1;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;11.5;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;23.2;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;88.2;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;48.6;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;31.2;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;72.4;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;83.2;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;54.6;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;107.7;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;37.8;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;10.6;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;57.7;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;16.2;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;15.8;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;97.9;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;53.0;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;37.4;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;114.1;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;69.1;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;65.7;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;79.9;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;76.6;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;52.8;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;60.8;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;15.5;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;71.4;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;24.1;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;107.1;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;84.6;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;106.7;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;94.3;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;91.3;Y
