Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Dejefors;93370;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1879-11-01 00:00:00;2015-12-31 23:59:59;65.0;59.6082;13.4776

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1879-10-01 07:00:01;1879-11-01 07:00:00;1879-10;81.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1879-11-01 07:00:01;1879-12-01 07:00:00;1879-11;28.0;G;;Tidsperiod (fr.o.m.) = 1879-11-01 00:00:00 (UTC)
1879-12-01 07:00:01;1880-01-01 07:00:00;1879-12;13.0;G;;Tidsperiod (t.o.m.) = 2015-12-31 23:59:59 (UTC)
1880-01-01 07:00:01;1880-02-01 07:00:00;1880-01;7.0;G;;Värdet är summerat över = 1 månad
1880-02-01 07:00:01;1880-03-01 07:00:00;1880-02;76.0;G;;
1880-03-01 07:00:01;1880-04-01 07:00:00;1880-03;9.0;G;;Kvalitetskoderna:
1880-04-01 07:00:01;1880-05-01 07:00:00;1880-04;36.0;G;;Grön (G) = Kontrollerade och godkända värden.
1880-05-01 07:00:01;1880-06-01 07:00:00;1880-05;36.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1880-06-01 07:00:01;1880-07-01 07:00:00;1880-06;13.0;G;;
1880-07-01 07:00:01;1880-08-01 07:00:00;1880-07;105.0;G;;Orsaker till saknade data:
1880-08-01 07:00:01;1880-09-01 07:00:00;1880-08;25.0;G;;  stationen eller givaren har varit ur funktion.
1880-09-01 07:00:01;1880-10-01 07:00:00;1880-09;49.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1880-10-01 07:00:01;1880-11-01 07:00:00;1880-10;34.0;G
1880-11-01 07:00:01;1880-12-01 07:00:00;1880-11;64.0;G
1880-12-01 07:00:01;1881-01-01 07:00:00;1880-12;87.0;G
1881-01-01 07:00:01;1881-02-01 07:00:00;1881-01;12.0;G
1881-02-01 07:00:01;1881-03-01 07:00:00;1881-02;47.0;G
1881-03-01 07:00:01;1881-04-01 07:00:00;1881-03;41.0;G
1881-04-01 07:00:01;1881-05-01 07:00:00;1881-04;9.0;G
1881-05-01 07:00:01;1881-06-01 07:00:00;1881-05;47.0;G
1881-06-01 07:00:01;1881-07-01 07:00:00;1881-06;60.0;G
1881-07-01 07:00:01;1881-08-01 07:00:00;1881-07;98.0;G
1881-08-01 07:00:01;1881-09-01 07:00:00;1881-08;143.0;G
1881-09-01 07:00:01;1881-10-01 07:00:00;1881-09;57.0;G
1881-10-01 07:00:01;1881-11-01 07:00:00;1881-10;66.0;G
