Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Östra Ämtervik;93440;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1966-11-01 00:00:00;2018-04-30 23:59:59;80.0;59.7406;13.2136

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1966-10-01 06:00:01;1966-11-01 06:00:00;1966-10;72.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1966-11-01 06:00:01;1966-12-01 06:00:00;1966-11;77.8;Y;;Tidsperiod (fr.o.m.) = 1966-11-01 00:00:00 (UTC)
1966-12-01 06:00:01;1967-01-01 06:00:00;1966-12;114.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1967-01-01 06:00:01;1967-02-01 06:00:00;1967-01;48.0;Y;;Värdet är summerat över = 1 månad
1967-02-01 06:00:01;1967-03-01 06:00:00;1967-02;57.1;Y;;
1967-03-01 06:00:01;1967-04-01 06:00:00;1967-03;68.4;Y;;Kvalitetskoderna:
1967-04-01 06:00:01;1967-05-01 06:00:00;1967-04;85.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1967-05-01 06:00:01;1967-06-01 06:00:00;1967-05;125.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1967-06-01 06:00:01;1967-07-01 06:00:00;1967-06;63.4;Y;;
1967-07-01 06:00:01;1967-08-01 06:00:00;1967-07;28.7;Y;;Orsaker till saknade data:
1967-08-01 06:00:01;1967-09-01 06:00:00;1967-08;128.9;Y;;  stationen eller givaren har varit ur funktion.
1967-09-01 06:00:01;1967-10-01 06:00:00;1967-09;86.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1967-10-01 06:00:01;1967-11-01 06:00:00;1967-10;184.5;Y
1967-11-01 06:00:01;1967-12-01 06:00:00;1967-11;99.7;Y
1967-12-01 06:00:01;1968-01-01 06:00:00;1967-12;63.1;Y
1968-01-01 06:00:01;1968-02-01 06:00:00;1968-01;51.5;Y
1968-02-01 06:00:01;1968-03-01 06:00:00;1968-02;56.0;Y
1968-03-01 06:00:01;1968-04-01 06:00:00;1968-03;57.4;Y
1968-04-01 06:00:01;1968-05-01 06:00:00;1968-04;56.5;Y
1968-05-01 06:00:01;1968-06-01 06:00:00;1968-05;98.6;Y
1968-06-01 06:00:01;1968-07-01 06:00:00;1968-06;68.0;Y
1968-07-01 06:00:01;1968-08-01 06:00:00;1968-07;76.0;Y
1968-08-01 06:00:01;1968-09-01 06:00:00;1968-08;91.8;Y
1968-09-01 06:00:01;1968-10-01 06:00:00;1968-09;43.0;Y
1968-10-01 06:00:01;1968-11-01 06:00:00;1968-10;156.2;Y
1968-11-01 06:00:01;1968-12-01 06:00:00;1968-11;110.7;Y
1968-12-01 06:00:01;1969-01-01 06:00:00;1968-12;56.6;Y
1969-01-01 06:00:01;1969-02-01 06:00:00;1969-01;113.6;Y
1969-02-01 06:00:01;1969-03-01 06:00:00;1969-02;37.9;Y
1969-03-01 06:00:01;1969-04-01 06:00:00;1969-03;18.7;Y
1969-04-01 06:00:01;1969-05-01 06:00:00;1969-04;97.0;Y
1969-05-01 06:00:01;1969-06-01 06:00:00;1969-05;30.9;Y
1969-06-01 06:00:01;1969-07-01 06:00:00;1969-06;22.2;Y
1969-07-01 06:00:01;1969-08-01 06:00:00;1969-07;61.4;Y
1969-08-01 06:00:01;1969-09-01 06:00:00;1969-08;67.6;Y
1969-09-01 06:00:01;1969-10-01 06:00:00;1969-09;95.1;Y
1969-10-01 06:00:01;1969-11-01 06:00:00;1969-10;32.4;Y
1969-11-01 06:00:01;1969-12-01 06:00:00;1969-11;93.4;Y
1969-12-01 06:00:01;1970-01-01 06:00:00;1969-12;33.6;Y
1970-01-01 06:00:01;1970-02-01 06:00:00;1970-01;48.7;Y
1970-02-01 06:00:01;1970-03-01 06:00:00;1970-02;29.4;Y
1970-03-01 06:00:01;1970-04-01 06:00:00;1970-03;30.6;Y
1970-04-01 06:00:01;1970-05-01 06:00:00;1970-04;76.3;Y
1970-05-01 06:00:01;1970-06-01 06:00:00;1970-05;38.6;Y
1970-06-01 06:00:01;1970-07-01 06:00:00;1970-06;60.0;Y
1970-07-01 06:00:01;1970-08-01 06:00:00;1970-07;200.4;Y
1970-08-01 06:00:01;1970-09-01 06:00:00;1970-08;60.9;Y
1970-09-01 06:00:01;1970-10-01 06:00:00;1970-09;112.7;Y
1970-10-01 06:00:01;1970-11-01 06:00:00;1970-10;146.4;Y
1970-11-01 06:00:01;1970-12-01 06:00:00;1970-11;150.9;Y
1970-12-01 06:00:01;1971-01-01 06:00:00;1970-12;50.6;Y
1971-01-01 06:00:01;1971-02-01 06:00:00;1971-01;80.8;Y
1971-02-01 06:00:01;1971-03-01 06:00:00;1971-02;40.3;Y
1971-03-01 06:00:01;1971-04-01 06:00:00;1971-03;67.3;Y
1971-04-01 06:00:01;1971-05-01 06:00:00;1971-04;31.0;Y
