Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Munkfors;93500;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1950-02-01 00:00:00;2017-04-01 23:59:59;80.0;59.8482;13.5415

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1950-01-01 06:00:01;1950-02-01 06:00:00;1950-01;34.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1950-02-01 06:00:01;1950-03-01 06:00:00;1950-02;45.5;Y;;Tidsperiod (fr.o.m.) = 1950-02-01 00:00:00 (UTC)
1950-03-01 06:00:01;1950-04-01 06:00:00;1950-03;14.5;Y;;Tidsperiod (t.o.m.) = 2017-04-01 23:59:59 (UTC)
1950-04-01 06:00:01;1950-05-01 06:00:00;1950-04;102.3;Y;;Värdet är summerat över = 1 månad
1950-05-01 06:00:01;1950-06-01 06:00:00;1950-05;25.1;Y;;
1950-06-01 06:00:01;1950-07-01 06:00:00;1950-06;57.8;Y;;Kvalitetskoderna:
1950-07-01 06:00:01;1950-08-01 06:00:00;1950-07;52.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1950-08-01 06:00:01;1950-09-01 06:00:00;1950-08;79.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1950-09-01 06:00:01;1950-10-01 06:00:00;1950-09;86.7;Y;;
1950-10-01 06:00:01;1950-11-01 06:00:00;1950-10;63.3;Y;;Orsaker till saknade data:
1950-11-01 06:00:01;1950-12-01 06:00:00;1950-11;119.5;Y;;  stationen eller givaren har varit ur funktion.
1950-12-01 06:00:01;1951-01-01 06:00:00;1950-12;50.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1951-01-01 06:00:01;1951-02-01 06:00:00;1951-01;38.4;Y
1951-02-01 06:00:01;1951-03-01 06:00:00;1951-02;77.5;Y
1951-03-01 06:00:01;1951-04-01 06:00:00;1951-03;43.8;Y
1951-04-01 06:00:01;1951-05-01 06:00:00;1951-04;61.0;G
1951-05-01 06:00:01;1951-06-01 06:00:00;1951-05;16.7;Y
1951-06-01 06:00:01;1951-07-01 06:00:00;1951-06;70.7;Y
1951-07-01 06:00:01;1951-08-01 06:00:00;1951-07;38.5;Y
1951-08-01 06:00:01;1951-09-01 06:00:00;1951-08;133.7;Y
1951-09-01 06:00:01;1951-10-01 06:00:00;1951-09;56.6;Y
1951-10-01 06:00:01;1951-11-01 06:00:00;1951-10;23.7;Y
1951-11-01 06:00:01;1951-12-01 06:00:00;1951-11;73.5;Y
1951-12-01 06:00:01;1952-01-01 06:00:00;1951-12;66.0;G
1952-01-01 06:00:01;1952-02-01 06:00:00;1952-01;17.5;Y
1952-02-01 06:00:01;1952-03-01 06:00:00;1952-02;15.7;Y
1952-03-01 06:00:01;1952-04-01 06:00:00;1952-03;14.3;Y
1952-04-01 06:00:01;1952-05-01 06:00:00;1952-04;72.8;Y
1952-05-01 06:00:01;1952-06-01 06:00:00;1952-05;62.7;Y
1952-06-01 06:00:01;1952-07-01 06:00:00;1952-06;96.2;Y
1952-07-01 06:00:01;1952-08-01 06:00:00;1952-07;40.5;Y
1952-08-01 06:00:01;1952-09-01 06:00:00;1952-08;94.2;Y
1952-09-01 06:00:01;1952-10-01 06:00:00;1952-09;56.8;Y
1952-10-01 06:00:01;1952-11-01 06:00:00;1952-10;52.5;Y
1952-11-01 06:00:01;1952-12-01 06:00:00;1952-11;36.7;Y
1952-12-01 06:00:01;1953-01-01 06:00:00;1952-12;60.0;Y
1953-01-01 06:00:01;1953-02-01 06:00:00;1953-01;29.0;G
1953-02-01 06:00:01;1953-03-01 06:00:00;1953-02;31.3;Y
1953-03-01 06:00:01;1953-04-01 06:00:00;1953-03;2.4;Y
1953-04-01 06:00:01;1953-05-01 06:00:00;1953-04;97.6;Y
1953-05-01 06:00:01;1953-06-01 06:00:00;1953-05;44.2;Y
1953-06-01 06:00:01;1953-07-01 06:00:00;1953-06;114.2;Y
1953-07-01 06:00:01;1953-08-01 06:00:00;1953-07;111.5;Y
1953-08-01 06:00:01;1953-09-01 06:00:00;1953-08;71.0;G
1953-09-01 06:00:01;1953-10-01 06:00:00;1953-09;109.5;Y
1953-10-01 06:00:01;1953-11-01 06:00:00;1953-10;34.6;Y
1953-11-01 06:00:01;1953-12-01 06:00:00;1953-11;44.2;Y
1953-12-01 06:00:01;1954-01-01 06:00:00;1953-12;34.5;Y
1954-01-01 06:00:01;1954-02-01 06:00:00;1954-01;50.8;Y
1954-02-01 06:00:01;1954-03-01 06:00:00;1954-02;41.9;Y
1954-03-01 06:00:01;1954-04-01 06:00:00;1954-03;42.3;Y
1954-04-01 06:00:01;1954-05-01 06:00:00;1954-04;25.0;G
1954-05-01 06:00:01;1954-06-01 06:00:00;1954-05;29.7;Y
1954-06-01 06:00:01;1954-07-01 06:00:00;1954-06;87.9;Y
1954-07-01 06:00:01;1954-08-01 06:00:00;1954-07;58.6;Y
1954-08-01 06:00:01;1954-09-01 06:00:00;1954-08;65.6;Y
1954-09-01 06:00:01;1954-10-01 06:00:00;1954-09;114.1;Y
1954-10-01 06:00:01;1954-11-01 06:00:00;1954-10;95.1;Y
1954-11-01 06:00:01;1954-12-01 06:00:00;1954-11;88.0;Y
1954-12-01 06:00:01;1955-01-01 06:00:00;1954-12;81.9;Y
1955-01-01 06:00:01;1955-02-01 06:00:00;1955-01;36.0;G
1955-02-01 06:00:01;1955-03-01 06:00:00;1955-02;21.5;Y
1955-03-01 06:00:01;1955-04-01 06:00:00;1955-03;4.5;Y
1955-04-01 06:00:01;1955-05-01 06:00:00;1955-04;23.7;Y
1955-05-01 06:00:01;1955-06-01 06:00:00;1955-05;81.7;Y
1955-06-01 06:00:01;1955-07-01 06:00:00;1955-06;30.3;Y
1955-07-01 06:00:01;1955-08-01 06:00:00;1955-07;19.0;G
1955-08-01 06:00:01;1955-09-01 06:00:00;1955-08;42.4;Y
1955-09-01 06:00:01;1955-10-01 06:00:00;1955-09;39.2;Y
1955-10-01 06:00:01;1955-11-01 06:00:00;1955-10;49.4;Y
1955-11-01 06:00:01;1955-12-01 06:00:00;1955-11;33.2;Y
1955-12-01 06:00:01;1956-01-01 06:00:00;1955-12;60.0;G
1956-01-01 06:00:01;1956-02-01 06:00:00;1956-01;54.6;Y
1956-02-01 06:00:01;1956-03-01 06:00:00;1956-02;12.4;Y
1956-03-01 06:00:01;1956-04-01 06:00:00;1956-03;5.6;Y
1956-04-01 06:00:01;1956-05-01 06:00:00;1956-04;14.4;Y
1956-05-01 06:00:01;1956-06-01 06:00:00;1956-05;16.8;Y
1956-06-01 06:00:01;1956-07-01 06:00:00;1956-06;142.1;Y
1956-07-01 06:00:01;1956-08-01 06:00:00;1956-07;54.8;Y
1956-08-01 06:00:01;1956-09-01 06:00:00;1956-08;51.2;Y
1956-09-01 06:00:01;1956-10-01 06:00:00;1956-09;53.8;Y
1956-10-01 06:00:01;1956-11-01 06:00:00;1956-10;66.6;Y
1956-11-01 06:00:01;1956-12-01 06:00:00;1956-11;44.2;Y
1956-12-01 06:00:01;1957-01-01 06:00:00;1956-12;40.6;Y
1957-01-01 06:00:01;1957-02-01 06:00:00;1957-01;31.6;Y
1957-02-01 06:00:01;1957-03-01 06:00:00;1957-02;47.9;Y
1957-03-01 06:00:01;1957-04-01 06:00:00;1957-03;26.2;Y
1957-04-01 06:00:01;1957-05-01 06:00:00;1957-04;24.9;Y
