Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Sunne A;93520;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-09-01 00:00:00;2018-04-30 23:59:59;110.0;59.8644;13.1193

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;29.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;56.7;Y;;Tidsperiod (fr.o.m.) = 1995-09-01 00:00:00 (UTC)
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;45.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;23.2;Y;;Värdet är summerat över = 1 månad
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;12.8;Y;;
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;14.2;Y;;Kvalitetskoderna:
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;21.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;6.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;18.5;Y;;
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;79.4;Y;;Orsaker till saknade data:
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;47.4;Y;;  stationen eller givaren har varit ur funktion.
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;69.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;91.4;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;62.2;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;65.0;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;92.9;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;33.7;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;14.3;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;69.5;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;20.9;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;6.5;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;126.8;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;58.7;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;31.3;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;74.5;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;55.0;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;52.7;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;68.4;Y
