Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Fjugesta D;94110;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1998-06-01 00:00:00;2015-12-01 23:59:59;75.0;59.1829;14.8557

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;24.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;87.4;Y;;Tidsperiod (fr.o.m.) = 1998-06-01 00:00:00 (UTC)
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;116.5;Y;;Tidsperiod (t.o.m.) = 2015-12-01 23:59:59 (UTC)
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;70.0;Y;;Värdet är summerat över = 1 månad
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;78.4;Y;;
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;103.8;Y;;Kvalitetskoderna:
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;27.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;87.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;70.0;Y;;
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;35.3;Y;;Orsaker till saknade data:
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;61.9;Y;;  stationen eller givaren har varit ur funktion.
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;74.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;59.9;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;85.8;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;140.8;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;73.7;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;103.9;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;50.7;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;24.4;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;102.9;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;33.8;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;27.2;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;18.1;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;65.4;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;48.7;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;89.5;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;235.2;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;80.5;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;9.6;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;154.6;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;150.8;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;109.2;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;57.4;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;42.7;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;28.1;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;74.6;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;35.0;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;33.6;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;79.1;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;86.5;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;89.5;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;81.5;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;31.2;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;46.1;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;88.1;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;97.4;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;55.8;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;35.4;Y
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;69.2;Y
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;99.6;Y
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;137.0;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;3.3;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;16.6;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;50.1;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;77.2;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;21.2;Y
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;34.1;Y
2003-02-01 06:00:01;2003-03-01 06:00:00;2003-02;14.3;Y
2003-03-01 06:00:01;2003-04-01 06:00:00;2003-03;14.8;Y
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;55.2;Y
2003-05-01 06:00:01;2003-06-01 06:00:00;2003-05;46.5;Y
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;111.2;Y
2003-07-01 06:00:01;2003-08-01 06:00:00;2003-07;101.9;Y
2003-08-01 06:00:01;2003-09-01 06:00:00;2003-08;66.9;Y
2003-09-01 06:00:01;2003-10-01 06:00:00;2003-09;21.7;Y
2003-10-01 06:00:01;2003-11-01 06:00:00;2003-10;89.4;Y
2003-11-01 06:00:01;2003-12-01 06:00:00;2003-11;86.4;Y
2003-12-01 06:00:01;2004-01-01 06:00:00;2003-12;93.0;Y
2004-01-01 06:00:01;2004-02-01 06:00:00;2004-01;51.6;Y
2004-02-01 06:00:01;2004-03-01 06:00:00;2004-02;36.4;Y
2004-03-01 06:00:01;2004-04-01 06:00:00;2004-03;32.0;Y
2004-04-01 06:00:01;2004-05-01 06:00:00;2004-04;25.3;Y
2004-05-01 06:00:01;2004-06-01 06:00:00;2004-05;27.4;Y
2004-06-01 06:00:01;2004-07-01 06:00:00;2004-06;104.8;Y
2004-07-01 06:00:01;2004-08-01 06:00:00;2004-07;105.9;Y
2004-08-01 06:00:01;2004-09-01 06:00:00;2004-08;86.6;Y
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;72.8;Y
2004-10-01 06:00:01;2004-11-01 06:00:00;2004-10;118.2;Y
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;63.1;Y
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;49.7;Y
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;46.8;Y
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;20.3;Y
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;28.7;Y
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;19.1;Y
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;79.9;Y
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;58.0;Y
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;106.1;Y
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;59.1;Y
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;21.8;Y
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;74.6;Y
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;51.3;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;55.5;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;27.8;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;37.4;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;40.9;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;53.4;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;109.3;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;50.0;Y
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;39.2;Y
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;132.9;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;41.7;Y
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;140.4;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;62.4;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;82.4;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;95.5;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;33.8;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;41.6;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;21.5;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;90.2;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;65.1;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;79.5;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;70.2;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;79.9;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;29.3;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;44.1;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;38.8;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;102.4;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;183.9;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;82.5;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;73.7;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;73.7;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;57.8;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;19.7;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;37.1;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;50.8;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;7.3;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;58.3;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;82.3;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;161.8;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;86.6;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;45.0;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;62.4;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;104.9;Y
